Date,Open,High,Low,Close,Volume
2010-01-04,56.42,56.94,56.41,56.73,18556962
2010-01-05,56.87,57.1,56.51,56.78,14352716
2010-01-06,56.68,57.09,56.67,57.02,11888100
2010-01-07,56.64,56.84,56.37,56.8,10906600
2010-01-08,56.9,57.31,56.74,57.25,12826466
2010-01-11,57.83,57.86,57.47,57.72,12388069
2010-01-12,57.11,57.38,56.6,57.04,19030429
2010-01-13,57.28,57.7,56.94,57.52,15446666
2010-01-14,57.5,58.0,57.5,57.96,13362560
2010-01-15,,,,57.05,0
2010-01-19,56.88,57.68,56.84,57.61,17507629
2010-01-20,56.37,56.4,55.62,56.14,24510047
2010-01-21,56.04,56.18,54.58,54.94,22979033
2010-01-22,54.7,55.05,53.79,53.87,27432442
2010-01-25,54.86,54.98,54.39,54.53,20242860
2010-01-26,54.05,54.68,53.91,54.22,22137432
2010-01-27,53.88,54.21,53.38,54.16,27155937
2010-01-28,54.19,54.2,52.85,53.25,26142571
2010-01-29,53.32,53.63,52.33,52.48,28921160
2010-02-01,53.2,53.52,52.48,53.44,23128455
2010-02-02,53.82,54.46,53.65,54.33,19720128
2010-02-03,53.98,54.2,53.48,53.76,20225831
2010-02-04,52.74,52.8,51.54,51.57,32203909
2010-02-05,51.29,51.48,49.94,51.48,43046099
2010-02-08,50.97,51.45,50.45,50.46,19237911
2010-02-09,51.59,52.52,51.09,52.05,30811720
2010-02-10,51.77,51.95,51.21,51.72,23502474
2010-02-11,51.54,52.3,51.15,52.2,19397272
2010-02-12,,,,51.75,0
2010-02-16,51.99,53.01,51.81,52.9,19593642
2010-02-17,53.14,53.27,52.75,52.97,19681953
2010-02-18,52.81,53.35,52.81,53.27,13751365
2010-02-19,52.53,53.07,52.38,52.94,16068907
2010-02-22,53.23,53.31,52.91,53.04,14422038
2010-02-23,52.8,53.04,52.12,52.29,18039098
2010-02-24,52.37,52.93,52.23,52.62,15789782
2010-02-25,51.58,52.31,51.47,52.3,18544339
2010-02-26,52.19,52.85,51.91,52.62,19714132
2010-03-01,52.74,53.13,52.6,53.03,14774302
2010-03-02,53.39,53.79,53.17,53.43,14135666
2010-03-03,53.91,54.41,53.83,54.07,15292378
2010-03-04,54.13,54.23,53.62,53.93,12646074
2010-03-05,54.31,55.06,54.21,54.98,18656268
2010-03-08,55.06,55.21,54.81,54.98,11336051
2010-03-09,54.47,55.11,54.45,54.85,15356407
2010-03-10,54.85,55.34,54.78,55.08,13641071
2010-03-11,55.05,55.35,54.81,55.29,13020842
2010-03-12,55.73,55.75,55.37,55.66,11743234
2010-03-15,55.2,55.34,54.85,55.27,10182263
2010-03-16,55.46,56.03,55.32,55.97,15718215
2010-03-17,56.18,56.51,56.11,56.27,17400418
2010-03-18,56.08,56.18,55.58,55.94,15899571
2010-03-19,55.86,55.91,55.11,55.37,17819668
2010-03-22,54.64,55.6,54.6,55.53,17473734
2010-03-23,55.56,56.01,55.35,55.92,15532973
2010-03-24,55.0,55.21,54.76,55.0,18234290
2010-03-25,55.45,55.66,54.9,54.97,18633346
2010-03-26,55.33,55.72,55.16,55.51,23466105
2010-03-29,55.78,56.04,55.68,55.98,13605622
2010-03-30,56.16,56.31,55.72,55.98,16767954
2010-03-31,55.77,56.18,55.64,55.98,22702563
2010-04-01,,,,56.97,0
2010-04-05,56.94,57.2,56.75,57.03,14433996
2010-04-06,56.44,56.94,56.38,56.87,15025769
2010-04-07,56.56,56.68,56.26,56.47,19575157
2010-04-08,55.86,56.46,55.74,56.41,13852963
2010-04-09,56.58,57.22,56.56,57.15,17131468
2010-04-12,57.34,57.5,57.21,57.33,11992146
2010-04-13,57.39,57.44,56.85,57.28,9093997
2010-04-14,57.69,58.08,57.52,58.04,20763849
2010-04-15,57.69,58.09,57.64,58.0,13534150
2010-04-16,57.48,57.71,56.43,56.72,30345597
2010-04-19,56.08,56.61,55.89,56.57,19656929
2010-04-20,57.0,57.08,56.78,56.92,14039780
2010-04-21,56.69,56.79,56.26,56.55,15597306
2010-04-22,55.68,56.14,55.32,56.04,22128121
2010-04-23,55.81,56.49,55.63,56.46,18250075
2010-04-26,56.62,56.75,56.4,56.52,19670419
2010-04-27,55.7,56.08,54.12,54.25,39699080
2010-04-28,54.69,54.79,53.68,54.26,32895227
2010-04-29,54.85,55.23,54.71,55.1,21405815
2010-04-30,55.12,55.18,54.27,54.41,24817082
2010-05-03,54.51,54.99,54.41,54.8,22046280
2010-05-04,53.39,53.42,52.41,52.63,42932405
2010-05-05,51.45,52.24,51.34,51.62,40791272
2010-05-06,51.28,51.6,47.26,49.32,64520886
2010-05-07,49.81,50.31,48.3,49.21,66179372
2010-05-10,52.45,52.85,51.95,52.4,63301689
2010-05-11,51.21,52.36,51.16,51.55,42343521
2010-05-12,51.99,52.44,51.9,52.13,27785524
2010-05-13,51.76,52.12,51.32,51.45,29677201
2010-05-14,50.82,50.92,49.55,49.99,40366302
2010-05-17,50.17,50.4,48.9,50.06,33131898
2010-05-18,50.54,50.63,48.73,48.98,39157628
2010-05-19,48.88,49.34,48.35,49.17,41441764
2010-05-20,47.71,48.26,46.97,47.46,50013681
2010-05-21,47.02,48.68,46.91,48.62,52184666
2010-05-24,47.94,48.32,47.46,47.51,26643558
2010-05-25,46.09,47.39,45.85,47.32,53441898
2010-05-26,47.37,47.78,46.51,46.62,42125546
2010-05-27,48.3,49.3,48.01,49.27,33506803
2010-05-28,,,,48.32,0
2010-06-01,47.89,49.02,47.8,47.84,34753509
2010-06-02,48.06,49.15,47.79,49.12,25336259
2010-06-03,49.37,49.46,48.52,48.97,27019519
2010-06-04,47.76,48.02,46.65,46.88,36685104
2010-06-07,47.07,47.3,46.28,46.29,24384031
2010-06-08,46.55,47.09,46.13,47.03,33911599
2010-06-09,47.34,47.83,46.63,46.86,30395436
2010-06-10,48.24,48.88,48.08,48.84,30505995
2010-06-11,48.29,48.93,48.2,48.91,22459003
2010-06-14,49.63,49.93,49.13,49.22,29477135
2010-06-15,50.0,50.81,49.82,50.78,28365003
2010-06-16,50.15,50.74,50.04,50.54,21785834
2010-06-17,50.78,50.8,50.2,50.7,23402812
2010-06-18,50.63,50.84,50.45,50.61,20182680
2010-06-21,51.39,51.49,50.4,50.6,26081169
2010-06-22,50.72,50.93,49.87,49.96,29123808
2010-06-23,49.46,49.78,48.83,49.43,31159005
2010-06-24,49.1,49.17,48.43,48.57,24218662
2010-06-25,48.54,48.99,48.17,48.85,31883821
2010-06-28,48.75,49.11,48.38,48.49,23915701
2010-06-29,47.6,47.6,46.67,46.83,39761330
2010-06-30,46.9,47.38,46.48,46.51,40111920
2010-07-01,47.1,47.26,46.45,47.19,43453983
2010-07-02,,,,47.09,0
2010-07-06,48.43,48.79,47.7,48.03,26225723
2010-07-07,48.32,49.59,48.27,49.52,31096790
2010-07-08,49.7,50.02,49.33,50.01,30704325
2010-07-09,49.56,50.08,49.48,50.06,19806982
2010-07-12,49.65,49.99,49.51,49.87,19513055
2010-07-13,50.51,50.91,50.41,50.79,21027116
2010-07-14,50.57,51.02,50.43,50.97,17036097
2010-07-15,51.08,51.31,50.42,51.22,21740965
2010-07-16,50.61,50.62,49.51,49.58,29092405
2010-07-19,49.99,50.16,49.48,49.9,15344090
2010-07-20,49.14,50.31,49.12,50.24,17648560
2010-07-21,50.22,50.25,49.17,49.33,18248428
2010-07-22,50.52,51.17,50.52,50.99,25412302
2010-07-23,50.91,51.6,50.74,51.59,26348731
2010-07-26,51.31,51.97,51.19,51.95,29416022
2010-07-27,52.25,52.3,51.71,52.1,31043750
2010-07-28,51.96,52.12,51.67,51.83,18472712
2010-07-29,52.58,52.81,51.61,52.07,20313697
2010-07-30,51.46,52.25,51.4,51.91,25265657
2010-08-02,53.09,53.75,52.96,53.66,20256983
2010-08-03,53.42,53.76,53.16,53.58,18382904
2010-08-04,53.51,53.77,53.22,53.63,15891304
2010-08-05,53.43,53.59,53.15,53.59,13158473
2010-08-06,53.27,53.8,53.09,53.75,18080882
2010-08-09,53.89,53.95,53.68,53.81,13579577
2010-08-10,52.88,53.63,52.58,53.38,20251723
2010-08-11,51.7,51.71,50.87,50.95,40518278
2010-08-12,50.51,51.05,50.5,50.89,22038933
2010-08-13,50.87,51.17,50.69,50.71,18869183
2010-08-16,50.72,51.31,50.58,51.12,16634790
2010-08-17,51.69,51.98,51.4,51.69,13630573
2010-08-18,51.83,52.02,51.46,51.67,14140575
2010-08-19,51.7,51.84,50.6,50.84,20836336
2010-08-20,50.3,50.42,50.0,50.31,16366860
2010-08-23,50.56,50.89,50.2,50.21,13331142
2010-08-24,49.53,49.86,49.16,49.52,21662529
2010-08-25,49.08,49.67,48.82,49.57,18816777
2010-08-26,49.85,50.14,49.4,49.55,16050690
2010-08-27,50.13,50.58,49.48,50.52,16814171
2010-08-30,50.19,50.4,49.78,49.79,17372230
2010-08-31,49.74,50.27,49.54,49.94,24164592
2010-09-01,51.16,51.9,51.06,51.72,25500572
2010-09-02,51.7,52.01,51.54,52.01,14665178
2010-09-03,,,,52.49,0
2010-09-07,52.1,52.14,51.73,51.76,17975280
2010-09-08,52.11,52.54,52.08,52.16,13422542
2010-09-09,53.0,53.0,52.4,52.65,14184620
2010-09-10,52.67,52.86,52.6,52.81,10187666
2010-09-13,53.54,53.81,53.46,53.77,23197308
2010-09-14,53.58,54.34,53.42,54.13,20933217
2010-09-15,53.78,54.21,53.54,54.15,19914812
2010-09-16,53.76,54.03,53.61,53.89,18004952
2010-09-17,53.88,53.98,53.33,53.63,18965288
2010-09-20,53.91,54.66,53.77,54.56,17245053
2010-09-21,54.57,54.98,54.05,54.55,24151368
2010-09-22,54.72,55.01,54.32,54.47,21603102
2010-09-23,53.86,54.41,53.76,53.88,20424272
2010-09-24,54.93,55.48,54.89,55.38,21041690
2010-09-27,55.36,55.41,55.05,55.1,13161945
2010-09-28,55.22,55.55,54.64,55.42,30726513
2010-09-29,55.43,55.62,55.15,55.33,18717446
2010-09-30,55.61,55.81,54.63,54.92,30372428
2010-10-01,55.48,55.59,55.02,55.47,15814900
2010-10-04,54.99,55.21,54.46,54.67,14760356
2010-10-05,55.65,56.38,55.54,56.22,25199773
2010-10-06,56.47,56.71,56.34,56.69,24251871
2010-10-07,57.11,57.12,56.2,56.5,22281556
2010-10-08,56.62,56.97,56.43,56.87,16558426
2010-10-11,56.97,57.03,56.6,56.8,9960623
2010-10-12,56.36,56.83,55.95,56.68,13384107
2010-10-13,57.21,57.62,57.08,57.32,15517322
2010-10-14,57.73,57.93,57.38,57.72,16135396
2010-10-15,57.89,57.92,57.12,57.53,20830869
2010-10-18,57.42,57.91,57.25,57.66,12316607
2010-10-19,56.65,57.01,56.11,56.39,20470945
2010-10-20,56.73,57.67,56.69,57.45,15578854
2010-10-21,57.5,57.87,56.81,57.14,14837598
2010-10-22,57.41,57.5,57.12,57.29,12455950
2010-10-25,57.89,58.1,57.48,57.51,13978974
2010-10-26,56.89,57.2,56.75,57.14,14724546
2010-10-27,56.63,56.77,56.07,56.59,15964422
2010-10-28,57.18,57.2,56.72,57.03,15896797
2010-10-29,56.94,57.14,56.77,57.01,13268010
2010-11-01,57.1,57.3,56.5,56.8,14154940
2010-11-02,57.68,57.85,57.53,57.74,13020577
2010-11-03,57.82,58.14,57.17,58.14,24589485
2010-11-04,59.19,59.5,59.12,59.46,19768864
2010-11-05,59.15,59.43,58.9,59.2,14176165
2010-11-08,58.74,58.96,58.49,58.84,11752495
2010-11-09,59.2,59.35,58.05,58.25,17333460
2010-11-10,58.45,58.57,57.65,58.42,19340682
2010-11-11,57.84,58.01,57.59,57.92,21357380
2010-11-12,57.75,58.06,57.13,57.44,19040504
2010-11-15,57.83,57.93,57.39,57.4,15067462
2010-11-16,56.9,57.0,55.8,56.05,40569658
2010-11-17,56.35,56.67,56.22,56.36,22314990
2010-11-18,57.55,57.83,57.5,57.77,19343305
2010-11-19,57.31,57.8,57.03,57.77,14201099
2010-11-22,57.1,57.4,56.49,57.15,28197563
2010-11-23,55.87,56.07,55.29,55.43,22439090
2010-11-24,,,,56.31,0
2010-11-26,55.37,55.68,55.27,55.37,8693459
2010-11-29,54.77,55.01,54.23,54.88,25857054
2010-11-30,53.88,54.54,53.85,54.26,26227952
2010-12-01,55.33,55.84,55.22,55.8,21834397
2010-12-02,55.69,56.9,55.64,56.86,22405721
2010-12-03,56.9,57.46,56.85,57.41,17799111
2010-12-06,56.9,57.26,56.81,57.15,15411957
2010-12-07,57.91,57.98,57.12,57.18,24788009
2010-12-08,57.24,57.56,56.9,57.35,13426558
2010-12-09,57.52,57.58,57.08,57.5,14969760
2010-12-10,57.46,57.69,57.22,57.63,13416937
2010-12-13,58.09,58.56,57.98,58.25,15149470
2010-12-14,58.36,58.71,58.22,58.34,16046595
2010-12-15,57.95,58.19,57.42,57.57,19337017
2010-12-16,57.6,57.98,57.41,57.89,15424753
2010-12-17,57.56,57.61,57.26,57.57,16829935
2010-12-20,57.85,57.86,57.45,57.7,12685538
2010-12-21,57.65,57.72,57.52,57.64,18172489
2010-12-22,57.65,57.76,57.55,57.75,9188725
2010-12-23,,,,57.72,0
2010-12-27,57.38,57.62,57.28,57.6,6348519
2010-12-28,57.91,57.92,57.52,57.65,9601136
2010-12-29,58.01,58.29,57.94,58.15,9244848
2010-12-30,58.03,58.08,57.65,57.87,10546218
2010-12-31,57.87,58.62,57.85,58.22,28390767
2011-01-03,58.61,58.87,58.56,58.7,16245367
2011-01-04,58.95,58.98,58.23,58.52,14583100
2011-01-05,57.66,58.27,57.65,58.27,13008800
2011-01-06,58.31,58.35,57.47,57.6,23622047
2011-01-07,57.69,57.83,57.07,57.37,16347332
2011-01-10,56.97,57.34,56.72,57.27,12666485
2011-01-11,57.62,57.76,57.36,57.66,15014049
2011-01-12,58.35,58.93,58.25,58.93,20472316
2011-01-13,59.34,59.51,59.0,59.09,16441074
2011-01-14,,,,59.45,0
2011-01-18,59.71,59.95,59.63,59.84,11977004
2011-01-19,60.03,60.07,59.26,59.43,19678805
2011-01-20,58.9,59.14,58.44,58.92,17207826
2011-01-21,59.42,59.54,59.08,59.24,13671431
2011-01-24,59.14,59.87,59.14,59.87,13493923
2011-01-25,59.39,59.76,59.2,59.75,13323256
2011-01-26,60.03,60.24,59.85,60.13,20444605
2011-01-27,60.19,60.41,59.94,60.27,11888945
2011-01-28,59.91,60.08,58.81,58.93,18244153
2011-01-31,59.41,59.69,59.27,59.44,20763573
2011-02-01,60.2,60.97,60.12,60.85,25762489
2011-02-02,60.73,60.96,60.63,60.78,4628848
2011-02-03,60.51,60.84,60.07,60.81,3133927
2011-02-04,60.62,60.8,60.24,60.79,3126637
2011-02-07,60.66,61.06,60.64,60.98,3033581
2011-02-08,61.08,61.39,60.84,61.38,3610114
2011-02-09,61.01,61.32,60.88,61.2,4043940
2011-02-10,60.36,60.82,60.18,60.8,3764629
2011-02-11,60.29,60.93,60.25,60.83,3171805
2011-02-14,60.67,61.03,60.64,60.95,2923781
2011-02-15,60.89,60.94,60.64,60.82,3377947
2011-02-16,60.94,61.56,60.94,61.5,4148666
2011-02-17,61.36,61.86,61.33,61.71,4118164
2011-02-18,,,,61.91,0
2011-02-22,60.63,61.08,60.09,60.13,6540331
2011-02-23,60.43,60.63,59.87,60.22,5584013
2011-02-24,60.37,60.52,59.81,60.27,5206721
2011-02-25,60.69,61.04,60.65,61.04,4000681
2011-02-28,61.62,61.8,61.26,61.55,5154193
2011-03-01,61.76,61.8,60.65,60.69,5135498
2011-03-02,60.81,61.3,60.74,60.99,4421262
2011-03-03,61.53,61.81,61.27,61.79,4453258
2011-03-04,61.58,61.68,60.82,61.23,4780403
2011-03-07,61.49,61.63,60.48,60.62,3437276
2011-03-08,60.57,61.03,60.21,60.85,3217508
2011-03-09,60.82,60.99,60.58,60.85,3128324
2011-03-10,59.74,59.75,59.25,59.35,6688817
2011-03-11,58.88,59.48,58.85,59.34,4540630
2011-03-14,57.88,58.33,57.64,58.28,8879464
2011-03-15,55.2,57.38,55.06,57.06,13174820
2011-03-16,56.63,56.86,54.69,55.31,11134570
2011-03-17,57.21,57.45,56.77,57.13,9001636
2011-03-18,57.97,58.1,57.65,57.9,12328217
2011-03-21,58.96,59.44,58.83,59.37,7073621
2011-03-22,59.34,59.35,58.89,59.18,4819928
2011-03-23,58.83,59.4,58.6,59.25,5199093
2011-03-24,59.51,60.04,59.35,60.04,3922309
2011-03-25,59.58,59.85,59.36,59.38,3574186
2011-03-28,59.53,59.74,59.31,59.35,3595658
2011-03-29,59.23,59.67,58.98,59.66,4715893
2011-03-30,60.08,60.44,59.97,60.37,3649764
2011-03-31,59.98,60.28,59.84,60.09,10813167
2011-04-01,60.21,60.72,59.92,60.65,5243133
2011-04-04,60.82,60.86,60.49,60.73,6999657
2011-04-05,60.24,60.76,60.16,60.57,4130732
2011-04-06,60.83,61.15,60.8,61.08,4292279
2011-04-07,60.94,61.13,60.43,60.78,4263425
2011-04-08,61.54,61.59,61.11,61.28,4465241
2011-04-11,61.44,61.61,61.03,61.16,2811674
2011-04-12,60.88,60.95,60.42,60.59,4371838
2011-04-13,61.25,61.29,60.61,60.74,5692168
2011-04-14,60.58,61.14,60.41,61.04,4536822
2011-04-15,60.85,61.05,60.61,60.95,3937852
2011-04-18,59.7,59.81,59.03,59.7,6060264
2011-04-19,60.03,60.23,59.83,60.14,3424697
2011-04-20,61.47,61.72,61.43,61.71,5419394
2011-04-21,,,,62.07,0
2011-04-25,62.14,62.18,61.84,62.07,4113961
2011-04-26,62.23,62.65,62.11,62.56,2926109
2011-04-27,62.74,63.38,62.38,63.32,4906808
2011-04-28,63.29,63.79,63.29,63.76,7032569
2011-04-29,63.79,64.06,63.46,63.46,2532226
2011-05-02,64.15,64.35,63.79,63.87,5403127
2011-05-03,63.45,63.82,63.06,63.35,4298199
2011-05-04,63.43,63.44,62.59,62.82,5329265
2011-05-05,62.12,62.28,61.32,61.55,8877622
2011-05-06,62.44,62.65,61.26,61.6,8580497
2011-05-09,61.65,62.09,61.36,62.04,5891325
2011-05-10,62.25,62.66,62.13,62.63,4919130
2011-05-11,62.37,62.37,61.13,61.37,10666079
2011-05-12,61.18,61.86,60.81,61.57,7734954
2011-05-13,61.43,61.49,60.28,60.61,7613623
2011-05-16,60.44,61.16,60.32,60.5,6785995
2011-05-17,60.18,60.65,59.9,60.64,6189403
2011-05-18,60.6,61.18,60.42,60.99,4101490
2011-05-19,61.2,61.41,60.81,61.36,3681647
2011-05-20,60.9,60.99,60.25,60.43,6286210
2011-05-23,59.09,59.32,58.83,59.08,6927567
2011-05-24,59.55,59.77,59.24,59.42,5942642
2011-05-25,59.25,59.96,59.2,59.8,5826559
2011-05-26,60.07,60.5,59.71,60.36,6010502
2011-05-27,,,,60.8,0
2011-05-31,61.8,62.06,61.45,62.06,10961306
2011-06-01,61.73,61.78,60.52,60.59,9596251
2011-06-02,60.91,61.02,60.25,60.91,6328141
2011-06-03,60.34,61.27,60.27,60.93,5722644
2011-06-06,60.76,60.83,60.1,60.14,4444208
2011-06-07,60.91,61.13,60.67,60.68,7261674
2011-06-08,60.29,60.43,59.83,59.93,6031825
