Date,Open,High,Low,Close,Volume
2010-01-04,10.99,11.02,10.94,10.99,2369420
2010-01-05,10.99,11.04,10.94,10.98,1871910
2010-01-06,11.08,11.18,11.06,11.16,2183370
2010-01-07,11.12,11.13,11.08,11.09,1631190
2010-01-08,11.15,11.16,11.04,11.14,1473310
2010-01-11,11.34,11.36,11.26,11.3,1901060
2010-01-12,11.25,11.31,11.02,11.06,3821370
2010-01-13,11.1,11.16,10.97,11.16,3169080
2010-01-14,11.16,11.24,11.1,11.21,1860240
2010-01-15,,,,11.1,0
2010-01-19,11.1,11.18,11.1,11.17,1943930
2010-01-20,11.0,11.01,10.86,10.9,3029320
2010-01-21,10.86,10.88,10.67,10.75,3410610
2010-01-22,10.71,10.78,10.61,10.72,3685940
2010-01-25,10.75,10.78,10.72,10.76,2474480
2010-01-26,10.69,10.8,10.68,10.76,1845990
2010-01-27,10.76,10.78,10.62,10.66,3869470
2010-01-28,10.72,10.73,10.53,10.65,2703330
2010-01-29,10.59,10.63,10.53,10.6,4967240
2010-02-01,10.66,10.85,10.64,10.84,2976280
2010-02-02,10.92,10.97,10.87,10.92,1563050
2010-02-03,10.92,10.96,10.85,10.87,1688870
2010-02-04,10.69,10.69,10.38,10.44,7314850
2010-02-05,10.38,10.47,10.23,10.46,11935960
2010-02-08,10.44,10.52,10.41,10.41,6864140
2010-02-09,10.53,10.62,10.49,10.55,3600390
2010-02-10,10.52,10.56,10.42,10.52,2251160
2010-02-11,10.56,10.76,10.53,10.72,2392110
2010-02-12,,,,10.71,0
2010-02-16,10.95,10.99,10.92,10.97,2869320
2010-02-17,10.98,11.01,10.9,10.93,2428120
2010-02-18,10.97,11.02,10.93,11.0,1346330
2010-02-19,10.94,11.04,10.9,10.96,1620520
2010-02-22,11.0,11.0,10.88,10.92,1724710
2010-02-23,10.89,10.89,10.77,10.8,1401090
2010-02-24,10.74,10.82,10.72,10.74,1947050
2010-02-25,10.68,10.88,10.68,10.83,1723430
2010-02-26,10.9,10.97,10.86,10.95,1007360
2010-03-01,10.96,10.99,10.91,10.95,1325670
2010-03-02,11.0,11.15,10.99,11.11,1290710
2010-03-03,11.16,11.22,11.13,11.17,1149410
2010-03-04,11.13,11.14,11.03,11.1,1228080
2010-03-05,11.12,11.18,11.09,11.09,713510
2010-03-08,11.13,11.14,10.96,11.0,1367120
2010-03-09,10.92,11.02,10.92,10.98,1007760
2010-03-10,11.0,11.05,10.81,10.85,1237680
2010-03-11,10.84,10.87,10.79,10.86,2072920
2010-03-12,10.86,10.88,10.76,10.8,1276650
2010-03-15,10.82,10.85,10.79,10.85,755260
2010-03-16,11.0,11.06,10.98,11.04,1607030
2010-03-17,11.03,11.05,10.96,10.96,925360
2010-03-18,11.02,11.06,10.96,11.04,753890
2010-03-19,11.03,11.03,10.8,10.84,2292730
2010-03-22,10.73,10.8,10.7,10.78,990980
2010-03-23,10.76,10.86,10.74,10.84,1082720
2010-03-24,10.7,10.71,10.63,10.64,1104580
2010-03-25,10.71,10.73,10.66,10.68,1099010
2010-03-26,10.72,10.88,10.69,10.86,1539600
2010-03-29,10.9,10.92,10.85,10.88,1306660
2010-03-30,10.86,10.87,10.8,10.8,1228180
2010-03-31,10.95,10.96,10.89,10.9,1504510
2010-04-01,,,,11.03,0
2010-04-05,11.06,11.11,11.04,11.09,1724890
2010-04-06,11.1,11.16,11.09,11.11,3103310
2010-04-07,11.2,11.3,11.19,11.25,1548660
2010-04-08,11.26,11.3,11.24,11.27,1022270
2010-04-09,11.32,11.41,11.28,11.37,1380430
2010-04-12,11.37,11.42,11.31,11.31,1599490
2010-04-13,11.32,11.32,11.22,11.27,2681160
2010-04-14,11.33,11.37,11.29,11.31,986070
2010-04-15,11.3,11.38,11.3,11.37,2111350
2010-04-16,11.26,11.31,11.06,11.13,4015980
2010-04-19,11.09,11.14,11.08,11.12,947660
2010-04-20,11.18,11.23,11.14,11.15,1166630
2010-04-21,11.19,11.27,11.16,11.24,1590510
2010-04-22,11.18,11.21,11.09,11.19,2673630
2010-04-23,11.14,11.34,11.12,11.32,2467350
2010-04-26,11.3,11.32,11.27,11.28,2013680
2010-04-27,11.25,11.49,11.24,11.47,7202610
2010-04-28,11.41,11.5,11.37,11.44,4486430
2010-04-29,11.39,11.46,11.39,11.44,2925870
2010-04-30,11.53,11.58,11.53,11.54,2675800
2010-05-03,11.6,11.64,11.57,11.58,1612710
2010-05-04,11.65,11.65,11.43,11.5,3975350
2010-05-05,11.37,11.53,11.34,11.52,3388010
2010-05-06,11.58,11.87,11.57,11.85,8364610
2010-05-07,11.77,11.89,11.69,11.84,7030080
2010-05-10,11.75,11.8,11.69,11.76,6281010
2010-05-11,11.95,12.09,11.91,12.07,3806600
2010-05-12,12.13,12.23,12.09,12.14,4190390
2010-05-13,12.14,12.18,12.02,12.07,3222810
2010-05-14,12.2,12.21,11.92,12.05,4665430
2010-05-17,12.06,12.12,11.94,11.94,4657030
2010-05-18,11.9,12.04,11.86,11.95,4057780
2010-05-19,11.82,11.85,11.62,11.68,5616140
2010-05-20,11.62,11.7,11.53,11.59,7578200
2010-05-21,11.51,11.62,11.46,11.53,3728390
2010-05-24,11.64,11.72,11.61,11.69,2522960
2010-05-25,11.72,11.76,11.69,11.74,3995890
2010-05-26,11.87,11.91,11.83,11.86,4638410
2010-05-27,11.82,11.91,11.82,11.88,1879890
2010-05-28,,,,11.89,0
2010-06-01,12.0,12.03,11.97,11.99,1345160
2010-06-02,11.94,11.99,11.88,11.98,2936560
2010-06-03,11.92,11.94,11.76,11.8,2672890
2010-06-04,11.8,11.94,11.71,11.93,2310910
2010-06-07,11.88,12.19,11.87,12.15,3122730
2010-06-08,12.17,12.25,12.08,12.11,4092610
2010-06-09,12.06,12.11,11.96,12.06,2360390
2010-06-10,11.95,12.01,11.9,11.9,2993950
2010-06-11,12.0,12.05,11.95,12.01,1704100
2010-06-14,11.97,12.03,11.91,11.97,3068350
2010-06-15,11.98,12.11,11.96,12.11,1387800
2010-06-16,12.07,12.09,12.01,12.04,1296380
2010-06-17,12.17,12.25,12.16,12.2,2091600
2010-06-18,12.32,12.36,12.29,12.29,1464700
2010-06-21,12.32,12.32,12.04,12.05,2310920
2010-06-22,12.13,12.16,12.1,12.15,3115960
2010-06-23,12.1,12.11,11.99,12.11,1648130
2010-06-24,12.08,12.23,12.08,12.14,3547468
2010-06-25,12.29,12.33,12.25,12.29,2460654
2010-06-28,12.29,12.37,12.09,12.11,2779746
2010-06-29,12.12,12.19,12.01,12.14,3248547
2010-06-30,12.11,12.22,12.1,12.17,2973431
2010-07-01,12.1,12.11,11.71,11.71,9041887
2010-07-02,,,,11.85,0
