Date,Open,High,Low,Close,Volume
2010-01-04,53.09,53.31,51.85,52.11,1026287
2010-01-05,52.17,52.34,51.5,52.32,669542
2010-01-06,52.23,52.72,52.05,52.19,1015703
2010-01-07,52.15,53.04,51.68,52.68,871362
2010-01-08,52.53,52.63,51.8,52.25,871629
2010-01-11,52.5,52.92,52.29,52.58,771158
2010-01-12,52.09,52.58,51.4,51.64,1198407
2010-01-13,51.78,52.91,51.75,52.77,1191051
2010-01-14,52.66,52.88,52.3,52.67,740532
2010-01-15,,,,52.23,0
2010-01-19,52.07,53.48,52.07,53.39,1170524
2010-01-20,52.87,52.97,52.18,52.68,2128095
2010-01-21,52.65,53.04,50.99,51.13,2542207
2010-01-22,50.93,51.46,49.63,49.95,1914278
2010-01-25,50.35,50.42,49.14,50.15,1603736
2010-01-26,49.81,50.47,49.59,49.69,1177532
2010-01-27,49.7,50.15,48.85,50.07,3028295
2010-01-28,50.4,50.4,49.2,49.63,1249812
2010-01-29,49.92,50.43,48.97,49.32,1817856
2010-02-01,49.63,50.44,49.59,50.31,1596124
2010-02-02,50.37,51.33,49.92,51.04,2135691
2010-02-03,50.73,50.78,49.84,50.25,1760439
2010-02-04,49.82,49.87,48.3,48.36,2669396
2010-02-05,48.42,49.49,47.79,49.27,2809104
2010-02-08,49.32,49.65,48.05,48.21,1562054
2010-02-09,48.6,48.88,47.64,48.06,2531650
2010-02-10,48.06,48.78,47.23,48.17,1249832
2010-02-11,48.12,48.49,47.49,48.46,1535093
2010-02-12,,,,48.93,0
2010-02-16,49.3,50.45,49.21,50.3,1205476
2010-02-17,50.58,51.04,50.34,50.8,1291907
2010-02-18,50.69,51.77,50.46,51.52,933276
2010-02-19,51.24,51.96,51.17,51.69,1043446
2010-02-22,51.75,52.2,51.55,51.86,934985
2010-02-23,51.63,52.0,51.28,51.46,1497602
2010-02-24,51.43,52.0,51.41,51.97,1170389
2010-02-25,51.22,52.32,51.05,52.27,992297
2010-02-26,52.25,52.85,51.99,52.12,785620
2010-03-01,52.37,52.89,52.36,52.69,636263
2010-03-02,52.79,53.06,52.62,52.73,615850
2010-03-03,52.79,52.92,52.51,52.63,693022
