Date,Open,High,Low,Close,Volume
2010-01-04,73.16,73.79,73.11,73.63,869917
2010-01-05,73.45,73.86,73.14,73.85,707738
2010-01-06,73.88,74.32,73.84,74.24,504066
2010-01-07,74.16,74.65,73.75,74.61,503360
2010-01-08,74.43,75.08,74.28,75.08,505080
2010-01-11,75.38,75.42,74.7,74.94,444931
2010-01-12,74.51,74.58,73.68,74.0,479298
2010-01-13,74.31,75.03,73.82,74.93,504555
2010-01-14,74.76,75.25,74.7,75.15,468854
2010-01-15,,,,74.15,0
2010-01-19,74.29,75.12,74.26,75.04,420824
2010-01-20,74.48,74.64,73.8,74.5,801147
2010-01-21,74.62,74.93,73.39,73.56,1140778
2010-01-22,73.5,73.57,71.88,71.99,1025814
2010-01-25,72.5,72.61,71.76,72.11,686485
2010-01-26,72.1,72.61,71.69,71.87,836746
2010-01-27,71.72,72.15,71.0,71.97,1134609
2010-01-28,72.19,72.2,70.54,71.05,973408
2010-01-29,71.18,71.96,70.04,70.07,901208
2010-02-01,70.22,71.17,70.19,71.11,885287
2010-02-02,71.33,72.31,71.01,72.15,770207
2010-02-03,71.88,72.21,71.46,71.84,2351265
2010-02-04,71.21,71.24,69.45,69.5,1071979
2010-02-05,69.44,69.71,68.05,69.67,1193482
2010-02-08,69.56,70.04,68.93,69.11,561787
2010-02-09,70.01,70.47,69.28,69.93,1182293
2010-02-10,69.82,70.38,69.19,69.95,858511
2010-02-11,69.89,70.97,69.46,70.89,720210
2010-02-12,,,,71.34,0
2010-02-16,72.22,72.67,71.72,72.66,841313
2010-02-17,72.89,73.2,72.67,73.15,630827
2010-02-18,73.13,73.69,73.05,73.69,567287
2010-02-19,73.51,74.06,73.3,73.86,874195
2010-02-22,74.18,74.28,73.72,73.93,621705
2010-02-23,73.8,73.88,72.86,72.86,891005
2010-02-24,73.15,73.73,73.05,73.61,657068
2010-02-25,72.66,73.8,72.39,73.79,797899
2010-02-26,73.83,73.88,73.22,73.72,958025
2010-03-01,74.05,75.06,74.04,75.02,1912698
2010-03-02,75.32,75.83,75.22,75.55,1362647
2010-03-03,75.84,76.32,75.65,75.89,3297573
2010-03-04,75.96,76.21,75.6,75.92,905098
2010-03-05,76.32,77.01,76.18,76.98,986024
2010-03-08,77.0,77.25,76.95,77.16,675639
2010-03-09,76.9,77.65,76.89,77.13,1003095
2010-03-10,77.23,77.86,77.17,77.79,962516
2010-03-11,77.46,78.21,77.22,78.18,964674
2010-03-12,78.5,78.5,77.77,78.34,960672
2010-03-15,78.3,78.4,77.53,78.18,623259
2010-03-16,78.45,79.07,78.15,79.07,921381
2010-03-17,79.29,79.94,79.27,79.65,927806
2010-03-18,79.67,79.82,79.15,79.26,855982
2010-03-19,79.51,79.52,78.25,78.39,1485689
2010-03-22,77.93,79.46,77.84,79.34,1001722
2010-03-23,79.44,80.05,79.09,80.04,1010170
2010-03-24,79.69,79.85,79.29,79.34,816437
2010-03-25,79.75,79.9,78.56,78.68,830699
2010-03-26,78.8,79.15,78.17,78.47,1239777
2010-03-29,78.85,79.18,78.75,79.16,1092590
2010-03-30,79.3,79.63,78.84,79.29,768378
2010-03-31,79.04,79.55,78.62,78.7,603564
2010-04-01,,,,79.57,0
2010-04-05,79.88,80.84,79.74,80.83,685327
2010-04-06,80.53,81.35,80.53,81.27,652269
2010-04-07,81.09,81.16,80.21,80.63,1569253
