Date,Open,High,Low,Close,Volume
2010-01-04,27.8,28.08,27.78,28.04,3055406
2010-01-05,28.01,28.08,27.8,27.95,3075120
2010-01-06,27.91,28.06,27.82,27.92,1861288
2010-01-07,27.94,28.12,27.66,28.12,4175052
2010-01-08,28.04,28.22,27.94,28.22,1378908
2010-01-11,28.36,28.39,28.0,28.12,1641906
2010-01-12,27.96,28.04,27.72,27.86,3751666
2010-01-13,27.92,28.22,27.72,28.18,2654888
2010-01-14,28.08,28.37,28.04,28.3,2128434
2010-01-15,,,,27.93,0
2010-01-19,28.02,28.42,28.02,28.42,5245476
2010-01-20,28.22,28.22,27.7,28.02,3392982
2010-01-21,28.03,28.22,27.51,27.69,3598440
2010-01-22,27.61,27.75,27.08,27.14,4356312
2010-01-25,27.34,27.35,27.02,27.18,3234544
2010-01-26,27.08,27.31,26.94,26.97,2654224
2010-01-27,26.88,27.3,26.77,27.25,3995938
2010-01-28,27.31,27.35,26.54,26.76,3349222
2010-01-29,26.88,27.16,26.45,26.5,4232696
2010-02-01,26.63,26.81,26.5,26.76,2750046
2010-02-02,26.82,27.06,26.66,27.0,2380326
2010-02-03,26.9,27.05,26.58,26.78,4552024
2010-02-04,26.62,26.64,25.96,25.98,6702414
2010-02-05,26.01,26.06,25.51,26.02,4664564
2010-02-08,25.88,26.1,25.74,25.74,11524206
2010-02-09,26.07,26.26,25.79,26.1,3414942
2010-02-10,26.04,26.25,25.78,26.2,2619526
2010-02-11,26.1,26.58,25.9,26.56,2126294
2010-02-12,,,,26.76,0
2010-02-16,27.0,27.19,26.78,27.18,2129110
2010-02-17,27.3,27.4,27.14,27.34,1946936
2010-02-18,27.34,27.62,27.29,27.62,2744618
2010-02-19,27.48,27.8,27.46,27.7,2637754
2010-02-22,27.82,27.85,27.68,27.78,1655442
2010-02-23,27.72,27.78,27.38,27.48,2700384
2010-02-24,27.58,27.88,27.52,27.74,2197802
2010-02-25,27.38,27.76,27.3,27.7,2475388
2010-02-26,27.78,27.82,27.5,27.59,4093788
2010-03-01,27.83,28.26,27.83,28.2,1972436
2010-03-02,28.3,28.56,28.28,28.43,2441744
2010-03-03,28.54,28.74,28.44,28.56,2257982
2010-03-04,28.58,28.66,28.46,28.62,1925790
2010-03-05,28.81,29.2,28.7,29.16,2055954
2010-03-08,29.19,29.32,29.14,29.26,2383138
2010-03-09,29.16,29.56,29.15,29.38,1700468
2010-03-10,29.4,29.74,29.37,29.59,1983616
2010-03-11,29.44,29.69,29.32,29.66,1677322
2010-03-12,29.81,29.81,29.45,29.68,1760476
2010-03-15,29.72,29.74,29.4,29.61,8427312
2010-03-16,29.78,29.89,29.56,29.87,3483762
2010-03-17,29.94,30.22,29.92,30.1,2383598
2010-03-18,30.09,30.24,29.96,30.03,3963806
2010-03-19,30.1,30.12,29.58,29.68,2282906
2010-03-22,29.5,30.19,29.45,30.14,2221408
2010-03-23,30.19,30.5,29.99,30.47,1915012
2010-03-24,30.33,30.39,30.06,30.08,3044952
2010-03-25,30.29,30.46,29.82,29.86,3040318
2010-03-26,29.98,30.14,29.7,29.8,3735584
2010-03-29,29.93,30.05,29.78,29.9,2118686
2010-03-30,29.98,30.16,29.8,30.05,4281478
2010-03-31,29.92,30.21,29.72,29.72,1912326
2010-04-01,,,,30.0,0
2010-04-05,30.12,30.6,30.02,30.6,4042880
2010-04-06,30.45,30.8,30.38,30.72,2023602
2010-04-07,30.69,30.8,30.45,30.66,1643412
2010-04-08,30.56,30.72,30.3,30.6,2085138
2010-04-09,30.62,30.76,30.4,30.76,1749810
2010-04-12,30.78,30.92,30.66,30.88,1898982
2010-04-13,30.8,30.96,30.61,30.96,1803936
2010-04-14,31.1,31.58,31.08,31.58,2497594
2010-04-15,31.54,31.71,31.52,31.63,3040140
2010-04-16,31.54,31.7,31.08,31.31,2852886
2010-04-19,31.1,31.4,30.74,31.24,2949818
2010-04-20,31.41,31.64,31.26,31.64,3788238
2010-04-21,31.7,31.92,31.58,31.88,3408566
2010-04-22,31.58,32.31,31.4,32.26,2806406
2010-04-23,32.32,32.61,32.12,32.56,1854214
2010-04-26,32.6,32.81,32.42,32.45,2533650
2010-04-27,32.32,32.62,31.66,31.71,4470774
2010-04-28,31.89,31.97,31.62,31.8,3517272
2010-04-29,32.02,32.58,31.83,32.56,9166754
2010-04-30,32.58,32.61,31.45,31.46,3087262
2010-05-03,31.65,32.2,31.65,32.16,2774622
2010-05-04,31.72,31.73,31.08,31.24,5583880
2010-05-05,30.98,31.3,30.65,30.82,4785898
2010-05-06,30.6,30.98,13.66,29.76,6893750
2010-05-07,29.46,29.92,28.67,28.98,7925922
2010-05-10,30.34,30.54,30.02,30.54,6385052
2010-05-11,30.15,31.14,30.07,30.68,5086756
2010-05-12,30.82,31.63,30.8,31.62,2908040
2010-05-13,31.52,31.78,31.16,31.34,4249344
2010-05-14,31.17,31.17,30.37,30.76,2644614
2010-05-17,31.0,31.24,30.02,30.95,11021678
2010-05-18,31.36,31.4,30.22,30.34,5304414
2010-05-19,30.15,30.53,29.6,30.04,4315868
2010-05-20,29.32,29.39,28.51,28.52,5512984
2010-05-21,28.03,29.12,27.92,28.92,5433056
