Date,Open,High,Low,Close,Volume
2010-01-04,59.23,59.82,59.23,59.77,535080
2010-01-05,59.7,59.7,58.97,59.28,256748
2010-01-06,59.28,59.59,59.1,59.33,142017
2010-01-07,59.28,59.95,58.84,59.88,613497
2010-01-08,59.78,60.17,59.56,60.17,95646
2010-01-11,60.43,60.52,59.69,60.05,160972
2010-01-12,59.52,59.87,59.15,59.51,91933
2010-01-13,59.67,60.22,59.26,60.07,91476
2010-01-14,59.91,60.61,59.81,60.44,107932
2010-01-15,,,,59.68,0
2010-01-19,59.8,60.7,59.8,60.65,113645
2010-01-20,60.28,60.28,59.09,59.78,190886
2010-01-21,59.84,60.26,58.81,59.17,117470
2010-01-22,59.11,59.4,57.93,58.12,200868
2010-01-25,58.38,58.51,57.81,58.27,119449
2010-01-26,58.05,58.61,57.75,57.81,156183
2010-01-27,57.57,58.54,57.31,58.44,90194
2010-01-28,58.56,58.58,56.84,57.36,101472
2010-01-29,57.63,58.25,56.77,56.9,128784
2010-02-01,57.15,57.47,56.81,57.36,169207
2010-02-02,57.44,57.9,57.11,57.81,92158
2010-02-03,57.55,57.84,56.82,57.29,101636
2010-02-04,56.99,56.99,55.61,55.65,119301
2010-02-05,55.7,55.92,54.74,55.9,232214
2010-02-08,55.75,55.96,55.13,55.13,214921
2010-02-09,55.89,56.23,55.22,55.92,228901
2010-02-10,55.72,56.15,55.15,55.99,109860
2010-02-11,55.86,56.94,55.4,56.9,94001
2010-02-12,,,,57.31,0
2010-02-16,57.89,58.23,57.31,58.07,108773
2010-02-17,58.52,58.58,58.03,58.5,246359
2010-02-18,58.57,59.19,58.52,59.18,147945
2010-02-19,58.86,59.67,58.86,59.51,122664
2010-02-22,59.8,59.94,59.53,59.74,239471
2010-02-23,59.66,59.83,58.94,59.22,163800
2010-02-24,59.45,60.14,59.33,59.9,80160
2010-02-25,58.98,59.85,58.85,59.83,247823
2010-02-26,59.92,60.06,59.29,59.61,195331
2010-03-01,60.01,60.88,60.01,60.82,953485
2010-03-02,60.96,61.53,60.84,61.16,1720675
2010-03-03,61.38,61.87,61.23,61.5,2052649
2010-03-04,61.6,61.77,61.33,61.7,402645
2010-03-05,62.15,63.03,61.82,63.03,248588
2010-03-08,63.02,63.26,62.9,63.15,184607
2010-03-09,62.9,63.76,62.83,63.38,150875
2010-03-10,63.48,64.27,63.43,64.01,259926
2010-03-11,63.73,64.08,63.3,64.0,194917
2010-03-12,64.38,64.38,63.59,64.0,424862
2010-03-15,63.97,64.1,63.39,63.92,398927
2010-03-16,64.27,64.49,63.79,64.49,117434
2010-03-17,64.65,65.25,64.65,64.97,144880
2010-03-18,64.95,65.34,64.69,64.85,132996
2010-03-19,64.94,65.13,63.93,64.18,158241
2010-03-22,63.78,65.25,63.7,65.15,382730
2010-03-23,65.29,65.81,64.75,65.76,252310
2010-03-24,65.53,65.62,64.88,64.88,373162
2010-03-25,65.25,65.76,64.35,64.37,1109853
2010-03-26,64.67,65.03,64.14,64.3,205977
2010-03-29,64.7,64.9,64.21,64.53,2717193
2010-03-30,64.67,65.09,64.33,64.75,830719
2010-03-31,64.54,65.17,64.05,64.13,624528
2010-04-01,,,,64.77,0
2010-04-05,64.87,65.96,64.7,65.96,370287
2010-04-06,65.75,66.61,65.6,66.48,851122
2010-04-07,66.46,66.77,66.0,66.42,159625
2010-04-08,66.23,66.58,65.68,66.32,187614
2010-04-09,66.4,66.71,65.97,66.65,121912
2010-04-12,66.76,67.03,66.5,66.92,119606
2010-04-13,66.72,67.1,66.29,67.07,272976
2010-04-14,67.46,68.44,67.35,68.42,230969
2010-04-15,68.37,68.64,68.17,68.5,385251
2010-04-16,68.31,68.58,67.25,67.64,1159478
2010-04-19,67.22,67.93,66.51,67.59,330059
2010-04-20,68.01,68.51,67.66,68.51,199531
2010-04-21,68.52,69.22,68.4,69.09,307966
2010-04-22,68.51,70.16,68.16,70.07,432447
2010-04-23,70.2,70.85,69.74,70.82,488596
2010-04-26,70.84,71.29,70.41,70.44,352718
2010-04-27,70.07,70.84,68.66,68.82,808126
2010-04-28,69.2,69.32,68.62,68.87,406388
2010-04-29,69.46,70.8,69.08,70.8,318021
2010-04-30,70.83,70.83,68.33,68.38,488195
2010-05-03,68.79,69.9,68.68,69.85,390670
2010-05-04,68.82,68.84,67.26,67.66,558408
2010-05-05,67.09,67.68,66.34,66.7,651197
2010-05-06,66.13,67.0,0.0,64.22,922129
2010-05-07,63.62,64.55,61.87,62.36,540546
2010-05-10,65.56,66.0,64.73,65.81,1668944
2010-05-11,64.93,67.26,64.8,66.27,677669
2010-05-12,66.6,68.46,66.52,68.35,629367
2010-05-13,68.2,68.73,67.42,67.83,1341034
2010-05-14,67.53,67.53,65.72,66.62,362430
2010-05-17,66.96,67.64,64.92,66.99,457579
2010-05-18,67.91,68.11,65.36,65.68,751781
2010-05-19,65.16,66.08,63.93,64.82,594077
2010-05-20,62.95,63.82,61.24,61.28,805111
2010-05-21,60.13,62.52,59.63,62.05,741716
2010-05-24,61.79,62.26,61.05,61.05,509385
2010-05-25,59.51,60.92,58.55,60.91,460523
2010-05-26,61.0,62.42,60.61,60.83,428866
2010-05-27,62.43,63.42,61.83,63.4,1271591
2010-05-28,,,,62.54,0
2010-06-01,61.83,62.7,60.72,60.76,2233504
2010-06-02,60.93,62.2,60.42,62.19,282107
2010-06-03,62.3,63.12,62.08,62.99,308433
2010-06-04,61.53,61.79,59.52,59.72,459491
2010-06-07,59.92,60.18,58.25,58.25,459404
2010-06-08,58.52,58.83,57.19,58.12,1408715
2010-06-09,58.63,59.47,57.86,58.19,226666
2010-06-10,59.15,60.07,58.94,60.04,205525
2010-06-11,59.4,60.85,59.36,60.85,183032
2010-06-14,61.56,62.27,61.03,61.14,262003
2010-06-15,61.8,62.8,61.42,62.61,186202
2010-06-16,62.23,62.98,62.0,62.33,149666
2010-06-17,62.74,62.91,61.62,62.33,221403
2010-06-18,62.61,62.88,62.04,62.35,149850
2010-06-21,63.29,63.58,61.4,61.83,155933
2010-06-22,61.97,62.73,60.46,60.46,120711
2010-06-23,60.3,60.82,59.47,60.12,109520
2010-06-24,59.62,60.23,59.16,59.25,248941
2010-06-25,59.4,60.56,58.92,60.38,92514
2010-06-28,60.21,61.07,59.77,60.01,1212519
2010-06-29,59.29,59.29,57.52,57.93,387441
2010-06-30,57.75,58.6,57.09,57.21,428642
2010-07-01,57.32,57.5,55.45,56.82,754880
2010-07-02,,,,56.18,0
2010-07-06,57.06,57.52,54.98,55.32,426319
2010-07-07,55.44,57.31,55.44,57.19,704978
2010-07-08,57.94,58.24,57.29,58.2,290714
2010-07-09,58.23,59.09,58.14,59.03,206434
2010-07-12,58.85,59.3,57.85,58.41,189815
2010-07-13,59.13,60.67,59.07,60.46,484238
2010-07-14,60.29,60.46,59.62,60.06,113946
2010-07-15,60.28,60.28,58.77,59.55,156043
