Date,Open,High,Low,Close,Volume
2010-01-04,110.18,110.2,110.16,110.2,301045
2010-01-05,110.18,110.2,110.16,110.16,420461
2010-01-06,110.19,110.21,110.16,110.17,563138
2010-01-07,110.18,110.19,110.17,110.17,150567
2010-01-08,110.17,110.21,110.17,110.21,190587
2010-01-11,110.19,110.22,110.19,110.21,346554
2010-01-12,110.2,110.21,110.18,110.2,122367
2010-01-13,110.22,110.22,110.19,110.19,165692
2010-01-14,110.21,110.22,110.19,110.19,107446
2010-01-15,,,,110.18,0
2010-01-19,110.2,110.22,110.19,110.2,250154
2010-01-20,110.21,110.21,110.19,110.2,142781
2010-01-21,110.19,110.23,110.19,110.2,634145
2010-01-22,110.2,110.2,110.18,110.18,327134
2010-01-25,110.19,110.23,110.18,110.22,187539
2010-01-26,110.2,110.23,110.2,110.22,301167
2010-01-27,110.2,110.22,110.18,110.18,301678
2010-01-28,110.2,110.21,110.18,110.18,376117
2010-01-29,110.2,110.22,110.18,110.22,346760
2010-02-01,110.22,110.22,110.19,110.19,252581
2010-02-02,110.18,110.22,110.18,110.21,404043
2010-02-03,110.21,110.22,110.19,110.2,478202
2010-02-04,110.2,110.21,110.19,110.2,348562
2010-02-05,110.17,110.23,110.17,110.18,1061641
2010-02-08,110.17,110.22,110.17,110.22,633070
2010-02-09,110.2,110.22,110.18,110.22,318839
2010-02-10,110.18,110.21,110.18,110.21,152641
2010-02-11,110.2,110.22,110.19,110.22,515166
2010-02-12,,,,110.22,0
2010-02-16,110.21,110.22,110.19,110.19,358889
2010-02-17,110.19,110.21,110.19,110.21,101160
2010-02-18,110.19,110.22,110.19,110.22,149576
2010-02-19,110.21,110.22,110.19,110.2,417281
2010-02-22,110.19,110.21,110.19,110.21,144119
2010-02-23,110.2,110.21,110.18,110.21,108906
2010-02-24,110.2,110.22,110.19,110.2,154942
2010-02-25,110.22,110.23,110.2,110.23,209435
2010-02-26,110.2,110.22,110.2,110.22,248971
2010-03-01,110.16,110.21,110.16,110.21,800447
2010-03-02,110.2,110.21,110.16,110.16,1940853
2010-03-03,110.18,110.22,110.17,110.19,1761099
2010-03-04,110.2,110.21,110.18,110.2,805722
2010-03-05,110.19,110.21,110.17,110.19,1980741
2010-03-08,110.19,110.21,110.18,110.21,723875
2010-03-09,110.2,110.21,110.18,110.2,1131413
2010-03-10,110.18,110.2,110.18,110.19,933096
2010-03-11,110.2,110.2,110.18,110.18,219204
2010-03-12,110.2,110.21,110.18,110.2,1190410
2010-03-15,110.19,110.2,110.18,110.2,101010
2010-03-16,110.18,110.2,110.17,110.17,1388781
2010-03-17,110.19,110.21,110.18,110.2,1729972
2010-03-18,110.21,110.21,110.19,110.2,1032441
2010-03-19,110.18,110.2,110.18,110.2,103231
2010-03-22,110.2,110.2,110.19,110.2,111293
2010-03-23,110.19,110.21,110.19,110.21,569812
2010-03-24,110.19,110.21,110.19,110.19,151767
2010-03-25,110.19,110.2,110.18,110.19,787958
2010-03-26,110.18,110.2,110.18,110.18,264136
2010-03-29,110.18,110.21,110.17,110.18,1433672
2010-03-30,110.18,110.21,110.18,110.21,879657
2010-03-31,110.18,110.2,110.18,110.2,682660
2010-04-05,110.16,110.18,110.14,110.15,1132525
2010-04-06,110.16,110.19,110.14,110.17,696819
2010-04-07,110.16,110.18,110.16,110.16,868392
2010-04-08,110.16,110.18,110.16,110.16,307123
2010-04-09,110.17,110.18,110.14,110.17,477127
2010-04-12,110.16,110.19,110.16,110.18,844429
2010-04-13,110.18,110.19,110.17,110.17,130624
2010-04-14,110.17,110.19,110.17,110.17,175256
2010-04-15,110.18,110.18,110.17,110.17,132501
2010-04-16,110.17,110.21,110.17,110.21,394183
2010-04-19,110.19,110.19,110.16,110.16,258684
