Date,Open,High,Low,Close,Volume,EEM Percent Change
2010-01-04,42.18,42.74,42.16,42.71,70764962,
2010-01-05,42.91,43.17,42.76,43.02,50199062,0.007258253336455134
2010-01-06,43.08,43.3,43.01,43.11,50670650,0.0020920502092049986
2010-01-07,42.85,42.98,42.62,42.86,41803892,-0.00579911853398285
2010-01-08,42.88,43.22,42.74,43.2,41121651,0.00793280447970135
2010-01-11,43.45,43.47,42.9,43.11,42549247,-0.002083333333333437
2010-01-12,42.61,42.7,42.2,42.42,65902562,-0.016005567153792533
2010-01-13,42.59,42.7,42.15,42.55,48040175,0.003064592173502856
2010-01-14,42.52,42.62,42.37,42.44,52894279,-0.0025851938895417037
2010-01-15,,,,41.95,0,-0.011545711592836794
2010-01-19,42.08,42.8,42.07,42.8,57600926,0.02026221692491048
2010-01-20,42.11,42.11,41.43,41.77,78940180,-0.024065420560747564
2010-01-21,41.55,41.68,40.48,40.51,116104234,-0.030165190327986702
2010-01-22,40.22,40.35,39.53,39.61,108174421,-0.022216736608244858
2010-01-25,40.13,40.32,39.66,39.9,86171086,0.007321383489018007
2010-01-26,39.13,39.6,35.81,39.07,89834876,-0.020802005012531266
2010-01-27,38.79,39.12,38.38,38.97,91626371,-0.0025595085743537194
2010-01-28,39.32,39.48,38.36,38.7,98092248,-0.006928406466512604
2010-01-29,39.15,39.26,38.08,38.28,151728285,-0.010852713178294615
2010-02-01,38.64,39.35,38.61,39.31,81928035,0.026907001044932155
2010-02-02,39.39,39.71,39.02,39.63,91743705,0.008140422284405924
2010-02-03,39.64,39.82,39.27,39.4,64330364,-0.005803684077719029
2010-02-04,38.75,38.8,37.6,37.62,131791464,-0.04517766497461928
2010-02-05,37.29,37.4,36.18,37.2,165909270,-0.011164274322168932
2010-02-08,37.18,37.48,36.82,36.83,78752394,-0.009946236559139954
2010-02-09,37.73,38.37,37.43,38.03,133343653,0.03258213412978561
2010-02-10,38.04,38.28,37.51,37.93,84650639,-0.0026295030239285033
2010-02-11,38.19,38.97,37.87,38.93,90210763,0.02636435539151072
2010-02-12,,,,38.44,0,-0.012586694066272885
2010-02-16,39.02,39.46,38.75,39.43,73199288,0.02575442247658688
2010-02-17,39.73,39.76,39.32,39.57,63633252,0.003550595992898753
2010-02-18,39.26,39.86,39.2,39.72,61597563,0.0037907505686125553
2010-02-19,39.27,39.63,39.16,39.38,77266733,-0.008559919436052277
2010-02-22,39.62,39.64,39.3,39.43,56448644,0.0012696800406297726
2010-02-23,39.21,39.43,38.49,38.52,103220707,-0.023078873953842116
2010-02-24,38.78,39.07,38.55,38.89,73043869,0.009605399792315561
2010-02-25,37.97,38.64,37.76,38.57,73642428,-0.008228336333247599
2010-02-26,38.61,39.04,38.37,38.96,65728331,0.010111485610578175
2010-03-01,39.43,39.73,39.33,39.62,73147977,0.016940451745379725
2010-03-02,40.02,40.3,39.85,40.07,66354853,0.011357900050479541
2010-03-03,40.28,40.62,39.97,40.12,68780614,0.001247816321437334
2010-03-04,40.15,40.2,39.66,39.91,61072768,-0.005234297108673958
2010-03-05,40.46,40.95,40.31,40.95,78181174,0.026058631921824338
2010-03-08,41.04,41.19,40.92,40.98,56723927,0.000732600732600508
2010-03-09,40.8,41.4,40.79,41.21,66759749,0.005612493899463278
2010-03-10,41.3,41.67,41.21,41.5,73994497,0.007037126910943936
2010-03-11,41.26,41.55,41.04,41.51,42420156,0.0002409638554217164
2010-03-12,41.7,41.71,41.25,41.37,48950084,-0.003372681281618939
2010-03-15,41.13,41.24,40.81,41.07,43560737,-0.00725163161711373
2010-03-16,41.21,41.62,41.05,41.6,58416956,0.012904796688580467
2010-03-17,42.01,42.25,41.87,42.05,72018330,0.010817307692307487
2010-03-18,41.97,42.03,41.53,41.73,73867814,-0.007609988109393617
2010-03-19,41.8,41.87,41.13,41.19,65993888,-0.012940330697340019
2010-03-22,40.77,41.38,40.67,41.34,57583388,0.0036416605972324767
2010-03-23,41.39,41.66,41.2,41.63,50537911,0.007014997581035187
2010-03-24,41.19,41.36,41.01,41.01,65085361,-0.014893105933221351
2010-03-25,41.35,41.5,40.82,40.9,72397985,-0.002682272616435055
2010-03-26,41.24,41.39,40.75,41.1,69798783,0.004889975550122383
2010-03-29,41.53,41.86,41.44,41.84,57964362,0.018004866180048706
2010-03-30,41.94,42.12,41.72,42.0,50328209,0.003824091778202643
2010-03-31,41.86,42.23,41.84,42.12,52859261,0.0028571428571428914
2010-04-01,,,,43.22,0,0.026115859449192813
2010-04-05,43.44,43.75,43.34,43.61,63637667,0.0090236001850994
2010-04-06,43.44,43.84,43.41,43.74,42926840,0.0029809676679661834
2010-04-07,43.56,43.67,43.13,43.36,55642995,-0.008687700045724833
2010-04-08,43.07,43.56,42.86,43.51,52083134,0.0034594095940958525
2010-04-09,43.6,46.66,43.53,43.78,46650910,0.006205470006894975
2010-04-12,43.45,43.67,43.43,43.43,43559723,-0.007994518044769361
2010-04-13,43.31,43.39,42.91,43.34,47073270,-0.0020723002532810897
2010-04-14,43.79,44.02,43.59,43.98,42957929,0.01476695892939528
2010-04-15,43.7,43.98,43.65,43.74,43464358,-0.005457025920873049
