Date,Open,High,Low,Close,Volume,ICF Percent Change
2010-01-04,53.09,53.31,51.85,52.11,1026287,
2010-01-05,52.17,52.34,51.5,52.32,669542,0.004029936672423684
2010-01-06,52.23,52.72,52.05,52.19,1015703,-0.00248470948012236
2010-01-07,52.15,53.04,51.68,52.68,871362,0.009388771795363127
2010-01-08,52.53,52.63,51.8,52.25,871629,-0.008162490508731968
2010-01-11,52.5,52.92,52.29,52.58,771158,0.006315789473684275
2010-01-12,52.09,52.58,51.4,51.64,1198407,-0.0178775199695701
2010-01-13,51.78,52.91,51.75,52.77,1191051,0.021882261812548487
2010-01-14,52.66,52.88,52.3,52.67,740532,-0.001895016107636982
2010-01-15,,,,52.23,0,-0.008353901651794282
2010-01-19,52.07,53.48,52.07,53.39,1170524,0.022209458165805218
2010-01-20,52.87,52.97,52.18,52.68,2128095,-0.01329837048136362
2010-01-21,52.65,53.04,50.99,51.13,2542207,-0.029422930903568623
2010-01-22,50.93,51.46,49.63,49.95,1914278,-0.023078427537649104
2010-01-25,50.35,50.42,49.14,50.15,1603736,0.004004004004003914
2010-01-26,49.81,50.47,49.59,49.69,1177532,-0.009172482552343042
2010-01-27,49.7,50.15,48.85,50.07,3028295,0.007647413966592964
2010-01-28,50.4,50.4,49.2,49.63,1249812,-0.008787697223886504
2010-01-29,49.92,50.43,48.97,49.32,1817856,-0.006246222043119087
2010-02-01,49.63,50.44,49.59,50.31,1596124,0.02007299270072993
2010-02-02,50.37,51.33,49.92,51.04,2135691,0.01451003776585158
2010-02-03,50.73,50.78,49.84,50.25,1760439,-0.015478056426332265
2010-02-04,49.82,49.87,48.3,48.36,2669396,-0.03761194029850745
2010-02-05,48.42,49.49,47.79,49.27,2809104,0.018817204301075252
2010-02-08,49.32,49.65,48.05,48.21,1562054,-0.02151410594682368
2010-02-09,48.6,48.88,47.64,48.06,2531650,-0.0031113876789047312
2010-02-10,48.06,48.78,47.23,48.17,1249832,0.002288805659592219
2010-02-11,48.12,48.49,47.49,48.46,1535093,0.00602034461282952
2010-02-12,,,,48.93,0,0.009698720594304655
2010-02-16,49.3,50.45,49.21,50.3,1205476,0.02799918250562028
2010-02-17,50.58,51.04,50.34,50.8,1291907,0.00994035785288272
2010-02-18,50.69,51.77,50.46,51.52,933276,0.014173228346456845
2010-02-19,51.24,51.96,51.17,51.69,1043446,0.0032996894409937916
2010-02-22,51.75,52.2,51.55,51.86,934985,0.0032888372992843085
2010-02-23,51.63,52.0,51.28,51.46,1497602,-0.007713073659853409
2010-02-24,51.43,52.0,51.41,51.97,1170389,0.009910610182666035
2010-02-25,51.22,52.32,51.05,52.27,992297,0.005772561092938222
2010-02-26,52.25,52.85,51.99,52.12,785620,-0.0028697149416492262
2010-03-01,52.37,52.89,52.36,52.69,636263,0.010936300844205604
2010-03-02,52.79,53.06,52.62,52.73,615850,0.0007591573353578074
2010-03-03,52.79,52.92,52.51,52.63,693022,-0.00189645363170865
2010-03-04,52.67,52.99,52.53,52.87,444604,0.0045601368041039425
2010-03-05,53.15,54.5,52.98,54.36,1025114,0.028182334026858324
2010-03-08,54.38,55.17,54.33,54.9,528833,0.009933774834437026
2010-03-09,54.78,55.84,54.58,55.15,1534065,0.004553734061930825
2010-03-10,55.28,55.68,54.94,55.53,944028,0.006890299184043602
2010-03-11,55.28,55.98,55.09,55.92,1191325,0.007023230686115545
2010-03-12,56.39,56.74,55.94,56.44,1021576,0.009298998569384764
2010-03-15,56.13,56.63,55.66,56.26,865106,-0.003189227498228253
2010-03-16,56.26,57.9,56.26,57.68,1062622,0.02523995734091722
2010-03-17,57.88,58.72,57.72,58.55,1034582,0.015083217753120604
2010-03-18,58.56,58.83,58.14,58.29,480956,-0.004440649017933396
2010-03-19,58.32,58.5,57.65,57.69,575951,-0.01029336078229548
2010-03-22,57.31,58.57,57.16,58.33,757127,0.011093777084416612
2010-03-23,58.25,58.35,57.62,58.21,811945,-0.002057260414880857
2010-03-24,57.54,58.4,57.49,58.0,963101,-0.0036076275554028925
2010-03-25,58.33,59.27,58.21,58.27,971443,0.004655172413793096
2010-03-26,58.5,58.67,57.67,57.92,798643,-0.006006521366054618
2010-03-29,58.2,58.25,57.61,57.91,768482,-0.0001726519337017507
2010-03-30,58.07,58.2,57.66,57.87,1100917,-0.0006907269901571533
2010-03-31,57.69,57.91,57.2,57.28,838573,-0.010195265249697494
2010-04-01,,,,57.48,0,0.0034916201117318746
2010-04-05,57.8,58.92,57.65,58.83,650528,0.023486430062630514
2010-04-06,58.7,60.31,58.5,60.19,1416053,0.023117457079721238
2010-04-07,60.0,60.13,58.4,58.66,1370976,-0.025419504901146417
2010-04-08,58.36,58.79,58.28,58.62,1341095,-0.0006818956699624623
