Date,Open,High,Low,Close,Volume,IJH Percent Change
2010-01-04,73.16,73.79,73.11,73.63,869917,
2010-01-05,73.45,73.86,73.14,73.85,707738,0.002987912535651116
2010-01-06,73.88,74.32,73.84,74.24,504066,0.0052809749492213065
2010-01-07,74.16,74.65,73.75,74.61,503360,0.004983836206896575
2010-01-08,74.43,75.08,74.28,75.08,505080,0.006299423669749338
2010-01-11,75.38,75.42,74.7,74.94,444931,-0.0018646776771443774
2010-01-12,74.51,74.58,73.68,74.0,479298,-0.012543368027755464
2010-01-13,74.31,75.03,73.82,74.93,504555,0.012567567567567606
2010-01-14,74.76,75.25,74.7,75.15,468854,0.0029360736687575884
2010-01-15,,,,74.15,0,-0.01330671989354626
2010-01-19,74.29,75.12,74.26,75.04,420824,0.012002697235333759
2010-01-20,74.48,74.64,73.8,74.5,801147,-0.0071961620469084275
2010-01-21,74.62,74.93,73.39,73.56,1140778,-0.012617449664429459
2010-01-22,73.5,73.57,71.88,71.99,1025814,-0.021343121261555242
2010-01-25,72.5,72.61,71.76,72.11,686485,0.001666898180302967
2010-01-26,72.1,72.61,71.69,71.87,836746,-0.003328248509221976
2010-01-27,71.72,72.15,71.0,71.97,1134609,0.0013914011409488225
2010-01-28,72.19,72.2,70.54,71.05,973408,-0.012783104071140805
2010-01-29,71.18,71.96,70.04,70.07,901208,-0.01379310344827589
2010-02-01,70.22,71.17,70.19,71.11,885287,0.014842300556586308
2010-02-02,71.33,72.31,71.01,72.15,770207,0.014625228519195677
2010-02-03,71.88,72.21,71.46,71.84,2351265,-0.004296604296604278
2010-02-04,71.21,71.24,69.45,69.5,1071979,-0.03257238307349675
2010-02-05,69.44,69.71,68.05,69.67,1193482,0.002446043165467593
2010-02-08,69.56,70.04,68.93,69.11,561787,-0.00803789292378354
2010-02-09,70.01,70.47,69.28,69.93,1182293,0.011865142526407357
2010-02-10,69.82,70.38,69.19,69.95,858511,0.00028600028600012095
2010-02-11,69.89,70.97,69.46,70.89,720210,0.01343817012151538
2010-02-12,,,,71.34,0,0.006347862886161737
2010-02-16,72.22,72.67,71.72,72.66,841313,0.018502943650126058
2010-02-17,72.89,73.2,72.67,73.15,630827,0.006743737957610962
2010-02-18,73.13,73.69,73.05,73.69,567287,0.007382091592617712
2010-02-19,73.51,74.06,73.3,73.86,874195,0.0023069615958746237
2010-02-22,74.18,74.28,73.72,73.93,621705,0.0009477389656107338
2010-02-23,73.8,73.88,72.86,72.86,891005,-0.01447315027728946
2010-02-24,73.15,73.73,73.05,73.61,657068,0.010293713972001184
2010-02-25,72.66,73.8,72.39,73.79,797899,0.002445319929357481
2010-02-26,73.83,73.88,73.22,73.72,958025,-0.0009486380268329819
2010-03-01,74.05,75.06,74.04,75.02,1912698,0.01763429191535537
2010-03-02,75.32,75.83,75.22,75.55,1362647,0.007064782724606866
2010-03-03,75.84,76.32,75.65,75.89,3297573,0.004500330906684447
2010-03-04,75.96,76.21,75.6,75.92,905098,0.0003953089998682824
2010-03-05,76.32,77.01,76.18,76.98,986024,0.013962065331928342
2010-03-08,77.0,77.25,76.95,77.16,675639,0.002338269680436378
2010-03-09,76.9,77.65,76.89,77.13,1003095,-0.00038880248833594866
2010-03-10,77.23,77.86,77.17,77.79,962516,0.008556981719175516
2010-03-11,77.46,78.21,77.22,78.18,964674,0.005013497878904705
2010-03-12,78.5,78.5,77.77,78.34,960672,0.0020465592223073426
2010-03-15,78.3,78.4,77.53,78.18,623259,-0.0020423793719682726
2010-03-16,78.45,79.07,78.15,79.07,921381,0.011383985674085162
2010-03-17,79.29,79.94,79.27,79.65,927806,0.007335272543316229
2010-03-18,79.67,79.82,79.15,79.26,855982,-0.004896421845574372
2010-03-19,79.51,79.52,78.25,78.39,1485689,-0.010976532929598881
2010-03-22,77.93,79.46,77.84,79.34,1001722,0.012118892715907714
2010-03-23,79.44,80.05,79.09,80.04,1010170,0.00882278800100833
2010-03-24,79.69,79.85,79.29,79.34,816437,-0.008745627186406812
2010-03-25,79.75,79.9,78.56,78.68,830699,-0.008318628686664997
2010-03-26,78.8,79.15,78.17,78.47,1239777,-0.002669039145907548
2010-03-29,78.85,79.18,78.75,79.16,1092590,0.008793169364088138
2010-03-30,79.3,79.63,78.84,79.29,768378,0.0016422435573524297
2010-03-31,79.04,79.55,78.62,78.7,603564,-0.007441039223105128
2010-04-01,,,,79.57,0,0.011054637865311134
2010-04-05,79.88,80.84,79.74,80.83,685327,0.01583511373633284
2010-04-06,80.53,81.35,80.53,81.27,652269,0.0054435234442657965
2010-04-07,81.09,81.16,80.21,80.63,1569253,-0.007874984619170688
2010-04-08,80.36,80.71,79.84,80.58,863149,-0.000620116581917407
2010-04-09,80.66,81.29,80.27,81.27,698004,0.008562918838421307
2010-04-12,81.4,81.5,81.07,81.45,415107,0.0022148394241419123
2010-04-13,81.35,81.78,80.93,81.76,393673,0.0038060159607120614
2010-04-14,82.19,82.96,81.96,82.96,484436,0.014677103718199414
2010-04-15,82.86,83.28,82.75,82.92,703337,-0.00048216007714552145
2010-04-16,82.64,82.91,81.36,81.89,1301838,-0.012421611191509863
2010-04-19,81.62,82.17,80.71,81.64,913229,-0.0030528758090120345
2010-04-20,82.01,82.72,81.81,82.69,549789,0.012861342479176807
2010-04-21,82.75,83.12,82.49,83.01,584040,0.0038698754383843514
2010-04-22,82.34,84.07,82.03,83.95,1229100,0.011323936875075269
2010-04-23,84.07,84.87,83.73,84.69,821081,0.008814770696843333
2010-04-26,84.76,85.16,84.35,84.49,934399,-0.002361553902467839
2010-04-27,84.05,84.61,82.3,82.42,1274155,-0.024499940821398947
2010-04-28,82.88,83.13,82.23,82.62,1494767,0.002426595486532346
2010-04-29,83.28,84.04,82.87,83.9,1386298,0.015492616799806402
2010-04-30,83.97,84.18,82.12,82.15,1559088,-0.020858164481525665
2010-05-03,82.57,83.53,82.5,83.4,793049,0.015216068167985375
2010-05-04,82.34,82.34,80.7,81.1,1024771,-0.027577937649880258
2010-05-05,80.41,81.37,79.71,80.26,2594136,-0.010357583230579448
2010-05-06,79.76,80.88,13.01,77.5,5421775,-0.03438823822576631
2010-05-07,77.14,77.81,74.66,75.51,2395921,-0.025677419354838693
2010-05-10,78.79,79.52,78.41,79.52,1127964,0.053105548933915836
2010-05-11,78.68,80.69,78.5,79.7,1896451,0.002263581488933797
2010-05-12,80.13,81.61,80.1,81.58,827806,0.023588456712672512
2010-05-13,81.4,81.94,80.52,80.81,907324,-0.009438587889188499
2010-05-14,80.17,80.33,78.3,78.9,811702,-0.023635688652394515
2010-05-17,79.37,79.86,77.05,78.96,1182467,0.0007604562737641984
2010-05-18,79.91,80.12,77.58,77.86,1051295,-0.013931104356636248
2010-05-19,77.49,78.26,75.93,77.15,1097636,-0.009118931415360798
2010-05-20,75.14,75.64,73.78,73.87,1223078,-0.042514581983149724
2010-05-21,72.58,75.37,72.31,74.99,1639487,0.015161770678218334
2010-05-24,74.55,75.49,74.16,74.23,770909,-0.01013468462461653
2010-05-25,72.48,74.21,71.35,74.11,1438037,-0.001616597063182068
2010-05-26,74.47,75.84,73.98,74.31,1044713,0.0026986911347997022
2010-05-27,75.98,77.14,75.48,77.14,715518,0.038083703404656166
2010-05-28,,,,76.33,0,-0.010500388903292746
2010-06-01,75.5,76.5,74.22,74.24,863177,-0.027381108345342686
2010-06-02,74.72,76.3,74.2,76.3,893875,0.0277478448275863
2010-06-03,76.42,76.91,75.9,76.79,803297,0.006422018348623881
2010-06-04,75.03,75.8,73.43,73.72,1816547,-0.039979163953639874
2010-06-07,73.78,74.08,72.09,72.19,893599,-0.02075420510037984
2010-06-08,72.19,72.65,71.04,72.54,1442592,0.00484831694140464
2010-06-09,72.92,74.38,72.42,72.78,1197289,0.003308519437551727
2010-06-10,74.11,75.15,73.8,75.15,642286,0.032563891178895465
2010-06-11,74.27,75.91,74.25,75.89,651977,0.009846972721224256
2010-06-14,76.68,77.4,76.06,76.22,3382104,0.00434839899855044
2010-06-15,76.72,78.11,76.58,77.93,1038262,0.022435056415639032
2010-06-16,77.48,78.23,77.23,77.67,850465,-0.003336327473373646
2010-06-17,78.05,78.11,76.82,77.55,598384,-0.0015449980687525233
2010-06-18,77.79,77.93,77.13,77.5,634345,-0.0006447453255963298
2010-06-21,78.46,78.55,76.48,76.86,781219,-0.008258064516129093
2010-06-22,76.96,77.59,75.18,75.28,740333,-0.02055685662243034
2010-06-23,74.95,75.58,74.0,74.87,589861,-0.005446333687566418
2010-06-24,74.39,74.65,73.51,73.63,701463,-0.016562040870842898
2010-06-25,73.83,74.7,73.24,74.51,935793,0.01195165014260513
2010-06-28,74.51,74.9,73.8,74.19,417551,-0.004294725540196054
2010-06-29,73.08,73.08,71.21,71.7,778679,-0.033562474727052094
2010-06-30,71.4,72.59,70.94,71.12,3191858,-0.008089260808926024
2010-07-01,70.97,71.28,69.09,70.56,3637947,-0.007874015748031482
2010-07-02,,,,70.09,0,-0.006660997732426233
2010-07-06,71.16,71.79,69.37,69.91,621537,-0.002568126694250328
2010-07-07,70.07,72.38,69.98,72.33,518444,0.034615934773279955
2010-07-08,73.1,73.43,72.26,73.06,440223,0.010092630996820118
2010-07-09,73.1,73.9,72.89,73.84,314501,0.01067615658362997
2010-07-12,73.55,74.17,72.91,73.53,373438,-0.0041982665222102256
2010-07-13,74.42,75.52,74.25,75.23,710358,0.023119815041479752
2010-07-14,75.05,75.49,74.52,75.16,596881,-0.0009304798617574273
2010-07-15,75.35,75.35,73.99,74.99,553631,-0.002261841405002629
2010-07-16,74.57,74.64,72.5,72.64,830100,-0.031337511668222406
2010-07-19,72.82,73.23,71.99,73.0,519428,0.004955947136563887
2010-07-20,72.12,74.2,71.88,74.1,478748,0.015068493150684814
2010-07-21,74.56,74.74,72.82,73.04,817872,-0.014304993252361564
2010-07-22,73.95,75.29,73.94,75.16,938038,0.029025191675793982
2010-07-23,74.83,76.27,74.66,76.19,716609,0.013704097924427838
2010-07-26,76.45,77.63,76.21,77.56,991838,0.017981362383515
2010-07-27,78.22,78.29,76.92,77.05,1143924,-0.006575554409489537
2010-07-28,76.98,77.26,75.8,76.13,867788,-0.011940298507462699
2010-07-29,76.72,76.81,74.83,75.75,919186,-0.00499146197294098
2010-07-30,74.76,76.22,74.54,75.91,1009529,0.00211221122112204
2010-08-02,77.14,77.49,76.67,77.43,1113553,0.020023712290870854
2010-08-03,77.26,77.41,76.3,76.9,814162,-0.006844892160661309
2010-08-04,77.23,77.69,76.93,77.66,463811,0.009882964889466717
2010-08-05,77.08,77.61,76.89,77.35,380075,-0.0039917589492660666
2010-08-06,76.35,77.36,76.01,77.1,1327707,-0.003232062055591456
2010-08-09,77.65,77.97,77.22,77.89,1570425,0.010246433203631833
2010-08-10,77.31,77.45,76.39,76.92,606988,-0.012453460007703199
2010-08-11,75.5,75.56,74.18,74.27,890760,-0.03445137805512233
2010-08-12,72.8,74.14,72.79,73.82,921646,-0.006058974013733676
2010-08-13,73.62,74.02,73.44,73.52,603117,-0.004063939311839571
2010-08-16,72.99,73.9,72.65,73.63,705820,0.0014961915125135672
2010-08-17,74.24,75.34,74.03,74.78,679324,0.015618633709086005
2010-08-18,74.65,75.48,74.13,74.99,574709,0.002808237496656707
2010-08-19,74.59,74.94,73.45,73.71,910451,-0.01706894252567015
2010-08-20,73.47,73.71,72.76,73.71,638538,0.0
2010-08-23,74.1,74.38,72.92,72.92,582867,-0.010717677384343927
2010-08-24,72.02,72.56,71.22,71.81,1113192,-0.015222161272627543
2010-08-25,71.2,72.6,70.86,72.38,1151202,0.007937613145801325
2010-08-26,72.59,73.02,71.78,71.96,607439,-0.005802707930367523
2010-08-27,72.61,73.5,71.25,73.49,1423850,0.02126181211784317
2010-08-30,73.05,73.5,72.16,72.16,597962,-0.018097700367396885
2010-08-31,72.05,72.76,71.51,72.2,865361,0.0005543237250555944
2010-09-01,73.26,74.64,73.21,74.62,1168160,0.03351800554016626
2010-09-02,74.66,75.65,74.49,75.55,962447,0.012463146609487996
2010-09-03,,,,76.64,0,0.014427531436135066
2010-09-07,76.42,76.44,75.47,75.58,819575,-0.013830897703549061
2010-09-08,75.75,76.43,75.75,76.08,1077616,0.006615506747816857
2010-09-09,76.97,76.98,75.9,76.24,1092274,0.002103049421661396
2010-09-10,76.35,76.74,76.15,76.46,605216,0.002885624344176163
2010-09-13,77.31,77.92,77.21,77.83,739309,0.017917865550614698
2010-09-14,77.65,78.29,77.36,77.92,929187,0.0011563664396763151
2010-09-15,77.69,78.33,77.24,78.21,590142,0.003721765913757613
2010-09-16,78.02,78.25,77.64,77.97,738899,-0.0030686612965092896
2010-09-17,78.33,78.36,77.56,78.12,1012311,0.0019238168526356514
2010-09-20,78.46,79.55,78.07,79.41,879299,0.016513056835637308
2010-09-21,79.38,79.67,78.84,79.05,1357072,-0.004533434076312792
2010-09-22,78.84,79.41,78.05,78.35,863257,-0.008855154965211942
2010-09-23,77.85,78.85,77.55,77.83,883978,-0.006636885768985246
2010-09-24,78.58,79.47,78.5,79.4,1147771,0.020172170114351795
2010-09-27,79.41,79.74,78.95,79.38,1180932,-0.0002518891687658398
2010-09-28,79.58,80.07,78.45,79.95,933114,0.007180650037792891
2010-09-29,79.73,80.29,79.54,79.98,735744,0.00037523452157595116
2010-09-30,80.54,81.07,79.64,80.08,2336485,0.0012503125781444524
2010-10-01,80.74,80.82,79.75,80.27,1478122,0.002372627372627445
2010-10-04,80.03,80.49,78.94,79.36,768282,-0.011336738507537025
2010-10-05,80.28,81.24,80.06,81.02,1027696,0.02091733870967727
2010-10-06,80.98,81.15,80.12,80.48,651817,-0.006665020982473346
2010-10-07,80.87,80.89,79.88,80.45,802890,-0.0003727634194831131
2010-10-08,80.46,81.23,80.1,80.95,661216,0.00621504039776255
2010-10-11,80.93,81.5,80.87,81.16,617553,0.002594193946880763
2010-10-12,80.92,81.61,80.22,81.4,1079956,0.0029571217348449697
2010-10-13,81.9,82.65,81.61,82.17,1239170,0.009459459459459474
2010-10-14,82.02,82.37,81.35,81.87,846363,-0.003650967506389158
2010-10-15,82.47,82.53,81.28,81.84,803113,-0.00036643459142549073
2010-10-18,81.99,82.31,81.76,82.14,1071098,0.003665689149560114
2010-10-19,81.3,82.07,80.47,80.92,1269725,-0.014852690528366241
2010-10-20,81.23,82.25,81.17,81.89,792929,0.011987147800296638
2010-10-21,82.2,82.74,81.06,81.79,1516807,-0.0012211503236048138
2010-10-22,82.01,82.42,81.79,82.36,533131,0.006969067123120176
2010-10-25,82.88,83.62,82.76,82.87,877607,0.006192326372025381
2010-10-26,82.37,83.25,82.01,82.71,1015709,-0.0019307348859660678
2010-10-27,82.26,82.73,81.84,82.73,1872291,0.00024180872929524533
2010-10-28,83.2,83.3,82.16,82.56,953270,-0.0020548773117370356
2010-10-29,82.38,83.04,82.34,82.81,949007,0.003028100775193776
2010-11-01,83.34,83.78,82.25,82.75,1527878,-0.0007245501750996475
2010-11-02,83.56,83.86,83.09,83.6,816393,0.010271903323262777
2010-11-03,83.7,83.99,82.96,83.9,1378837,0.0035885167464115852
2010-11-04,85.04,85.51,84.76,85.43,1725157,0.01823599523241959
2010-11-05,85.44,86.21,85.38,86.04,1041972,0.007140348823598153
2010-11-08,85.88,86.1,85.44,86.0,1121182,-0.00046490004649002437
2010-11-09,86.24,86.33,84.71,85.1,1539377,-0.010465116279069875
2010-11-10,85.15,85.78,84.49,85.78,961396,0.007990599294947165
2010-11-11,84.9,85.85,84.73,85.67,556563,-0.0012823501981813479
2010-11-12,84.97,85.51,84.04,84.3,848684,-0.01599159565775654
2010-11-15,84.81,85.39,84.53,84.61,1057888,0.0036773428232503846
2010-11-16,83.89,84.13,82.64,83.09,1139001,-0.01796477957688214
2010-11-17,83.26,83.75,83.0,83.55,680197,0.005536165603562404
2010-11-18,84.45,85.24,84.43,84.7,1621610,0.01376421304608022
2010-11-19,84.56,85.09,84.16,84.95,480637,0.002951593860684776
2010-11-22,84.67,85.7,84.48,85.62,952336,0.00788699234844037
2010-11-23,84.63,84.92,84.23,84.68,1111662,-0.01097874328427939
2010-11-24,,,,86.41,0,0.020429853566367395
2010-11-26,85.81,86.3,85.59,85.97,285510,-0.005092003240365628
2010-11-29,85.39,85.93,84.69,85.79,979902,-0.002093753634988871
2010-11-30,85.0,85.72,84.8,85.32,1461518,-0.005478493996969536
2010-12-01,86.59,87.09,86.51,87.03,1510329,0.020042194092827037
2010-12-02,87.1,88.17,87.08,88.15,814393,0.012869125588877539
2010-12-03,87.85,88.85,87.76,88.69,679740,0.006125921724333461
2010-12-06,88.58,88.86,88.37,88.73,1133213,0.00045100913293505407
2010-12-07,89.64,89.79,88.74,88.83,1080141,0.001127014538487403
2010-12-08,89.02,89.34,88.47,88.65,710925,-0.0020263424518742745
