Date,Open,High,Low,Close,Volume,IJR Percent Change
2010-01-04,27.8,28.08,27.78,28.04,3055406,
2010-01-05,28.01,28.08,27.8,27.95,3075120,-0.003209700427960094
2010-01-06,27.91,28.06,27.82,27.92,1861288,-0.0010733452593917336
2010-01-07,27.94,28.12,27.66,28.12,4175052,0.007163323782234832
2010-01-08,28.04,28.22,27.94,28.22,1378908,0.0035561877667140696
2010-01-11,28.36,28.39,28.0,28.12,1641906,-0.003543586109142405
2010-01-12,27.96,28.04,27.72,27.86,3751666,-0.009246088193456625
2010-01-13,27.92,28.22,27.72,28.18,2654888,0.011486001435750293
2010-01-14,28.08,28.37,28.04,28.3,2128434,0.004258339247693366
2010-01-15,,,,27.93,0,-0.013074204946996515
2010-01-19,28.02,28.42,28.02,28.42,5245476,0.01754385964912286
2010-01-20,28.22,28.22,27.7,28.02,3392982,-0.014074595355383579
2010-01-21,28.03,28.22,27.51,27.69,3598440,-0.011777301927194839
2010-01-22,27.61,27.75,27.08,27.14,4356312,-0.019862766341639637
2010-01-25,27.34,27.35,27.02,27.18,3234544,0.0014738393515105752
2010-01-26,27.08,27.31,26.94,26.97,2654224,-0.007726269315673329
2010-01-27,26.88,27.3,26.77,27.25,3995938,0.010381905821282844
2010-01-28,27.31,27.35,26.54,26.76,3349222,-0.017981651376146712
2010-01-29,26.88,27.16,26.45,26.5,4232696,-0.009715994020926821
2010-02-01,26.63,26.81,26.5,26.76,2750046,0.009811320754717023
2010-02-02,26.82,27.06,26.66,27.0,2380326,0.008968609865470878
2010-02-03,26.9,27.05,26.58,26.78,4552024,-0.008148148148148127
2010-02-04,26.62,26.64,25.96,25.98,6702414,-0.02987303958177745
2010-02-05,26.01,26.06,25.51,26.02,4664564,0.0015396458814471714
2010-02-08,25.88,26.1,25.74,25.74,11524206,-0.01076095311299008
2010-02-09,26.07,26.26,25.79,26.1,3414942,0.013986013986014179
2010-02-10,26.04,26.25,25.78,26.2,2619526,0.003831417624520883
2010-02-11,26.1,26.58,25.9,26.56,2126294,0.013740458015267132
2010-02-12,,,,26.76,0,0.0075301204819278045
2010-02-16,27.0,27.19,26.78,27.18,2129110,0.015695067264573925
2010-02-17,27.3,27.4,27.14,27.34,1946936,0.005886681383370229
2010-02-18,27.34,27.62,27.29,27.62,2744618,0.010241404535479282
2010-02-19,27.48,27.8,27.46,27.7,2637754,0.002896451846488013
2010-02-22,27.82,27.85,27.68,27.78,1655442,0.002888086642599319
2010-02-23,27.72,27.78,27.38,27.48,2700384,-0.010799136069114534
2010-02-24,27.58,27.88,27.52,27.74,2197802,0.009461426491994107
2010-02-25,27.38,27.76,27.3,27.7,2475388,-0.0014419610670511895
2010-02-26,27.78,27.82,27.5,27.59,4093788,-0.003971119133573953
2010-03-01,27.83,28.26,27.83,28.2,1972436,0.02210945994925706
2010-03-02,28.3,28.56,28.28,28.43,2441744,0.008156028368794255
2010-03-03,28.54,28.74,28.44,28.56,2257982,0.0045726345409777824
2010-03-04,28.58,28.66,28.46,28.62,1925790,0.0021008403361344463
2010-03-05,28.81,29.2,28.7,29.16,2055954,0.018867924528301883
2010-03-08,29.19,29.32,29.14,29.26,2383138,0.003429355281207247
2010-03-09,29.16,29.56,29.15,29.38,1700468,0.004101161995898828
2010-03-10,29.4,29.74,29.37,29.59,1983616,0.007147719537100139
