Date,Open,High,Low,Close,Volume,IJS Percent Change
2010-01-04,59.23,59.82,59.23,59.77,535080,
2010-01-05,59.7,59.7,58.97,59.28,256748,-0.008198092688639802
2010-01-06,59.28,59.59,59.1,59.33,142017,0.0008434547908231504
2010-01-07,59.28,59.95,58.84,59.88,613497,0.009270183718186553
2010-01-08,59.78,60.17,59.56,60.17,95646,0.004843019372077428
2010-01-11,60.43,60.52,59.69,60.05,160972,-0.0019943493435267134
2010-01-12,59.52,59.87,59.15,59.51,91933,-0.008992506244795972
2010-01-13,59.67,60.22,59.26,60.07,91476,0.009410183162493757
2010-01-14,59.91,60.61,59.81,60.44,107932,0.006159480605959722
2010-01-15,,,,59.68,0,-0.012574454003970836
2010-01-19,59.8,60.7,59.8,60.65,113645,0.01625335120643423
2010-01-20,60.28,60.28,59.09,59.78,190886,-0.014344600164880372
2010-01-21,59.84,60.26,58.81,59.17,117470,-0.010204081632653073
2010-01-22,59.11,59.4,57.93,58.12,200868,-0.01774547912793656
2010-01-25,58.38,58.51,57.81,58.27,119449,0.0025808671713696274
2010-01-26,58.05,58.61,57.75,57.81,156183,-0.007894285223957409
2010-01-27,57.57,58.54,57.31,58.44,90194,0.01089776855215363
2010-01-28,58.56,58.58,56.84,57.36,101472,-0.01848049281314168
2010-01-29,57.63,58.25,56.77,56.9,128784,-0.008019525801952643
2010-02-01,57.15,57.47,56.81,57.36,169207,0.008084358523725799
2010-02-02,57.44,57.9,57.11,57.81,92158,0.007845188284518967
2010-02-03,57.55,57.84,56.82,57.29,101636,-0.008994983566857018
2010-02-04,56.99,56.99,55.61,55.65,119301,-0.028626287310176357
2010-02-05,55.7,55.92,54.74,55.9,232214,0.004492362982928988
2010-02-08,55.75,55.96,55.13,55.13,214921,-0.013774597495527674
2010-02-09,55.89,56.23,55.22,55.92,228901,0.014329766007618261
2010-02-10,55.72,56.15,55.15,55.99,109860,0.001251788268955556
2010-02-11,55.86,56.94,55.4,56.9,94001,0.016252902303982797
2010-02-12,,,,57.31,0,0.007205623901581859
2010-02-16,57.89,58.23,57.31,58.07,108773,0.013261210957947966
2010-02-17,58.52,58.58,58.03,58.5,246359,0.00740485620802489
2010-02-18,58.57,59.19,58.52,59.18,147945,0.011623931623931716
2010-02-19,58.86,59.67,58.86,59.51,122664,0.005576208178438735
2010-02-22,59.8,59.94,59.53,59.74,239471,0.003864896656024186
2010-02-23,59.66,59.83,58.94,59.22,163800,-0.008704385671242099
2010-02-24,59.45,60.14,59.33,59.9,80160,0.011482607227288
2010-02-25,58.98,59.85,58.85,59.83,247823,-0.001168614357262121
2010-02-26,59.92,60.06,59.29,59.61,195331,-0.003677085074377362
2010-03-01,60.01,60.88,60.01,60.82,953485,0.02029860761617175
2010-03-02,60.96,61.53,60.84,61.16,1720675,0.005590266359750018
2010-03-03,61.38,61.87,61.23,61.5,2052649,0.005559189012426469
2010-03-04,61.6,61.77,61.33,61.7,402645,0.003252032520325354
2010-03-05,62.15,63.03,61.82,63.03,248588,0.021555915721231722
2010-03-08,63.02,63.26,62.9,63.15,184607,0.0019038553069965491
2010-03-09,62.9,63.76,62.83,63.38,150875,0.003642121931908271
2010-03-10,63.48,64.27,63.43,64.01,259926,0.009940044177974228
2010-03-11,63.73,64.08,63.3,64.0,194917,-0.00015622558975170175
2010-03-12,64.38,64.38,63.59,64.0,424862,0.0
2010-03-15,63.97,64.1,63.39,63.92,398927,-0.0012499999999999734
2010-03-16,64.27,64.49,63.79,64.49,117434,0.008917396745932393
2010-03-17,64.65,65.25,64.65,64.97,144880,0.00744301442084061
2010-03-18,64.95,65.34,64.69,64.85,132996,-0.0018470063106049706
2010-03-19,64.94,65.13,63.93,64.18,158241,-0.010331534309945822
2010-03-22,63.78,65.25,63.7,65.15,382730,0.015113742598940494
2010-03-23,65.29,65.81,64.75,65.76,252310,0.009363008442056842
2010-03-24,65.53,65.62,64.88,64.88,373162,-0.013381995133820102
2010-03-25,65.25,65.76,64.35,64.37,1109853,-0.007860665844636072
2010-03-26,64.67,65.03,64.14,64.3,205977,-0.001087463103930486
2010-03-29,64.7,64.9,64.21,64.53,2717193,0.0035769828926905944
2010-03-30,64.67,65.09,64.33,64.75,830719,0.003409267007593364
2010-03-31,64.54,65.17,64.05,64.13,624528,-0.009575289575289636
2010-04-01,,,,64.77,0,0.009979728676126731
2010-04-05,64.87,65.96,64.7,65.96,370287,0.018372703412073532
2010-04-06,65.75,66.61,65.6,66.48,851122,0.007883565797453196
2010-04-07,66.46,66.77,66.0,66.42,159625,-0.0009025270758122872
2010-04-08,66.23,66.58,65.68,66.32,187614,-0.001505570611261775
2010-04-09,66.4,66.71,65.97,66.65,121912,0.004975874547648029
2010-04-12,66.76,67.03,66.5,66.92,119606,0.00405101275318831
2010-04-13,66.72,67.1,66.29,67.07,272976,0.0022414823670051653
2010-04-14,67.46,68.44,67.35,68.42,230969,0.020128224243328052
2010-04-15,68.37,68.64,68.17,68.5,385251,0.0011692487576731025
2010-04-16,68.31,68.58,67.25,67.64,1159478,-0.01255474452554739
2010-04-19,67.22,67.93,66.51,67.59,330059,-0.0007392075694854228
2010-04-20,68.01,68.51,67.66,68.51,199531,0.013611480988311886
2010-04-21,68.52,69.22,68.4,69.09,307966,0.00846591738432334
2010-04-22,68.51,70.16,68.16,70.07,432447,0.014184397163120366
2010-04-23,70.2,70.85,69.74,70.82,488596,0.0107035821321535
2010-04-26,70.84,71.29,70.41,70.44,352718,-0.00536571589946333
