Date,Open,High,Low,Close,Volume,JKD Percent Change
2010-01-04,64.51,64.94,64.28,64.8,17174,
2010-01-05,64.65,64.94,64.61,64.79,9261,-0.00015432098765422175
2010-01-06,64.76,64.89,64.66,64.8,40408,0.0001543448062970576
2010-01-07,64.66,64.95,64.54,64.95,13635,0.0023148148148148806
2010-01-08,64.69,65.19,64.68,65.16,23823,0.0032332563510391044
2010-01-11,65.3,65.38,65.01,65.38,11391,0.003376304481276904
2010-01-12,64.84,65.21,64.75,64.84,9765,-0.008259406546344272
2010-01-13,65.09,65.56,64.91,65.5,14696,0.010178901912399674
2010-01-14,65.37,65.75,65.37,65.73,9681,0.0035114503816795484
2010-01-15,,,,65.01,0,-0.010953902327704212
2010-01-19,65.04,65.77,64.95,65.76,28879,0.011536686663590201
2010-01-20,65.31,65.31,64.66,65.13,22854,-0.009580291970803012
2010-01-21,65.15,65.26,63.96,63.96,28395,-0.017964071856287345
2010-01-22,63.69,63.94,62.81,62.81,23046,-0.017979987492182548
2010-01-25,63.24,63.48,63.0,63.27,45747,0.0073236745741123155
2010-01-26,62.91,63.48,62.86,62.88,16710,-0.00616405879563775
2010-01-27,62.73,63.11,62.26,63.07,36737,0.0030216284987276687
2010-01-28,63.37,63.49,62.34,62.81,5984,-0.004122403678452513
2010-01-29,62.83,63.19,62.13,62.19,37002,-0.009871039643368995
2010-02-01,62.44,62.95,62.44,62.93,8600,0.011899019134909095
2010-02-02,63.03,63.66,62.85,63.62,13199,0.01096456380104871
2010-02-03,63.33,63.65,63.28,63.57,7979,-0.0007859163784972312
2010-02-04,62.98,62.98,61.58,61.58,15440,-0.031304074248859504
2010-02-05,61.51,61.68,60.71,61.63,34225,0.0008119519324456537
2010-02-08,61.45,61.87,61.37,61.44,7287,-0.0030829141651793623
2010-02-09,61.83,62.41,61.6,62.04,19420,0.009765625
2010-02-10,61.93,62.13,61.46,61.96,35963,-0.0012894906511927706
2010-02-11,61.92,62.65,61.79,62.65,14235,0.01113621691413802
2010-02-12,,,,62.3,0,-0.005586592178770999
2010-02-16,63.1,63.58,62.99,63.58,4283,0.020545746388443087
2010-02-17,63.74,63.92,63.69,63.89,7556,0.004875747090280047
2010-02-18,63.89,64.34,63.89,64.3,7830,0.006417279699483469
2010-02-19,64.09,64.64,64.06,64.42,20056,0.0018662519440124647
2010-02-22,64.65,64.66,64.22,64.32,11009,-0.001552312946290102
2010-02-23,64.08,64.34,63.5,63.74,8904,-0.00901741293532321
2010-02-24,63.88,64.2,63.88,64.14,19678,0.00627549419516793
2010-02-25,63.19,63.96,63.09,63.85,7652,-0.004521359526036828
2010-02-26,64.02,64.05,63.63,63.96,3389,0.0017227877838683625
2010-03-01,64.07,64.52,64.07,64.47,7366,0.00797373358348974
2010-03-02,64.67,64.93,64.63,64.63,8797,0.0024817744687450904
2010-03-03,64.79,65.04,64.66,64.66,11427,0.0004641807210274962
2010-03-04,64.79,64.95,64.75,64.92,4534,0.004021033096195614
2010-03-05,65.29,65.69,65.29,65.69,9245,0.011860751694392935
2010-03-08,65.71,65.83,65.51,65.51,16589,-0.0027401430963616136
2010-03-09,65.27,65.85,65.27,65.61,7170,0.0015264845061822019
2010-03-10,65.56,65.88,65.55,65.78,10960,0.002591068434689925
2010-03-11,65.61,65.97,65.41,65.97,10459,0.0028884159318942615
2010-03-12,66.29,66.29,65.97,66.03,7287,0.0009095043201454711
2010-03-15,66.0,66.12,65.83,66.09,7615,0.0009086778736937529
2010-03-16,66.27,66.65,66.23,66.65,13898,0.008473293993039865
2010-03-17,66.72,67.1,66.72,66.95,9648,0.004501125281320295
2010-03-18,66.8,67.02,66.67,66.97,14889,0.00029873039581773675
2010-03-19,67.07,67.14,66.53,66.76,10922,-0.0031357324175003143
2010-03-22,66.34,67.19,66.34,67.07,20085,0.004643499101258053
2010-03-23,67.23,67.69,67.1,67.69,6794,0.009244073356195148
2010-03-24,67.43,67.44,67.14,67.14,6366,-0.008125276998079412
2010-03-25,67.27,67.54,66.88,66.9,14338,-0.003574620196604039
2010-03-26,66.97,67.19,66.7,66.84,9576,-0.0008968609865470656
2010-03-29,67.14,67.26,67.06,67.2,16169,0.0053859964093356805
2010-03-30,67.22,67.43,67.16,67.34,11600,0.002083333333333437
2010-03-31,67.11,67.4,67.0,67.11,13416,-0.0034155034155034514
2010-04-01,,,,67.68,0,0.008493518104604414
2010-04-05,67.91,68.15,67.7,68.1,13279,0.00620567375886516
2010-04-06,67.84,68.2,67.84,68.09,8448,-0.00014684287812027907
2010-04-07,67.92,68.02,67.52,67.64,13843,-0.006608899985313554
2010-04-08,67.41,67.91,67.41,67.88,2955,0.003548196333530429
2010-04-09,67.89,68.25,67.89,68.25,11265,0.005450795521508622
2010-04-12,68.3,68.41,68.3,68.34,8965,0.0013186813186814028
2010-04-13,68.19,68.46,67.99,68.37,11620,0.0004389815627743321
2010-04-14,68.54,69.09,68.54,69.09,14865,0.01053093462044763
2010-04-15,68.96,69.24,68.96,69.21,34144,0.0017368649587492513
2010-04-16,68.95,69.15,68.21,68.64,44282,-0.008235804074555597
2010-04-19,68.38,68.85,68.15,68.85,15122,0.0030594405594404073
2010-04-20,69.12,69.27,68.95,69.2,10457,0.005083514887436635
2010-04-21,69.15,69.21,68.77,69.09,8776,-0.0015895953757225634
2010-04-22,68.69,69.37,68.31,69.34,13704,0.0036184686640614583
2010-04-23,69.21,69.67,69.05,69.67,37742,0.004759157773291056
2010-04-26,69.61,69.92,69.5,69.55,22565,-0.0017224056265251475
2010-04-27,69.14,69.42,67.89,67.91,24002,-0.023580158159597464
2010-04-28,68.24,68.55,67.8,68.19,30429,0.0041231041083786835
2010-04-29,68.79,69.15,68.71,68.98,20948,0.011585276433494718
2010-04-30,69.02,69.02,68.2,68.21,12331,-0.011162655842273272
2010-05-03,68.28,69.17,68.28,68.99,11208,0.01143527342031958
2010-05-04,68.29,68.29,67.33,67.57,15728,-0.020582693143933906
2010-05-05,67.1,67.43,66.82,67.15,22078,-0.006215776232055492
2010-05-06,66.79,67.06,0.14,64.93,108368,-0.033060312732687946
2010-05-07,64.51,65.21,63.24,64.17,79572,-0.011704912983212745
2010-05-10,65.16,66.93,65.16,66.67,45929,0.038959015116097895
2010-05-11,65.97,67.36,65.97,66.66,14406,-0.0001499925003750624
2010-05-12,66.89,67.69,66.77,67.58,49456,0.013801380138013908
2010-05-13,67.48,67.66,66.81,66.81,20375,-0.011393903521751958
2010-05-14,66.28,66.28,65.18,65.67,14261,-0.01706331387516835
2010-05-17,65.8,65.95,64.68,65.7,33799,0.0004568296025582175
2010-05-18,66.15,66.29,64.85,65.05,43998,-0.00989345509893469
2010-05-19,64.67,64.96,63.83,64.56,35828,-0.007532667179092956
2010-05-20,63.31,63.48,62.3,62.3,43176,-0.035006195786865035
2010-05-21,61.24,63.09,60.86,62.83,67825,0.00850722311396468
2010-05-24,62.85,63.01,62.12,62.12,20652,-0.011300334235237908
2010-05-25,60.63,62.1,60.39,62.1,28520,-0.00032195750160968206
2010-05-26,62.3,62.8,61.53,61.63,45115,-0.007568438003220601
2010-05-27,62.64,63.28,62.63,63.28,13134,0.026772675644977983
2010-05-28,,,,62.86,0,-0.006637168141592986
2010-06-01,62.02,62.9,61.9,61.9,52717,-0.015272033089405057
2010-06-02,61.94,63.26,61.94,63.26,8107,0.02197092084006469
2010-06-03,63.56,63.67,63.0,63.55,14012,0.004584255453683239
2010-06-04,62.55,62.59,61.25,61.41,17073,-0.03367427222659325
