Date,Open,High,Low,Close,Volume,JKF Percent Change
2010-01-04,54.0,54.5,54.0,54.5,7628,
2010-01-05,54.59,54.88,54.59,54.88,9883,0.006972477064220328
2010-01-06,54.77,55.18,54.77,55.11,14421,0.004190962099125395
2010-01-07,55.0,55.63,54.94,55.54,31662,0.007802576664852179
2010-01-08,55.32,55.41,55.2,55.41,53002,-0.002340655383507473
2010-01-11,55.82,55.85,55.63,55.8,53688,0.0070384407146724115
2010-01-12,55.38,55.5,55.11,55.31,47958,-0.008781362007168392
2010-01-13,55.51,55.81,55.23,55.74,11497,0.007774362683059088
2010-01-14,55.62,55.87,55.55,55.82,20504,0.0014352350197344155
2010-01-15,,,,55.2,0,-0.01110713006091002
2010-01-19,55.0,55.85,54.0,55.85,38817,0.011775362318840576
2010-01-20,55.58,55.58,55.09,55.45,26747,-0.0071620411817368
2010-01-21,55.26,55.35,54.0,54.16,27062,-0.023264201983769328
2010-01-22,53.86,54.17,52.97,52.97,30182,-0.02197193500738548
2010-01-25,53.63,53.63,53.15,53.15,70958,0.0033981498961677126
2010-01-26,52.99,53.44,52.91,52.94,34436,-0.003951081843838189
2010-01-27,52.91,53.34,52.17,53.34,15843,0.0075557234605214685
2010-01-28,53.59,53.59,52.57,52.8,8744,-0.010123734533183493
2010-01-29,53.01,53.33,52.4,52.43,16165,-0.0070075757575757125
2010-02-01,52.88,53.12,52.76,53.12,18515,0.013160404348655286
2010-02-02,53.29,53.97,53.14,53.97,17133,0.016001506024096335
2010-02-03,53.64,53.87,53.37,53.52,44090,-0.008337965536409087
2010-02-04,52.99,52.99,51.77,51.78,36153,-0.03251121076233188
2010-02-05,51.74,51.92,50.57,51.65,75346,-0.002510621861722684
2010-02-08,51.73,51.89,51.37,51.37,6838,-0.00542110358180059
2010-02-09,51.86,52.17,51.41,51.85,19448,0.009343975082733103
2010-02-10,51.6,51.93,51.34,51.71,33443,-0.0027000964320154086
2010-02-11,51.66,52.05,51.43,51.99,8131,0.005414813382324635
2010-02-12,,,,51.85,0,-0.002692825543373689
2010-02-16,52.15,52.8,52.15,52.8,9687,0.018322082931533146
2010-02-17,53.02,53.02,52.78,52.88,8916,0.0015151515151516914
2010-02-18,52.79,53.31,52.79,53.24,12312,0.006807866868381307
2010-02-19,53.09,53.48,53.05,53.28,8187,0.0007513148009015147
2010-02-22,53.55,53.58,53.23,53.58,35379,0.005630630630630629
2010-02-23,53.28,53.43,52.68,52.73,5080,-0.015864128406121725
2010-02-24,52.84,53.25,52.81,53.24,11773,0.009671913521714481
2010-02-25,52.57,53.16,52.47,53.16,8612,-0.0015026296018032514
2010-02-26,53.27,53.45,53.07,53.38,7368,0.004138449962377777
2010-03-01,53.58,53.69,53.57,53.68,14912,0.0056200824278755945
2010-03-02,53.97,53.99,53.71,53.71,18042,0.0005588673621461648
2010-03-03,53.91,54.02,53.61,53.77,7990,0.0011171104077454252
2010-03-04,53.82,53.82,53.63,53.82,14305,0.0009298865538402978
2010-03-05,54.11,54.6,54.1,54.57,11025,0.013935340022296572
2010-03-08,54.58,54.7,54.55,54.66,17932,0.0016492578339746267
2010-03-09,54.45,54.96,54.45,54.71,6461,0.0009147457006952742
2010-03-10,54.88,55.24,54.85,55.04,13738,0.00603180405775916
2010-03-11,54.91,55.26,54.91,55.26,7906,0.003997093023255793
2010-03-12,55.5,55.55,55.12,55.19,9858,-0.001266739051755339
2010-03-15,55.04,55.27,54.95,55.26,15741,0.0012683457148034982
2010-03-16,55.5,55.9,55.38,55.9,10299,0.011581614187477385
2010-03-17,56.06,56.43,56.06,56.21,9404,0.005545617173524198
2010-03-18,56.23,56.3,56.08,56.22,42823,0.00017790428749320242
2010-03-19,56.42,56.42,55.81,56.01,12933,-0.003735325506937004
2010-03-22,55.62,56.27,55.62,56.23,48493,0.003927870023210156
2010-03-23,56.26,56.65,56.25,56.65,6530,0.007469322425751379
2010-03-24,56.36,56.72,56.36,56.53,14088,-0.002118270079435103
2010-03-25,56.61,56.75,56.07,56.07,12595,-0.008137272244825744
2010-03-26,56.13,56.51,55.9,56.14,24035,0.0012484394506866447
2010-03-29,56.44,56.45,56.25,56.42,25653,0.004987531172069737
2010-03-30,56.43,56.46,56.15,56.29,12777,-0.0023041474654378336
2010-03-31,56.0,56.29,56.0,56.11,12409,-0.0031977260614673986
2010-04-01,,,,56.58,0,0.008376403493138396
2010-04-05,56.83,57.0,56.7,56.98,13793,0.007069635913750316
2010-04-06,56.82,57.23,56.82,57.15,15358,0.002983502983503028
2010-04-07,57.14,57.16,56.63,56.81,14670,-0.0059492563429570655
