Date,Open,High,Low,Close,Volume,SCZ Percent Change
2010-01-04,36.64,36.88,36.1,36.75,886758,
2010-01-05,36.93,37.07,36.76,37.0,281737,0.006802721088435382
2010-01-06,37.08,37.18,36.83,37.12,100099,0.00324324324324321
2010-01-07,37.05,37.15,36.82,37.15,775121,0.0008081896551723755
2010-01-08,37.31,37.5,37.07,37.48,181254,0.008882907133243467
2010-01-11,37.9,37.92,37.6,37.87,231841,0.010405549626467447
2010-01-12,37.45,37.59,37.12,37.37,211047,-0.013203063110641677
2010-01-13,37.55,37.86,37.34,37.79,139182,0.011238961734011177
2010-01-14,37.66,38.05,37.66,37.97,99425,0.004763164858428093
2010-01-15,,,,37.62,0,-0.009217803529101953
2010-01-19,37.53,37.96,37.43,37.96,158417,0.009037745879851178
2010-01-20,37.26,37.3,36.69,37.02,111147,-0.02476290832455208
2010-01-21,37.0,37.19,36.12,36.41,191443,-0.016477579686656085
2010-01-22,36.3,36.31,35.45,35.5,325433,-0.024993133754462993
2010-01-25,36.35,36.4,36.04,36.04,105912,0.015211267605633738
2010-01-26,35.81,36.17,35.68,35.82,293621,-0.006104328523862335
2010-01-27,35.8,35.87,35.45,35.87,69694,0.0013958682300390102
2010-01-28,36.04,36.04,35.16,35.39,440974,-0.013381655979927465
2010-01-29,35.45,35.6,34.77,35.04,611917,-0.009889799378355546
2010-02-01,35.37,35.47,35.18,35.47,187933,0.012271689497716842
2010-02-02,35.8,36.29,35.7,36.23,104428,0.02142655765435575
2010-02-03,36.03,36.1,35.69,35.97,762706,-0.007176373171404848
2010-02-04,35.33,35.33,34.55,34.58,169800,-0.038643313872671725
2010-02-05,34.2,34.29,33.25,33.98,560370,-0.017351069982649014
2010-02-08,33.83,34.0,33.43,33.46,130738,-0.0153031194820481
2010-02-09,34.07,34.71,33.89,34.37,326917,0.027196652719665204
2010-02-10,34.3,34.33,33.88,34.2,169767,-0.004946173988943703
2010-02-11,34.11,34.69,33.95,34.65,375344,0.013157894736842035
2010-02-12,,,,34.29,0,-0.010389610389610393
2010-02-16,34.35,34.96,34.27,34.92,132119,0.018372703412073532
2010-02-17,35.1,35.12,34.91,35.03,115085,0.003150057273768603
2010-02-18,35.03,35.27,34.84,35.2,124165,0.0048529831572938775
2010-02-19,34.84,35.06,34.66,34.96,116646,-0.006818181818181834
2010-02-22,35.07,35.22,34.9,35.07,135486,0.0031464530892448828
2010-02-23,34.99,35.01,34.54,34.68,168664,-0.011120615911035081
2010-02-24,34.7,34.92,34.52,34.83,114768,0.004325259515570945
2010-02-25,34.25,34.7,34.1,34.7,135804,-0.0037324145851276302
2010-02-26,34.54,34.89,34.36,34.83,159756,0.0037463976945244504
2010-03-01,34.94,35.18,34.77,35.05,192785,0.0063163939132930835
2010-03-02,35.33,35.52,35.11,35.39,136311,0.009700427960057212
2010-03-03,35.64,35.94,35.58,35.75,113357,0.010172365074879952
2010-03-04,35.82,35.84,35.49,35.74,93881,-0.0002797202797202303
2010-03-05,36.03,36.42,35.97,36.37,184087,0.017627308337996528
2010-03-08,36.43,36.43,36.16,36.2,132558,-0.004674182018146622
2010-03-09,36.0,36.38,35.91,36.24,171567,0.0011049723756906271
2010-03-10,36.3,36.55,36.26,36.4,252027,0.004415011037527394
2010-03-11,36.45,36.7,36.35,36.69,165141,0.007967032967032939
2010-03-12,37.0,37.0,36.79,36.93,96507,0.006541291905151292
2010-03-15,36.75,36.77,36.47,36.77,90590,-0.004332520985648403
2010-03-16,36.93,37.22,36.82,37.16,123459,0.010606472667935574
2010-03-17,37.36,37.58,37.27,37.45,94335,0.007804090419806453
2010-03-18,37.42,37.42,37.08,37.3,129816,-0.004005340453938744
2010-03-19,37.25,37.25,36.71,36.85,163614,-0.012064343163538771
2010-03-22,36.5,37.05,36.4,37.01,165874,0.004341926729986234
2010-03-23,37.07,37.27,36.95,37.25,137549,0.006484733855714797
2010-03-24,36.77,36.87,36.63,36.74,130978,-0.013691275167785233
2010-03-25,37.03,37.11,36.62,36.63,313806,-0.0029940119760478723
2010-03-26,37.0,37.19,36.9,37.07,117448,0.012012012012011963
2010-03-29,37.31,37.43,37.25,37.39,170994,0.00863231723765856
2010-03-30,37.58,37.59,37.32,37.47,107309,0.0021396095212622424
2010-03-31,37.46,37.6,37.3,37.4,278819,-0.0018681611956231636
2010-04-05,38.26,38.28,38.0,38.14,243022,0.019786096256684482
2010-04-06,38.06,38.4,38.0,38.23,363526,0.0023597273203983526
2010-04-07,38.23,38.33,38.07,38.22,139816,-0.0002615746795709972
2010-04-08,37.93,38.33,37.81,38.31,100826,0.0023547880690739653
2010-04-09,38.46,38.77,38.46,38.75,309477,0.011485251892456194
2010-04-12,38.75,38.86,38.7,38.83,192301,0.0020645161290322456
2010-04-13,38.77,38.77,38.44,38.66,131657,-0.004378058202420876
2010-04-14,38.93,39.18,38.75,39.16,338578,0.012933264355923457
2010-04-15,39.02,39.27,38.92,39.21,209882,0.0012768130745659523
2010-04-16,38.95,39.0,38.28,38.52,382876,-0.01759755164498844
2010-04-19,38.07,38.37,37.81,38.37,393850,-0.00389408099688493
2010-04-20,38.67,38.67,38.41,38.46,269617,0.0023455824863174435
2010-04-21,38.55,38.61,38.35,38.61,124502,0.003900156006240163
2010-04-22,38.16,38.57,37.93,38.52,802456,-0.002331002331002252
2010-04-23,38.51,39.06,38.4,39.06,308752,0.014018691588784993
2010-04-26,39.16,39.2,38.93,39.02,209505,-0.0010240655401945187
2010-04-27,38.49,38.66,37.55,37.65,320469,-0.03511019989748854
2010-04-28,37.72,37.8,36.95,37.25,240733,-0.010624169986719778
2010-04-29,37.79,38.05,37.73,37.97,735366,0.019328859060402603
2010-04-30,37.98,38.12,37.52,37.63,1065078,-0.008954437713984631
2010-05-03,37.78,38.16,37.66,37.89,621027,0.006909380813180821
2010-05-04,36.98,37.0,36.3,36.39,472784,-0.03958828186856689
2010-05-05,35.63,36.0,35.36,35.62,209128,-0.021159659247045992
2010-05-06,35.44,37.49,33.51,34.63,1248588,-0.027793374508702784
2010-05-07,34.68,35.43,33.5,33.95,1254790,-0.019636153624025376
2010-05-10,36.02,36.28,35.83,35.97,1083159,0.05949926362297475
2010-05-11,35.55,36.0,35.09,35.37,441559,-0.016680567139282787
2010-05-12,35.73,36.01,35.73,35.87,484943,0.014136273678258426
2010-05-13,35.88,35.96,35.5,35.58,158183,-0.008084750487872827
2010-05-14,35.11,35.37,34.68,35.01,363592,-0.016020236087689765
2010-05-17,34.85,34.93,33.96,34.9,1036836,-0.003141959440159936
2010-05-18,34.78,34.81,33.59,33.82,343433,-0.030945558739254975
2010-05-19,33.63,33.85,33.25,33.68,204832,-0.004139562389118834
2010-05-20,32.78,32.99,32.12,32.31,369287,-0.040676959619952435
2010-05-21,32.14,33.2,32.09,33.18,395000,0.02692664809656442
2010-05-24,32.85,32.93,32.38,32.39,150860,-0.023809523809523836
2010-05-25,31.41,32.09,31.26,32.05,334085,-0.010497066995986515
2010-05-26,32.18,32.34,31.56,31.63,704205,-0.013104524180967192
2010-05-27,32.79,33.43,32.61,33.43,277767,0.056907998735377774
2010-05-28,,,,32.94,0,-0.014657493269518485
2010-06-01,32.61,33.49,32.61,32.62,364863,-0.00971463266545236
2010-06-02,32.89,33.57,32.74,33.45,307258,0.025444512568976174
2010-06-03,33.7,33.75,33.23,33.56,77591,0.003288490284006018
2010-06-04,32.88,32.97,32.14,32.16,196029,-0.04171632896305144
2010-06-07,32.45,32.49,31.78,31.78,237026,-0.011815920398009827
2010-06-08,32.0,32.4,31.72,32.4,502255,0.01950912523599735
2010-06-09,32.58,32.83,32.22,32.42,1465412,0.0006172839506173311
2010-06-10,33.3,33.72,33.26,33.69,1271142,0.03917334978408382
2010-06-11,33.24,33.74,33.15,33.74,269513,0.0014841199168893482
2010-06-14,34.2,34.31,33.87,33.87,149081,0.0038529934795492604
