Date,Open,High,Low,Close,Volume,SHV Percent Change
2010-01-04,110.18,110.2,110.16,110.2,301045,
2010-01-05,110.18,110.2,110.16,110.16,420461,-0.0003629764065335994
2010-01-06,110.19,110.21,110.16,110.17,563138,9.077705156146365e-05
2010-01-07,110.18,110.19,110.17,110.17,150567,0.0
2010-01-08,110.17,110.21,110.17,110.21,190587,0.0003630752473449128
2010-01-11,110.19,110.22,110.19,110.21,346554,0.0
2010-01-12,110.2,110.21,110.18,110.2,122367,-9.073586788854726e-05
2010-01-13,110.22,110.22,110.19,110.19,165692,-9.074410163345537e-05
2010-01-14,110.21,110.22,110.19,110.19,107446,0.0
2010-01-15,,,,110.18,0,-9.075233687261264e-05
2010-01-19,110.2,110.22,110.19,110.2,250154,0.00018152114721359247
2010-01-20,110.21,110.21,110.19,110.2,142781,0.0
2010-01-21,110.19,110.23,110.19,110.2,634145,0.0
2010-01-22,110.2,110.2,110.18,110.18,327134,-0.0001814882032667997
2010-01-25,110.19,110.23,110.18,110.22,187539,0.00036304229442718494
2010-01-26,110.2,110.23,110.2,110.22,301167,0.0
2010-01-27,110.2,110.22,110.18,110.18,301678,-0.00036291054255122024
2010-01-28,110.2,110.21,110.18,110.18,376117,0.0
2010-01-29,110.2,110.22,110.18,110.22,346760,0.00036304229442718494
2010-02-01,110.22,110.22,110.19,110.19,252581,-0.00027218290691344293
2010-02-02,110.18,110.22,110.18,110.21,404043,0.00018150467374522528
2010-02-03,110.21,110.22,110.19,110.2,478202,-9.073586788854726e-05
2010-02-04,110.2,110.21,110.19,110.2,348562,0.0
2010-02-05,110.17,110.23,110.17,110.18,1061641,-0.0001814882032667997
2010-02-08,110.17,110.22,110.17,110.22,633070,0.00036304229442718494
2010-02-09,110.2,110.22,110.18,110.22,318839,0.0
2010-02-10,110.18,110.21,110.18,110.21,152641,-9.072763563788833e-05
2010-02-11,110.2,110.22,110.19,110.22,515166,9.073586788854726e-05
2010-02-12,,,,110.22,0,0.0
2010-02-16,110.21,110.22,110.19,110.19,358889,-0.00027218290691344293
2010-02-17,110.19,110.21,110.19,110.21,101160,0.00018150467374522528
2010-02-18,110.19,110.22,110.19,110.22,149576,9.073586788854726e-05
2010-02-19,110.21,110.22,110.19,110.2,417281,-0.0001814552712755546
2010-02-22,110.19,110.21,110.19,110.21,144119,9.074410163334434e-05
2010-02-23,110.2,110.21,110.18,110.21,108906,0.0
2010-02-24,110.2,110.22,110.19,110.2,154942,-9.073586788854726e-05
2010-02-25,110.22,110.23,110.2,110.23,209435,0.0002722323049002551
2010-02-26,110.2,110.22,110.2,110.22,248971,-9.07194048807014e-05
2010-03-01,110.16,110.21,110.16,110.21,800447,-9.072763563788833e-05
2010-03-02,110.2,110.21,110.16,110.16,1940853,-0.00045367933944284733
2010-03-03,110.18,110.22,110.17,110.19,1761099,0.0002723311546841689
2010-03-04,110.2,110.21,110.18,110.2,805722,9.075233687272366e-05
2010-03-05,110.19,110.21,110.17,110.19,1980741,-9.074410163345537e-05
2010-03-08,110.19,110.21,110.18,110.21,723875,0.00018150467374522528
2010-03-09,110.2,110.21,110.18,110.2,1131413,-9.073586788854726e-05
2010-03-10,110.18,110.2,110.18,110.19,933096,-9.074410163345537e-05
2010-03-11,110.2,110.2,110.18,110.18,219204,-9.075233687261264e-05
2010-03-12,110.2,110.21,110.18,110.2,1190410,0.00018152114721359247
2010-03-15,110.19,110.2,110.18,110.2,101010,0.0
2010-03-16,110.18,110.2,110.17,110.17,1388781,-0.00027223230490014405
2010-03-17,110.19,110.21,110.18,110.2,1729972,0.00027230643550879563
2010-03-18,110.21,110.21,110.19,110.2,1032441,0.0
2010-03-19,110.18,110.2,110.18,110.2,103231,0.0
2010-03-22,110.2,110.2,110.19,110.2,111293,0.0
2010-03-23,110.19,110.21,110.19,110.21,569812,9.074410163334434e-05
2010-03-24,110.19,110.21,110.19,110.19,151767,-0.00018147173577709452
2010-03-25,110.19,110.2,110.18,110.19,787958,0.0
2010-03-26,110.18,110.2,110.18,110.18,264136,-9.075233687261264e-05
2010-03-29,110.18,110.21,110.17,110.18,1433672,0.0
2010-03-30,110.18,110.21,110.18,110.21,879657,0.0002722817208202777
2010-03-31,110.18,110.2,110.18,110.2,682660,-9.073586788854726e-05
2010-04-05,110.16,110.18,110.14,110.15,1132525,-0.00045372050816694376
2010-04-06,110.16,110.19,110.14,110.17,696819,0.00018157058556500516
2010-04-07,110.16,110.18,110.16,110.16,868392,-9.076881183633922e-05
2010-04-08,110.16,110.18,110.16,110.16,307123,0.0
2010-04-09,110.17,110.18,110.14,110.17,477127,9.077705156146365e-05
2010-04-12,110.16,110.19,110.16,110.18,844429,9.076881183633922e-05
2010-04-13,110.18,110.19,110.17,110.17,130624,-9.076057360690726e-05
2010-04-14,110.17,110.19,110.17,110.17,175256,0.0
2010-04-15,110.18,110.18,110.17,110.17,132501,0.0
2010-04-16,110.17,110.21,110.17,110.21,394183,0.0003630752473449128
2010-04-19,110.19,110.19,110.16,110.16,258684,-0.00045367933944284733
2010-04-20,110.18,110.19,110.17,110.19,91961,0.0002723311546841689
2010-04-21,110.17,110.19,110.17,110.18,275176,-9.075233687261264e-05
2010-04-22,110.18,110.2,110.17,110.19,136769,9.076057360668521e-05
2010-04-23,110.17,110.19,110.17,110.19,112531,0.0
2010-04-26,110.17,110.19,110.17,110.19,590924,0.0
2010-04-27,110.18,110.19,110.17,110.19,188054,0.0
2010-04-28,110.19,110.2,110.16,110.17,340648,-0.0001815046737453363
2010-04-29,110.17,110.19,110.17,110.18,73927,9.076881183633922e-05
2010-04-30,110.17,110.19,110.17,110.19,103420,9.076057360668521e-05
2010-05-03,110.18,110.18,110.16,110.16,101376,-0.00027225701061805996
2010-05-04,110.16,110.19,110.15,110.15,950375,-9.07770515612416e-05
2010-05-05,110.17,110.18,110.17,110.18,903081,0.0002723558783477298
2010-05-06,110.19,110.22,110.09,110.18,2453380,0.0
2010-05-07,110.19,110.2,110.15,110.17,1351666,-9.076057360690726e-05
2010-05-10,110.18,110.19,110.16,110.16,588769,-9.076881183633922e-05
2010-05-11,110.17,110.18,110.16,110.17,163661,9.077705156146365e-05
2010-05-12,110.18,110.19,110.16,110.18,225902,9.076881183633922e-05
2010-05-13,110.17,110.19,110.17,110.19,459752,9.076057360668521e-05
2010-05-14,110.18,110.2,110.17,110.2,214360,9.075233687272366e-05
2010-05-17,110.19,110.19,110.16,110.17,120094,-0.00027223230490014405
2010-05-18,110.18,110.19,110.17,110.17,119041,0.0
2010-05-19,110.19,110.2,110.17,110.19,1868130,0.0001815376236724564
2010-05-20,110.18,110.21,110.17,110.2,2112601,9.075233687272366e-05
2010-05-21,110.19,110.2,110.18,110.2,794070,0.0
