Date,Open,High,Low,Close,Volume,FNDA Percent Change
2013-08-15,24.68,24.68,24.47,24.56,15799,
2013-08-16,24.58,24.58,24.4,24.45,25418,-0.004478827361563464
2013-08-19,24.41,24.42,24.2,24.21,7675,-0.009815950920245342
2013-08-20,24.24,24.55,24.24,24.51,14813,0.012391573729863659
2013-08-21,24.4,24.52,24.31,24.33,9936,-0.007343941248470154
2013-08-22,24.58,24.71,24.58,24.68,7495,0.014385532264693746
2013-08-23,24.64,24.7,24.62,24.7,2792,0.0008103727714747766
2013-08-26,24.76,24.83,24.64,24.68,8574,-0.0008097165991902688
2013-08-27,24.36,24.43,24.1,24.12,6665,-0.02269043760129652
2013-08-28,24.1,24.25,24.1,24.17,24190,0.0020729684908789014
2013-08-29,24.16,24.45,24.16,24.35,10154,0.007447248655357841
2013-08-30,24.28,24.28,23.95,23.95,7208,-0.01642710472279274
2013-09-03,24.39,24.39,23.9,24.01,3420,0.0025052192066807866
2013-09-04,24.19,24.3,24.19,24.25,1508,0.00999583506872126
2013-09-05,24.34,24.42,24.34,24.38,7364,0.005360824742268067
2013-09-06,24.48,24.52,24.21,24.38,21635,0.0
2013-09-09,24.43,24.79,24.43,24.79,36300,0.016817063166529866
2013-09-10,24.94,25.05,24.92,25.05,22070,0.010488100040338955
2013-09-11,25.02,25.1,24.98,25.1,17614,0.001996007984031989
2013-09-12,25.08,25.08,24.94,24.94,20710,-0.0063745019920318224
2013-09-13,25.02,25.05,24.87,25.04,16701,0.00400962309542896
2013-09-16,25.41,25.41,25.0,25.14,51250,0.003993610223642197
2013-09-17,25.17,25.35,25.17,25.35,19295,0.00835322195704058
2013-09-18,25.34,25.7,25.13,25.57,79520,0.00867850098619316
2013-09-19,25.72,25.72,25.54,25.58,26943,0.00039108330074300035
2013-09-20,25.64,25.64,25.43,25.45,16551,-0.0050820953870210905
2013-09-23,25.46,25.46,25.25,25.36,12273,-0.0035363457760314576
2013-09-24,25.5,25.62,25.39,25.41,10418,0.0019716088328076697
2013-09-25,25.49,25.59,25.37,25.45,13712,0.0015741833923652582
2013-09-26,25.5,25.62,25.43,25.49,12928,0.001571709233791685
2013-09-27,25.4,25.5,25.36,25.46,23489,-0.0011769321302470548
2013-09-30,25.22,25.47,25.15,25.42,6840,-0.0015710919088766095
2013-10-01,25.62,26.64,25.62,25.71,10825,0.011408339889850572
2013-10-02,25.54,25.67,25.5,25.65,6077,-0.002333722287047979
