Date,Open,High,Low,Close,Volume,FNDC Percent Change
2013-08-15,25.1,25.1,24.83,24.94,11432,
2013-08-16,25.25,25.25,24.99,24.99,8950,0.00200481154771448
2013-08-19,25.21,25.21,25.01,25.05,3887,0.0024009603841537164
2013-08-20,25.21,25.21,24.91,25.02,5176,-0.0011976047904191933
2013-08-21,24.99,24.99,24.8,24.91,3427,-0.0043964828137489365
2013-08-22,24.96,25.02,24.94,24.99,16300,0.0032115616218384435
2013-08-23,25.09,25.22,25.08,25.21,5381,0.008803521408563553
2013-08-26,25.06,25.06,24.96,24.96,15504,-0.009916699722332445
2013-08-27,24.71,24.73,24.48,24.49,7542,-0.018830128205128305
2013-08-28,24.52,24.6,24.51,24.52,10304,0.001224989791751785
2013-08-29,24.54,24.59,24.5,24.55,4769,0.0012234910277324484
2013-08-30,24.37,24.37,24.24,24.24,1924,-0.012627291242362615
2013-09-03,24.74,24.74,24.58,24.59,10155,0.014438943894389489
2013-09-04,24.65,24.85,24.65,24.84,7058,0.010166734444896353
2013-09-05,24.83,24.87,24.77,24.77,16105,-0.0028180354267310914
2013-09-06,24.97,24.97,24.85,24.85,12803,0.0032297133629390906
2013-09-09,25.22,25.33,25.18,25.33,11731,0.019315895372233216
2013-09-10,25.67,25.67,25.6,25.65,5877,0.012633241215949553
2013-09-11,25.62,25.62,25.55,25.62,12661,-0.0011695906432747094
2013-09-12,25.59,25.62,25.4,25.43,61886,-0.007416081186572998
2013-09-13,25.56,25.56,25.51,25.54,6227,0.004325599685411019
2013-09-16,26.0,26.0,25.85,25.85,15008,0.012137823022709604
2013-09-17,25.85,25.92,25.8,25.86,14176,0.0003868471953578645
2013-09-18,25.83,26.6,25.83,26.55,43388,0.026682134570765736
2013-09-19,26.6,27.17,26.32,26.44,4899,-0.004143126177024503
2013-09-20,26.3,26.3,26.16,26.18,3918,-0.009833585476550777
2013-09-23,26.18,26.2,26.08,26.14,6668,-0.0015278838808250317
2013-09-24,26.16,26.29,26.16,26.28,13376,0.005355776587605332
2013-09-25,26.18,26.2,26.18,26.2,1973,-0.003044140030441511
2013-09-26,26.35,26.37,26.28,26.36,9736,0.006106870229007688
2013-09-27,26.26,26.34,26.24,26.31,2080,-0.0018968133535660625
2013-09-30,26.42,26.42,26.14,26.3,4371,-0.0003800836183959211
2013-10-01,26.43,26.43,26.31,26.31,608,0.0003802281368820992
2013-10-02,26.24,26.29,26.24,26.29,870,-0.0007601672367920642
2013-10-03,26.1,26.16,26.05,26.08,33444,-0.007987828071510106
2013-10-04,26.06,26.15,26.04,26.08,6906,0.0
2013-10-07,26.0,26.01,25.76,25.8,12632,-0.010736196319018343
2013-10-08,25.82,25.82,25.68,25.7,5867,-0.003875968992248069
2013-10-09,25.94,25.95,25.7,25.85,19506,0.005836575875486361
2013-10-10,26.2,26.35,26.14,26.35,19304,0.01934235976789167
2013-10-11,26.44,26.45,26.35,26.44,6954,0.0034155597722960174
2013-10-14,26.41,26.57,26.37,26.53,3995,0.0034039334341906535
2013-10-15,26.81,26.81,26.42,26.42,9394,-0.004146249528835244
2013-10-16,26.5,26.56,26.4,26.56,23173,0.005299015897047621
2013-10-17,26.74,26.88,26.71,26.88,21806,0.012048192771084265
2013-10-18,27.57,27.57,27.0,27.14,43425,0.009672619047619069
2013-10-21,27.41,27.41,27.08,27.16,18908,0.0007369196757553986
2013-10-22,27.29,27.35,27.24,27.35,7558,0.006995581737849754
2013-10-23,27.09,27.09,26.94,26.99,7048,-0.013162705667276176
2013-10-24,27.33,27.33,27.14,27.24,7095,0.009262689885142672
2013-10-25,27.2,27.2,27.05,27.11,12922,-0.004772393538913344
