Date,Open,High,Low,Close,Volume,FNDE Percent Change
2013-08-15,25.2,25.2,24.92,25.11,10419,
2013-08-16,25.2,25.2,24.95,25.04,13002,-0.002787733970529671
2013-08-19,24.92,25.25,24.72,24.74,9596,-0.01198083067092659
2013-08-20,24.69,24.79,24.59,24.75,4557,0.0004042037186742231
2013-08-21,24.47,24.47,24.25,24.26,7017,-0.019797979797979703
2013-08-22,24.52,24.65,24.52,24.65,3433,0.01607584501236592
2013-08-23,24.8,24.98,24.75,24.98,7122,0.013387423935091292
2013-08-26,25.0,25.0,24.63,24.63,8537,-0.014011208967173783
2013-08-27,24.4,24.41,24.26,24.26,5293,-0.015022330491270663
2013-08-28,24.39,24.83,24.34,24.34,21651,0.0032976092333056872
2013-08-29,24.62,24.69,24.44,24.44,13303,0.0041084634346755244
2013-08-30,24.7,24.88,24.54,24.54,1446,0.004091653027823217
2013-09-03,25.16,25.25,24.7,24.7,10212,0.006519967400163029
2013-09-04,24.9,25.07,24.9,25.06,3816,0.014574898785425061
2013-09-05,25.18,25.5,25.18,25.36,13587,0.011971268954509284
2013-09-06,25.78,25.85,25.68,25.68,20830,0.012618296529968376
2013-09-09,26.02,26.2,25.96,26.18,119200,0.01947040498442365
2013-09-10,26.49,26.49,26.29,26.37,37069,0.007257448433919178
2013-09-11,26.37,26.57,26.34,26.54,12571,0.006446719757299935
2013-09-12,26.28,26.32,26.23,26.24,5579,-0.011303692539562982
2013-09-13,26.32,26.35,25.85,26.35,5500,0.0041920731707318915
2013-09-16,26.7,26.85,26.59,26.59,22469,0.009108159392789306
2013-09-17,26.67,26.67,26.58,26.61,19331,0.0007521624670929761
2013-09-18,26.63,27.97,26.45,27.85,49810,0.046599022923712985
2013-09-19,27.91,27.91,26.8,27.58,16239,-0.009694793536804469
2013-09-20,27.39,27.39,27.0,27.1,11967,-0.01740391588107315
2013-09-23,26.98,27.08,26.9,27.08,5203,-0.0007380073800739018
2013-09-24,27.0,27.03,26.9,26.9,21712,-0.006646971935007406
2013-09-25,26.89,26.91,26.75,26.78,22144,-0.004460966542750855
2013-09-26,26.93,26.93,26.61,26.75,29824,-0.0011202389843166793
2013-09-27,26.69,26.69,26.57,26.64,12850,-0.004112149532710219
2013-09-30,26.43,26.43,26.29,26.43,5482,-0.007882882882882969
2013-10-01,26.52,26.69,26.52,26.69,3507,0.009837306091562636
2013-10-02,26.58,26.82,26.54,26.73,6370,0.0014986886474335215
