Date,Open,High,Low,Close,Volume,FNDF Percent Change
2013-08-15,25.15,27.32,24.91,25.12,26629,
2013-08-16,25.56,25.56,25.21,25.28,27688,0.006369426751592355
2013-08-19,25.25,25.25,25.0,25.0,14196,-0.011075949367088667
2013-08-20,24.96,24.99,24.87,24.97,15407,-0.0012000000000000899
2013-08-21,25.09,25.09,24.7,24.8,21721,-0.006808169803764419
2013-08-22,24.91,25.22,24.9,24.98,6950,0.007258064516129092
2013-08-23,25.08,25.25,25.0,25.21,50129,0.009207365892714092
2013-08-26,25.02,25.03,24.96,25.03,16524,-0.007140023800079276
2013-08-27,24.7,24.75,24.45,24.48,15848,-0.02197363164202959
2013-08-28,24.45,24.62,24.42,24.51,28448,0.001225490196078427
2013-08-29,24.49,24.59,24.42,24.43,23742,-0.003263973888208982
2013-08-30,24.41,24.55,24.21,24.21,8987,-0.009005321326238214
2013-09-03,24.79,24.79,24.63,24.67,17278,0.0190004130524577
2013-09-04,24.68,24.96,24.68,24.84,19963,0.0068909606809890445
2013-09-05,24.92,25.06,24.87,24.87,25709,0.0012077294685990392
2013-09-06,25.35,25.35,25.0,25.0,21166,0.005227181342983389
2013-09-09,25.23,25.4,25.23,25.38,26903,0.01519999999999988
2013-09-10,25.65,25.68,25.59,25.68,18579,0.011820330969267268
2013-09-11,25.68,25.98,25.64,25.72,26440,0.0015576323987538387
2013-09-12,25.76,25.79,25.65,25.67,17683,-0.0019440124416795213
2013-09-13,26.02,26.02,25.67,25.73,41455,0.002337358784573418
2013-09-16,26.12,26.12,26.0,26.02,11421,0.011270890011659596
2013-09-17,26.97,26.97,25.95,26.0,13499,-0.000768639508070712
2013-09-18,26.03,27.0,25.95,26.84,98887,0.03230769230769237
2013-09-19,26.66,27.06,26.55,26.66,36539,-0.006706408345752646
2013-09-20,26.68,26.69,26.39,26.39,20748,-0.010127531882970775
2013-09-23,26.32,26.37,26.22,26.37,10946,-0.0007578628268283261
2013-09-24,26.49,26.49,26.3,26.36,28130,-0.0003792188092529569
2013-09-25,26.5,26.5,26.31,26.42,14385,0.0022761760242793194
2013-09-26,26.57,27.05,26.36,26.55,37172,0.0049205147615443146
2013-09-27,26.37,26.48,26.32,26.47,12853,-0.003013182674199699
2013-09-30,26.71,26.71,26.14,26.23,9730,-0.009066868152625585
2013-10-01,26.39,26.46,26.28,26.45,54300,0.008387342737323555
2013-10-02,26.32,26.45,26.25,26.45,31930,0.0
2013-10-03,26.47,26.47,26.24,26.36,28725,-0.0034026465028355046
2013-10-04,26.24,26.39,26.2,26.39,10971,0.0011380880121396597
2013-10-07,26.04,26.29,26.04,26.2,13659,-0.00719969685486932
2013-10-08,26.32,26.32,25.97,25.98,15375,-0.008396946564885432
2013-10-09,26.18,26.18,25.94,26.1,18582,0.004618937644341736
2013-10-10,26.47,26.68,26.39,26.66,63581,0.021455938697317878
2013-10-11,26.69,26.69,26.52,26.67,20506,0.00037509377344346895
2013-10-14,26.73,26.8,26.58,26.76,24460,0.003374578177727683
2013-10-15,27.13,27.13,26.68,26.68,20290,-0.002989536621823663
2013-10-16,26.97,26.97,26.78,26.94,55206,0.009745127436281864
2013-10-17,27.1,27.27,27.02,27.27,58669,0.012249443207126953
2013-10-18,27.73,27.73,27.27,27.4,41450,0.0047671433810048125
2013-10-21,27.93,27.93,27.3,27.39,67363,-0.0003649635036495624
2013-10-22,27.58,27.67,27.48,27.63,22473,0.008762322015334112
2013-10-23,27.43,27.43,27.27,27.34,60450,-0.01049583785740138
2013-10-24,27.44,27.57,27.43,27.56,17667,0.008046817849304944
2013-10-25,27.53,27.53,27.37,27.42,32452,-0.005079825834542695
2013-10-28,27.5,27.5,27.25,27.34,34419,-0.0029175784099197966
2013-10-29,27.66,27.66,27.44,27.5,29875,0.00585223116313105
2013-10-30,27.72,27.72,27.38,27.44,15558,-0.0021818181818181737
2013-10-31,27.4,27.4,27.18,27.29,11911,-0.0054664723032070706
2013-11-01,27.24,27.24,27.0,27.1,10469,-0.006962257237083103
2013-11-04,27.22,27.28,27.16,27.28,19067,0.006642066420664117
2013-11-05,27.03,27.09,26.96,27.07,27979,-0.0076979472140762395
2013-11-06,27.36,27.36,27.26,27.32,104376,0.009235315847802017
2013-11-07,27.27,27.27,26.83,26.84,20146,-0.017569546120058566
2013-11-08,26.82,27.0,26.76,27.0,44887,0.005961251862891315
2013-11-11,27.05,27.1,27.03,27.08,22445,0.002962962962962834
2013-11-12,27.04,27.04,26.92,26.93,33215,-0.00553914327917282
2013-11-13,26.79,27.14,26.75,27.14,22608,0.007797994801336916
2013-11-14,27.13,27.22,27.08,27.22,19098,0.0029476787030213725
2013-11-15,27.38,27.39,27.3,27.39,12728,0.006245407788390889
2013-11-18,27.62,27.63,27.41,27.42,24124,0.0010952902519167917
2013-11-19,27.4,27.41,27.25,27.32,18465,-0.003646973012399801
2013-11-20,27.37,27.37,27.04,27.1,11571,-0.008052708638360162
2013-11-21,27.34,27.35,27.17,27.35,22646,0.009225092250922495
2013-11-22,27.4,27.49,27.3,27.48,16385,0.004753199268738628
2013-11-25,27.53,27.53,27.35,27.35,14038,-0.0047307132459970536
2013-11-26,27.33,27.38,27.27,27.36,22027,0.000365630712979792
2013-11-27,27.55,27.55,27.41,27.41,16517,0.001827485380117011
2013-11-29,27.61,27.69,27.52,27.52,21604,0.004013133892739829
2013-12-02,27.44,27.44,27.29,27.29,24858,-0.00835755813953487
2013-12-03,27.18,27.18,27.05,27.07,18051,-0.008061561011359464
2013-12-04,26.96,26.98,26.73,26.96,34329,-0.00406353897303291
2013-12-05,26.84,26.86,26.75,26.75,23523,-0.007789317507418403
2013-12-06,27.08,27.12,26.95,27.12,18344,0.013831775700934523
2013-12-09,27.1,27.13,27.04,27.12,22275,0.0
2013-12-10,27.12,27.12,27.01,27.08,20529,-0.001474926253687392
2013-12-11,27.05,27.09,26.81,26.83,20908,-0.00923190546528807
2013-12-12,26.66,26.72,26.57,26.63,29214,-0.007454342154304849
2013-12-13,26.72,26.72,26.47,26.58,17000,-0.0018775816748028973
2013-12-16,26.81,26.84,26.76,26.82,22564,0.009029345372460584
2013-12-17,26.69,26.71,26.62,26.68,44360,-0.00521998508575694
2013-12-18,26.84,27.7,26.78,27.15,27202,0.01761619190404784
2013-12-19,27.0,27.13,26.93,27.13,21634,-0.0007366482504603811
2013-12-20,27.12,27.25,27.12,27.24,26972,0.004054552156284474
2013-12-23,27.29,27.42,27.23,27.42,67771,0.006607929515418665
2013-12-24,27.35,27.46,27.29,27.46,17546,0.0014587892049597873
2013-12-26,27.52,27.6,27.5,27.6,11903,0.005098324836125379
2013-12-27,27.82,27.82,27.67,27.71,16514,0.003985507246376807
2013-12-30,27.88,27.88,27.75,27.87,26895,0.005774088776614894
2013-12-31,27.85,28.04,27.85,27.95,42964,0.002870470039468831
2014-01-02,27.62,27.62,27.29,27.3,124884,-0.023255813953488302
2014-01-03,27.47,27.5,27.4,27.45,30977,0.005494505494505475
2014-01-06,27.49,27.52,27.4,27.48,32969,0.0010928961748635224
2014-01-07,27.58,27.7,27.58,27.68,38302,0.00727802037845704
2014-01-08,27.67,27.73,27.61,27.64,71742,-0.0014450867052022698
