Date,Open,High,Low,Close,Volume,FNDX Percent Change
2013-08-15,24.98,24.98,24.56,24.6,12893,
2013-08-16,24.7,24.7,24.44,24.5,23520,-0.004065040650406582
2013-08-19,24.48,24.48,24.34,24.34,10145,-0.0065306122448979265
2013-08-20,24.33,24.5,24.3,24.42,24411,0.0032867707477404196
2013-08-21,24.36,24.41,24.25,24.25,18276,-0.006961506961506991
2013-08-22,24.27,24.46,24.27,24.42,14718,0.007010309278350668
2013-08-23,24.48,24.52,24.47,24.52,10910,0.004095004095004073
2013-08-26,24.56,24.58,24.44,24.44,5729,-0.0032626427406198255
2013-08-27,24.24,24.26,24.03,24.08,49829,-0.014729950900163824
2013-08-28,24.06,24.23,24.06,24.16,20750,0.0033222591362127574
2013-08-29,24.14,24.29,24.1,24.19,5292,0.0012417218543046005
2013-08-30,24.22,24.22,24.04,24.13,15524,-0.0024803637866888106
2013-09-03,24.39,24.39,24.11,24.12,23812,-0.0004144218814752243
2013-09-04,24.29,24.4,24.29,24.36,11997,0.00995024875621886
2013-09-05,24.34,24.46,24.34,24.4,6030,0.0016420361247946325
2013-09-06,24.48,24.52,24.25,24.41,40231,0.0004098360655737654
2013-09-09,24.44,24.64,24.4,24.62,9680,0.008603031544448969
2013-09-10,24.76,24.8,24.71,24.8,28844,0.007311129163281915
2013-09-11,24.82,24.92,24.79,24.92,8012,0.004838709677419395
2013-09-12,24.91,24.95,24.82,24.83,16556,-0.003611556982343611
2013-09-13,24.9,24.94,24.86,24.94,24608,0.004430124848973094
2013-09-16,25.21,25.21,25.03,25.03,135680,0.003608660785886064
2013-09-17,25.13,25.2,25.13,25.2,11958,0.0067918497802637035
2013-09-18,25.19,25.52,25.06,25.46,184688,0.01031746031746028
2013-09-19,25.48,25.52,25.38,25.39,52387,-0.00274941084053415
2013-09-20,25.45,25.75,25.2,25.22,10071,-0.006695549428909042
2013-09-23,25.13,25.3,25.0,25.07,20010,-0.0059476605868358234
2013-09-24,25.06,25.18,24.99,25.03,38346,-0.0015955325089748174
2013-09-25,25.0,25.09,24.92,24.96,19030,-0.0027966440271673942
2013-09-26,25.11,25.11,24.95,25.02,15505,0.0024038461538460343
2013-09-27,24.92,24.94,24.84,24.91,25195,-0.0043964828137489365
2013-09-30,24.71,24.81,24.6,24.77,15560,-0.005620232838217554
2013-10-01,24.94,25.65,24.87,24.88,5065,0.004440855874041194
2013-10-02,24.82,24.94,24.77,24.94,7440,0.002411575562700996
2013-10-03,24.76,24.79,24.61,24.77,16127,-0.006816359262229454
2013-10-04,24.74,24.92,24.71,24.89,30936,0.004844570044408636
2013-10-07,24.69,24.83,24.69,24.72,31130,-0.0068300522298112565
2013-10-08,24.63,24.69,24.42,24.45,22006,-0.010922330097087318
2013-10-09,24.48,24.62,24.34,24.5,39699,0.002044989775051187
2013-10-10,24.88,25.0,24.73,25.0,72269,0.020408163265306145
