Date,Open,High,Low,Close,Volume,SCHC Percent Change
2010-01-14,25.41,25.51,25.3,25.48,72213,
2010-01-15,,,,25.16,0,-0.012558869701726816
2010-01-19,25.1,25.41,25.1,25.38,155396,0.008744038155802825
2010-01-20,24.98,24.98,24.63,24.85,124911,-0.02088258471237181
2010-01-21,24.76,24.78,24.14,24.26,63746,-0.02374245472837022
2010-01-22,24.17,24.27,23.7,23.7,50912,-0.023083264633141032
2010-01-25,24.24,24.26,24.0,24.12,54881,0.017721518987341867
2010-01-26,23.87,24.05,23.75,23.78,18102,-0.014096185737976774
2010-01-27,23.83,23.88,23.59,23.88,15012,0.00420521446593769
2010-01-28,23.8,23.8,23.5,23.59,24387,-0.012144053601339966
2010-01-29,23.67,23.7,23.21,23.26,27539,-0.013988978380669703
2010-02-01,23.59,23.76,23.53,23.76,33867,0.021496130696474713
2010-02-02,24.0,24.21,23.86,24.2,55466,0.01851851851851838
2010-02-03,24.07,24.69,23.9,23.98,12172,-0.009090909090909038
2010-02-04,23.64,23.64,23.04,23.07,55461,-0.03794829024186819
2010-02-05,22.9,22.9,22.25,22.72,40857,-0.015171218032076328
2010-02-08,22.74,22.83,22.38,22.38,53716,-0.014964788732394374
2010-02-09,22.95,23.19,22.72,23.1,19574,0.03217158176943702
2010-02-10,23.07,23.11,22.79,23.02,42995,-0.0034632034632035014
2010-02-11,23.08,23.43,22.92,23.34,135286,0.013900955690703709
2010-02-12,,,,23.1,0,-0.010282776349614275
2010-02-16,23.26,23.85,23.16,23.52,126906,0.018181818181818077
2010-02-17,23.69,23.69,23.49,23.57,47301,0.002125850340136015
2010-02-18,23.56,23.74,23.5,23.73,14096,0.006788290199406077
2010-02-19,23.46,23.58,23.26,23.56,28167,-0.0071639275179098405
2010-02-22,23.77,23.77,23.54,23.62,9719,0.002546689303905003
2010-02-23,23.57,23.57,23.21,23.23,19318,-0.01651143099068586
2010-02-24,23.35,23.44,23.25,23.3,6852,0.0030133448127420692
2010-02-25,23.0,23.23,22.85,23.2,27980,-0.0042918454935623185
2010-02-26,23.26,23.43,23.25,23.43,6576,0.00991379310344831
2010-03-01,23.49,23.63,23.43,23.62,33924,0.008109261630388387
2010-03-02,23.86,23.96,23.72,23.82,29744,0.008467400508044065
2010-03-03,24.1,24.25,24.02,24.1,31162,0.011754827875734675
2010-03-04,24.21,24.21,23.96,24.08,53020,-0.0008298755186723072
2010-03-05,24.33,24.51,24.25,24.48,32453,0.01661129568106312
