Date,Open,High,Low,Close,Volume,SCHE Percent Change
2010-01-14,25.32,25.38,25.19,25.33,190297,
2010-01-15,,,,24.92,0,-0.016186340307935088
2010-01-19,25.1,25.28,25.02,25.26,231696,0.013643659711075395
2010-01-20,24.84,24.84,24.49,24.7,198294,-0.022169437846397577
2010-01-21,24.49,24.5,23.9,23.9,177053,-0.03238866396761142
2010-01-22,23.85,23.85,23.39,23.46,58362,-0.018410041841004143
2010-01-25,23.86,23.94,23.57,23.63,114175,0.007246376811594013
2010-01-26,23.3,23.55,23.11,23.3,82790,-0.013965298349555622
2010-01-27,23.14,23.26,22.87,23.2,46326,-0.0042918454935623185
2010-01-28,23.47,23.47,22.87,23.13,38155,-0.0030172413793103647
2010-01-29,23.43,23.52,22.9,23.0,50478,-0.005620406398616495
2010-02-01,23.24,23.58,23.22,23.58,64143,0.025217391304347858
2010-02-02,23.58,23.73,23.4,23.72,467423,0.00593723494486853
2010-02-03,23.77,23.8,23.54,23.64,26225,-0.003372681281618828
2010-02-04,23.25,23.25,22.56,22.56,83191,-0.045685279187817285
2010-02-05,22.47,23.0,21.79,22.38,65738,-0.007978723404255317
2010-02-08,22.37,22.42,22.13,22.13,45803,-0.011170688114387817
2010-02-09,22.57,22.95,22.49,22.73,45852,0.02711251694532324
2010-02-10,22.83,22.91,22.53,22.69,68880,-0.001759788825340891
2010-02-11,22.9,23.28,22.74,23.23,196926,0.02379903040987208
2010-02-12,,,,22.99,0,-0.01033146792940176
2010-02-16,23.33,23.48,23.17,23.46,63417,0.020443671161374688
2010-02-17,23.73,23.73,23.41,23.57,42776,0.004688832054560832
2010-02-18,23.46,23.74,23.43,23.7,47649,0.005515485787017438
2010-02-19,23.49,23.64,23.35,23.5,25256,-0.008438818565400852
2010-02-22,23.67,23.67,23.41,23.46,43403,-0.0017021276595744483
2010-02-23,23.42,23.42,22.95,23.05,40793,-0.01747655583972718
2010-02-24,23.2,23.35,23.05,23.29,22410,0.010412147505422853
2010-02-25,22.85,23.19,22.7,23.16,36709,-0.005581794761700287
2010-02-26,23.33,23.59,23.19,23.39,92608,0.00993091537132984
2010-03-01,23.73,23.92,23.54,23.82,93830,0.01838392475416839
2010-03-02,24.11,24.15,23.9,24.06,158222,0.010075566750629594
2010-03-03,24.21,24.32,24.04,24.12,52187,0.0024937655860350905
2010-03-04,24.19,24.19,23.94,24.1,99676,-0.0008291873963515162
2010-03-05,24.22,24.59,24.19,24.54,1013224,0.018257261410788317
2010-03-08,24.68,24.71,24.58,24.64,169901,0.004074979625101838
2010-03-09,24.52,24.8,24.45,24.7,86211,0.0024350649350648457
2010-03-10,24.81,24.92,24.71,24.8,55543,0.004048582995951566
2010-03-11,24.71,24.82,24.55,24.81,368316,0.0004032258064514682
2010-03-12,24.97,24.97,24.65,24.74,550332,-0.0028214429665457397
2010-03-15,24.65,24.65,24.4,24.59,56544,-0.006063055780113125
2010-03-16,24.58,24.84,24.58,24.84,39772,0.010166734444896353
2010-03-17,25.05,25.21,24.97,25.09,136618,0.010064412238325326
2010-03-18,25.06,25.09,24.84,24.96,91447,-0.005181347150258975
2010-03-19,25.07,25.07,24.61,24.65,53089,-0.012419871794871917
2010-03-22,24.6,24.79,24.23,24.75,60164,0.0040567951318459805
2010-03-23,24.79,24.89,24.66,24.87,93618,0.00484848484848488
2010-03-24,24.7,24.72,24.48,24.54,74274,-0.013268998793727449
2010-03-25,24.71,24.77,24.39,24.4,44721,-0.005704971475142595
2010-03-26,24.65,24.68,24.4,24.59,45649,0.0077868852459017646
2010-03-29,24.85,24.98,24.72,24.96,66829,0.015046766978446646
2010-03-30,25.16,25.16,24.94,25.11,65513,0.006009615384615419
2010-03-31,25.1,25.24,24.93,25.15,439631,0.0015929908403027326
2010-04-01,,,,25.67,0,0.02067594433399611
2010-04-05,25.99,26.0,25.8,25.99,137025,0.012465913517724747
2010-04-06,25.95,26.1,25.9,26.04,90645,0.0019238168526356514
2010-04-07,26.04,26.04,25.71,25.83,70595,-0.008064516129032251
2010-04-08,25.69,25.9,25.5,25.87,40411,0.0015485869144407083
2010-04-09,26.03,26.05,25.92,26.02,80625,0.005798221878623888
2010-04-12,26.04,26.04,25.86,25.92,81772,-0.003843197540353449
2010-04-13,25.89,25.89,25.56,25.85,40792,-0.002700617283950657
2010-04-14,26.1,26.23,25.98,26.23,61550,0.01470019342359774
2010-04-15,26.09,26.15,25.98,26.01,76841,-0.008387342737323666
2010-04-16,25.78,25.78,25.16,25.36,93601,-0.024990388312187695
2010-04-19,25.1,25.24,24.85,25.21,58160,-0.005914826498422676
2010-04-20,25.39,25.57,25.39,25.52,51266,0.01229670765569213
2010-04-21,25.5,25.5,25.18,25.35,105532,-0.006661442006269502
2010-04-22,25.25,25.47,25.0,25.43,58259,0.0031558185404338968
2010-04-23,25.36,25.55,25.25,25.54,84624,0.004325599685411019
2010-04-26,25.75,25.75,25.53,25.59,109487,0.0019577133907595634
2010-04-27,25.45,25.45,24.64,24.69,198096,-0.035169988276670505
2010-04-28,24.86,24.99,24.57,24.89,71684,0.00810044552450373
2010-04-29,25.14,25.31,25.07,25.27,356134,0.01526717557251911
2010-04-30,25.34,25.35,24.95,24.96,71172,-0.012267510882469246
2010-05-03,25.19,25.2,24.9,25.03,103743,0.002804487179487225
2010-05-04,24.62,24.62,24.0,24.08,134806,-0.037954454654414826
2010-05-05,23.74,23.96,23.43,23.69,143494,-0.016196013289036415
2010-05-06,23.4,23.66,21.51,22.71,164288,-0.04136766568172223
2010-05-07,23.44,23.44,22.31,22.7,1084118,-0.00044033465433734875
2010-05-10,23.7,24.32,23.7,24.12,207965,0.06255506607929529
2010-05-11,23.73,24.05,23.59,23.7,165928,-0.017412935323383172
2010-05-12,24.07,24.11,23.87,24.03,245820,0.013924050632911467
2010-05-13,24.11,24.2,23.81,23.82,97059,-0.008739076154806513
2010-05-14,23.61,23.7,23.13,23.37,96602,-0.018891687657430656
2010-05-17,23.4,23.47,22.82,23.28,106378,-0.0038510911424903815
2010-05-18,23.71,23.71,22.8,22.87,98920,-0.0176116838487973
2010-05-19,22.56,22.74,22.16,22.51,96092,-0.015741145605596807
2010-05-20,21.65,21.95,21.35,21.45,236118,-0.0470901821412707
2010-05-21,21.19,22.13,21.19,22.09,105059,0.029836829836829892
2010-05-24,22.09,22.28,21.9,21.92,154479,-0.007695789950203591
2010-05-25,21.01,21.57,21.0,21.55,150655,-0.016879562043795704
2010-05-26,21.87,22.2,21.68,21.76,78841,0.009744779582366636
2010-05-27,22.62,22.99,22.43,22.99,65534,0.05652573529411753
2010-05-28,,,,22.66,0,-0.014354066985645897
2010-06-01,22.5,22.85,22.32,22.32,54734,-0.015004413062665534
2010-06-02,22.5,23.02,22.5,23.02,62318,0.03136200716845883
2010-06-03,23.16,23.18,22.66,22.91,87820,-0.0047784535186793375
2010-06-04,22.43,22.6,22.07,22.15,103036,-0.0331732867743344
2010-06-07,22.3,22.3,21.91,21.92,61837,-0.010383747178329461
2010-06-08,22.04,22.32,21.9,22.27,88500,0.015967153284671465
2010-06-09,22.56,22.67,22.15,22.23,40827,-0.0017961383026492417
2010-06-10,22.75,23.04,22.71,23.04,61386,0.036437246963562764
2010-06-11,22.72,23.15,22.72,23.15,26079,0.00477430555555558
2010-06-14,23.44,23.5,23.12,23.12,76736,-0.001295896328293633
2010-06-15,23.41,23.82,23.39,23.78,51947,0.028546712802768104
2010-06-16,23.61,23.88,23.5,23.76,116462,-0.000841042893187538
2010-06-17,23.88,23.88,23.51,23.73,75846,-0.0012626262626262985
2010-06-18,23.83,23.85,23.67,23.79,67604,0.0025284450063209896
2010-06-21,24.47,24.55,24.03,24.16,85549,0.015552753257671359
2010-06-22,24.16,24.23,23.75,23.8,123258,-0.01490066225165565
2010-06-23,23.96,23.96,23.6,23.85,63283,0.0021008403361344463
2010-06-24,23.76,23.78,23.43,23.54,68538,-0.012997903563941371
2010-06-25,23.54,23.8,23.4,23.73,50013,0.008071367884451952
2010-06-28,23.73,23.81,23.61,23.7,37744,-0.0012642225031606058
2010-06-29,23.23,23.23,22.78,22.88,261874,-0.03459915611814346
2010-06-30,23.0,23.14,22.62,22.65,111572,-0.010052447552447608
2010-07-01,22.71,22.8,22.35,22.77,82374,0.005298013245033095
2010-07-02,,,,22.9,0,0.005709266578831862
2010-07-06,23.62,23.62,23.01,23.14,54784,0.010480349344978324
2010-07-07,23.1,23.82,23.1,23.78,71051,0.02765773552290418
2010-07-08,23.86,23.95,23.54,23.81,55350,0.001261564339781307
2010-07-09,23.88,24.11,23.87,24.1,51525,0.01217975640487201
2010-07-12,24.07,24.11,23.79,23.91,40437,-0.007883817427385975
2010-07-13,24.23,24.34,24.08,24.26,117843,0.014638226683396205
2010-07-14,24.08,24.24,24.0,24.15,75044,-0.004534212695795681
2010-07-15,24.1,24.15,23.82,24.13,59580,-0.0008281573498964967
2010-07-16,23.98,23.98,23.48,23.52,46360,-0.025279734769995788
2010-07-19,23.78,23.85,23.6,23.79,22942,0.011479591836734748
2010-07-20,23.66,24.18,23.66,24.18,130020,0.016393442622950838
2010-07-21,24.33,24.37,23.93,24.05,48689,-0.005376344086021501
2010-07-22,24.47,24.76,24.47,24.71,56929,0.027442827442827555
2010-07-23,24.71,24.92,24.59,24.92,151919,0.008498583569405138
2010-07-26,24.88,25.03,24.77,25.01,1304902,0.003611556982343389
2010-07-27,25.15,25.17,24.86,24.92,85948,-0.0035985605757696826
2010-07-28,24.84,24.95,24.71,24.84,40286,-0.0032102728731943087
2010-07-29,25.16,25.18,24.75,24.92,214444,0.0032206119162641045
2010-07-30,24.73,25.14,24.64,25.07,262430,0.006019261637239204
2010-08-02,25.5,25.66,25.42,25.63,120875,0.02233745512564811
2010-08-03,25.48,25.55,25.29,25.45,154189,-0.00702301989855636
2010-08-04,25.57,25.57,25.27,25.54,587450,0.0035363457760313466
2010-08-05,25.44,25.52,25.34,25.49,380611,-0.0019577133907596744
2010-08-06,25.39,25.48,25.22,25.44,65125,-0.001961553550411832
2010-08-09,25.65,25.65,25.5,25.6,126880,0.0062893081761006275
2010-08-10,25.17,25.38,25.04,25.28,78770,-0.012499999999999956
2010-08-11,24.74,24.74,24.38,24.41,201131,-0.03441455696202533
2010-08-12,24.25,24.54,24.09,24.51,61195,0.004096681687832948
2010-08-13,24.65,24.73,24.57,24.59,48374,0.00326397388820876
2010-08-16,24.72,24.92,24.64,24.87,46514,0.01138674257828387
2010-08-17,25.07,25.23,25.02,25.11,52072,0.00965018094089265
2010-08-18,25.06,25.19,24.95,25.11,35942,0.0
2010-08-19,25.14,25.15,24.76,24.89,34284,-0.008761449621664585
2010-08-20,24.8,24.88,24.65,24.87,19871,-0.0008035355564484092
2010-08-23,25.02,25.02,24.69,24.69,32205,-0.007237635705669487
2010-08-24,24.5,24.51,24.17,24.39,65985,-0.012150668286755817
2010-08-25,24.22,24.35,23.92,24.26,140497,-0.005330053300532933
2010-08-26,24.5,24.5,24.15,24.2,53764,-0.002473206924979432
2010-08-27,24.49,24.7,24.18,24.69,121035,0.020247933884297575
2010-08-30,24.55,24.6,24.27,24.28,48764,-0.01660591332523287
2010-08-31,24.25,24.54,24.25,24.37,143357,0.0037067545304778626
2010-09-01,24.83,25.07,24.76,25.05,121225,0.027903159622486573
2010-09-02,25.17,25.2,25.01,25.2,50856,0.0059880239520957446
2010-09-03,,,,25.45,0,0.009920634920634885
2010-09-07,25.27,25.41,25.14,25.16,52188,-0.011394891944990104
2010-09-08,25.39,25.5,25.35,25.4,80922,0.009538950715421324
2010-09-09,25.72,25.72,25.43,25.51,51784,0.004330708661417493
2010-09-10,25.5,25.65,25.48,25.62,84902,0.004312034496275929
2010-09-13,26.06,26.2,26.01,26.2,101172,0.022638563622170205
