Date,Open,High,Low,Close,Volume,SCHF Percent Change
2010-01-04,26.38,26.5,26.28,26.46,218056,
2010-01-05,26.58,26.6,26.4,26.56,205847,0.0037792894935750887
2010-01-06,26.64,26.67,26.41,26.6,130406,0.001506024096385561
2010-01-07,26.57,26.57,26.27,26.44,180570,-0.006015037593984918
2010-01-08,26.54,26.73,26.44,26.72,155010,0.010590015128592922
2010-01-11,27.02,27.02,26.77,26.88,281361,0.0059880239520957446
2010-01-12,26.6,26.71,26.44,26.52,192517,-0.013392857142857095
2010-01-13,26.68,26.84,26.45,26.81,197584,0.010935143288084426
2010-01-14,26.84,26.96,26.75,26.93,113846,0.0044759418127564565
2010-01-15,,,,26.51,0,-0.015595989602673499
2010-01-19,26.57,26.79,26.46,26.79,318501,0.01056205205582783
2010-01-20,26.34,26.34,25.85,26.08,334572,-0.02650242627846211
2010-01-21,26.15,26.15,25.36,25.51,227387,-0.021855828220858742
2010-01-22,25.49,25.5,24.91,24.97,165768,-0.021168169345354815
2010-01-25,25.47,25.53,25.22,25.34,283748,0.01481778133760514
2010-01-26,25.11,25.34,24.95,25.08,93994,-0.010260457774269982
2010-01-27,25.05,25.1,24.79,25.06,124146,-0.0007974481658692412
2010-01-28,25.18,25.18,24.46,24.7,188544,-0.01436552274541103
2010-01-29,24.78,24.86,24.25,24.33,165370,-0.014979757085020307
2010-02-01,24.67,24.84,24.62,24.83,156439,0.02055076037813408
2010-02-02,25.06,25.26,24.89,25.2,137011,0.01490132903745467
2010-02-03,25.08,25.16,24.85,24.98,89612,-0.0087301587301587
2010-02-04,24.56,24.56,23.91,23.96,182874,-0.04083266613290626
2010-02-05,23.79,23.87,23.17,23.7,264358,-0.0108514190317196
2010-02-08,23.8,23.91,23.46,23.46,139669,-0.010126582278480956
2010-02-09,24.01,24.41,23.79,24.2,104485,0.0315430520034099
2010-02-10,24.14,24.17,23.79,24.03,130802,-0.007024793388429651
2010-02-11,24.07,24.4,23.84,24.4,165353,0.015397419891801878
2010-02-12,,,,24.1,0,-0.012295081967212962
2010-02-16,24.36,24.72,24.2,24.67,161126,0.023651452282157592
2010-02-17,24.82,24.82,24.61,24.69,73110,0.0008107012565869987
2010-02-18,24.67,24.88,24.64,24.86,101607,0.0068853786958282814
2010-02-19,24.63,24.76,24.43,24.7,70230,-0.006436041834271933
2010-02-22,24.89,24.89,24.68,24.76,573707,0.0024291497975710286
2010-02-23,24.76,24.76,24.34,24.37,114396,-0.01575121163166404
2010-02-24,24.46,24.64,24.37,24.54,69924,0.006975789905621532
2010-02-25,24.18,24.4,23.96,24.39,132292,-0.006112469437652757
2010-02-26,24.43,24.64,24.22,24.58,128669,0.007790077900778902
2010-03-01,24.63,24.83,24.55,24.82,89897,0.009764035801464788
2010-03-02,25.04,25.13,24.86,24.98,263419,0.006446414182111226
2010-03-03,25.23,25.41,25.13,25.22,176181,0.009607686148919159
2010-03-04,25.3,25.32,25.04,25.17,191991,-0.0019825535289451635
2010-03-05,25.4,25.71,25.35,25.65,165744,0.019070321811680557
2010-03-08,25.75,25.79,25.6,25.68,164260,0.0011695906432749315
2010-03-09,25.51,25.76,25.44,25.56,283051,-0.004672897196261738
2010-03-10,25.62,25.85,25.61,25.77,110787,0.008215962441314506
2010-03-11,25.78,25.84,25.61,25.84,79998,0.00271633682576633
2010-03-12,26.09,26.09,25.88,25.94,125797,0.0038699690402477227
2010-03-15,25.86,25.86,25.6,25.8,114534,-0.005397070161912154
2010-03-16,25.95,26.16,25.85,26.12,120183,0.01240310077519391
2010-03-17,26.27,26.38,26.22,26.27,119692,0.005742725880551136
2010-03-18,26.28,26.28,25.96,26.13,91618,-0.005329272934906815
2010-03-19,26.19,26.19,25.75,25.83,93192,-0.01148105625717566
2010-03-22,25.55,25.97,25.5,25.94,136741,0.004258614014711615
2010-03-23,25.98,26.12,25.85,26.12,137016,0.006939090208172738
2010-03-24,25.7,25.79,25.58,25.66,153660,-0.01761102603369069
2010-03-25,25.95,26.01,25.67,25.69,151186,0.0011691348402183
2010-03-26,25.91,25.99,25.74,25.88,123732,0.007395873880887471
2010-03-29,26.2,26.2,26.01,26.15,130030,0.010432766615146916
2010-03-30,26.35,26.35,26.02,26.16,130724,0.0003824091778203975
2010-03-31,26.15,26.23,26.0,26.15,122155,-0.0003822629969419955
2010-04-01,,,,26.58,0,0.016443594646271542
2010-04-05,26.74,26.74,26.58,26.69,122144,0.004138449962377777
2010-04-06,26.53,26.7,26.4,26.67,157310,-0.0007493443237167607
2010-04-07,26.57,26.57,26.35,26.44,203777,-0.008623922009748819
2010-04-08,26.22,26.47,26.12,26.4,545117,-0.001512859304084846
2010-04-09,26.54,26.75,26.52,26.74,365964,0.012878787878787934
2010-04-12,26.83,26.86,26.73,26.79,153514,0.0018698578908002972
2010-04-13,26.85,26.85,26.54,26.76,131756,-0.0011198208286673506
2010-04-14,27.01,27.12,26.89,27.11,998114,0.013079222720478345
2010-04-15,27.08,27.13,26.96,27.08,119226,-0.0011066027296201542
2010-04-16,26.91,26.93,26.35,26.5,184294,-0.021418020679468186
2010-04-19,26.26,26.42,26.06,26.42,159745,-0.0030188679245282124
2010-04-20,26.71,26.71,26.54,26.63,120675,0.007948523845571431
2010-04-21,26.58,26.58,26.31,26.49,306678,-0.005257228689448001
2010-04-22,26.15,26.31,25.9,26.27,112125,-0.008305020762551907
2010-04-23,26.22,26.49,26.1,26.49,112415,0.008374571754853344
2010-04-26,26.5,26.61,26.45,26.5,169626,0.0003775009437523291
2010-04-27,26.21,26.31,25.42,25.49,374796,-0.03811320754716985
2010-04-28,25.72,25.72,25.2,25.46,166148,-0.0011769321302470548
2010-04-29,25.82,25.94,25.74,25.9,100691,0.01728201099764326
2010-04-30,25.99,25.99,25.54,25.57,125206,-0.012741312741312627
2010-05-03,25.73,25.84,25.58,25.74,275357,0.006648416112631894
2010-05-04,25.15,25.15,24.59,24.7,171149,-0.04040404040404033
2010-05-05,24.27,24.52,24.09,24.27,138138,-0.017408906882591113
2010-05-06,24.21,24.44,22.0,23.19,343587,-0.04449938195302838
2010-05-07,23.59,23.64,22.74,23.08,440397,-0.00474342388960769
2010-05-10,24.61,24.72,24.38,24.63,597787,0.06715771230502598
2010-05-11,24.08,24.63,24.02,24.26,332427,-0.015022330491270663
2010-05-12,24.5,24.63,24.45,24.6,59802,0.014014839241549781
2010-05-13,24.44,24.57,24.25,24.3,93902,-0.012195121951219523
2010-05-14,24.07,24.07,23.4,23.67,97520,-0.025925925925925908
2010-05-17,23.65,23.69,23.1,23.61,94017,-0.0025348542458809575
2010-05-18,23.85,23.87,23.0,23.12,87539,-0.020753917831427326
2010-05-19,23.0,23.2,22.75,23.11,110818,-0.0004325259515571833
2010-05-20,22.46,22.64,22.03,22.22,194431,-0.038511466897447
2010-05-21,21.96,22.78,21.96,22.78,140052,0.025202520252025407
