Date,Open,High,Low,Close,Volume,SCHH Percent Change
2011-01-13,25.14,25.28,25.1,25.16,13146,
2011-01-14,,,,25.39,0,0.009141494435612074
2011-01-18,25.42,25.58,25.3,25.58,60796,0.0074832611264277205
2011-01-19,25.62,25.62,25.18,25.25,53833,-0.012900703674745828
2011-01-20,25.25,25.48,25.21,25.28,21254,0.0011881188118811892
2011-01-21,25.4,25.5,25.27,25.34,25952,0.002373417721518889
2011-01-24,25.39,25.54,25.29,25.47,58595,0.00513022888713488
2011-01-25,25.5,25.77,25.34,25.77,98768,0.011778563015312216
2011-01-26,25.84,25.89,25.65,25.82,76370,0.0019402405898332198
2011-01-27,26.03,26.24,25.93,26.23,131719,0.015879163439194377
2011-01-28,26.3,26.31,25.7,25.76,134870,-0.01791841402973693
2011-01-31,25.95,26.17,25.87,26.12,76097,0.013975155279503104
2011-02-01,26.37,26.37,25.96,26.2,151205,0.003062787136294043
2011-02-02,26.22,26.34,26.16,26.17,178953,-0.0011450381679388721
2011-02-03,26.15,26.28,26.07,26.28,51728,0.004203286205578971
2011-02-04,26.34,26.34,25.95,26.0,89001,-0.010654490106544956
2011-02-07,26.11,26.32,26.06,26.3,63606,0.011538461538461497
2011-02-08,26.41,26.45,26.29,26.39,99141,0.003422053231939115
2011-02-09,26.4,26.42,26.28,26.42,103356,0.001136794240242489
2011-02-10,26.39,26.56,26.35,26.51,52073,0.003406510219530645
2011-02-11,26.53,26.73,26.4,26.71,57829,0.007544322897020006
2011-02-14,26.83,26.83,26.54,26.71,53271,0.0
2011-02-15,26.63,26.68,26.5,26.58,38341,-0.004867090977162203
2011-02-16,26.74,26.85,26.57,26.7,17431,0.004514672686230181
2011-02-17,26.67,26.78,26.66,26.71,15203,0.0003745318352059712
2011-02-18,,,,26.8,0,0.003369524522650602
2011-02-22,26.7,26.87,26.51,26.56,75052,-0.008955223880597107
2011-02-23,26.6,26.6,26.21,26.34,12229,-0.008283132530120474
2011-02-24,26.32,26.32,25.92,26.15,20466,-0.0072133637053910515
2011-02-25,26.3,26.67,26.3,26.67,15174,0.01988527724665401
2011-02-28,26.93,27.31,26.88,27.3,22422,0.023622047244094446
2011-03-01,27.41,27.41,26.51,26.51,25340,-0.028937728937728946
2011-03-02,26.52,26.52,26.19,26.19,118760,-0.012070916635231965
2011-03-03,26.51,26.63,26.49,26.61,21844,0.016036655211912887
2011-03-04,26.66,26.66,26.25,26.35,20237,-0.009770762871101013
2011-03-07,26.64,26.64,26.09,26.17,34377,-0.006831119544592035
2011-03-08,26.23,26.66,26.23,26.56,9689,0.01490256018341607
2011-03-09,26.58,26.65,26.37,26.53,21798,-0.0011295180722891152
2011-03-10,26.38,26.38,26.1,26.12,20571,-0.015454202789295102
2011-03-11,26.0,26.42,26.0,26.39,32476,0.010336906584992311
2011-03-14,26.3,26.3,26.05,26.13,33489,-0.009852216748768572
2011-03-15,25.71,26.16,25.54,25.99,40004,-0.005357826253348685
2011-03-16,25.99,25.99,25.5,25.6,9580,-0.015005771450557814
2011-03-17,25.93,25.93,25.7,25.83,11605,0.008984374999999822
2011-03-18,26.06,26.15,26.0,26.05,27845,0.00851722802942323
2011-03-21,26.17,26.32,26.15,26.23,42715,0.006909788867562439
2011-03-22,26.25,26.25,25.96,26.02,32095,-0.008006099885627171
2011-03-23,26.01,26.01,25.59,25.73,27072,-0.01114527286702538
2011-03-24,25.9,25.9,25.6,25.84,30050,0.00427516517683646
2011-03-25,25.95,26.15,25.91,26.04,17703,0.007739938080495223
2011-03-28,26.18,26.18,25.98,26.01,59346,-0.0011520737327187502
2011-03-29,26.06,26.18,25.77,26.14,19771,0.004998077662437428
2011-03-30,26.29,26.51,26.16,26.49,17286,0.013389441469012997
2011-03-31,26.49,26.75,26.49,26.75,20255,0.009815024537561445
2011-04-01,26.94,26.94,26.68,26.76,18739,0.00037383177570093906
2011-04-04,26.87,26.87,26.7,26.74,18157,-0.0007473841554560545
2011-04-05,26.78,26.88,26.75,26.76,16105,0.0007479431563202077
2011-04-06,26.89,26.89,26.72,26.76,14068,0.0
2011-04-07,26.81,26.81,26.39,26.49,19526,-0.010089686098654793
2011-04-08,26.62,26.66,26.22,26.28,37279,-0.007927519818799467
2011-04-11,26.35,26.41,26.28,26.3,17729,0.0007610350076103778
2011-04-12,26.26,26.31,26.24,26.26,22441,-0.001520912547528508
2011-04-13,26.41,26.41,26.2,26.24,27316,-0.0007616146230008392
2011-04-14,26.16,26.65,26.16,26.65,11929,0.015625
2011-04-15,26.73,26.98,26.66,26.98,8285,0.012382739212007499
2011-04-18,26.82,26.82,26.56,26.71,38331,-0.010007412898443313
2011-04-19,26.77,26.97,26.77,26.95,14484,0.008985398727068494
2011-04-20,27.21,27.28,27.11,27.27,21140,0.011873840445268957
2011-04-21,,,,27.46,0,0.006967363403006965
2011-04-25,27.52,27.69,27.39,27.64,23392,0.00655498907501828
2011-04-26,27.74,27.97,27.69,27.9,27198,0.009406657018813158
2011-04-27,27.99,28.1,27.85,28.09,36847,0.006810035842294004
2011-04-28,28.13,28.52,28.13,28.46,35380,0.013171947312210719
2011-04-29,28.53,28.53,27.98,28.33,70419,-0.004567814476458265
2011-05-02,28.46,28.55,28.15,28.37,76570,0.00141193081539015
2011-05-03,28.34,28.43,27.86,28.09,8767,-0.009869580542826939
2011-05-04,28.14,28.14,27.89,27.98,16608,-0.003915984336062661
2011-05-05,27.84,28.11,27.78,27.98,5207,0.0
2011-05-06,28.23,28.23,27.64,27.72,40724,-0.009292351679771271
2011-05-09,27.77,27.92,27.67,27.87,18414,0.005411255411255533
2011-05-10,28.0,28.33,27.97,28.3,22157,0.015428776462145688
2011-05-11,28.35,28.35,27.92,27.99,27055,-0.010954063604240338
2011-05-12,27.97,28.06,27.76,28.02,19287,0.001071811361200492
2011-05-13,28.11,28.11,27.71,27.74,19353,-0.009992862241256284
2011-05-16,27.7,27.97,27.65,27.82,18607,0.002883922134102379
2011-05-17,27.75,27.83,27.62,27.79,17954,-0.0010783608914450848
2011-05-18,27.89,28.07,27.83,28.06,2907,0.0097157250809643
2011-05-19,28.13,28.2,28.07,28.18,7234,0.004276550249465494
2011-05-20,28.12,28.12,27.83,27.83,9481,-0.012420156139105853
2011-05-23,27.53,27.67,27.5,27.54,21761,-0.010420409629895766
2011-05-24,27.59,27.72,27.54,27.64,12635,0.0036310820624547713
2011-05-25,27.58,27.81,27.4,27.81,4119,0.006150506512300868
2011-05-26,27.77,28.14,27.77,28.14,4551,0.011866235167206085
2011-05-27,,,,28.3,0,0.005685856432125158
2011-05-31,28.55,28.76,28.47,28.76,25750,0.016254416961130724
2011-06-01,28.7,28.7,27.92,27.93,27598,-0.028859527121001483
2011-06-02,28.03,28.15,27.73,27.73,23939,-0.007160759040458209
2011-06-03,27.45,27.93,27.39,27.85,9772,0.0043274432023079346
2011-06-06,27.77,27.79,27.44,27.47,33298,-0.013644524236983924
2011-06-07,27.53,27.95,27.53,27.76,18288,0.01055697124135424
2011-06-08,27.68,27.9,27.61,27.67,14782,-0.0032420749279539196
2011-06-09,27.77,27.77,27.26,27.39,6037,-0.01011926273942898
2011-06-10,27.28,27.3,26.65,26.68,32839,-0.02592186929536333
2011-06-13,26.77,26.93,26.64,26.81,19505,0.004872563718140821
2011-06-14,27.02,27.24,27.02,27.18,11132,0.013800820589332297
2011-06-15,27.0,27.04,26.58,26.69,9840,-0.018027961736570952
2011-06-16,26.76,27.0,26.76,26.96,4085,0.010116148370176159
2011-06-17,27.26,27.26,27.05,27.23,4678,0.010014836795252169
2011-06-20,26.97,27.37,26.96,27.34,55187,0.00403966213734841
2011-06-21,27.5,27.54,27.33,27.54,23280,0.007315288953913646
2011-06-22,27.49,27.7,27.43,27.44,25071,-0.0036310820624545492
2011-06-23,27.15,27.15,26.71,26.86,21871,-0.021137026239067103
2011-06-24,26.94,27.04,26.78,26.87,6012,0.0003723008190619215
2011-06-27,26.9,27.09,26.88,27.02,14372,0.005582433941198284
2011-06-28,27.14,27.23,26.96,27.21,15887,0.007031828275351648
2011-06-29,27.39,27.57,27.3,27.52,24990,0.011392870268283728
2011-06-30,27.61,27.69,27.46,27.58,8297,0.0021802325581394832
2011-07-01,,,,28.09,0,0.01849166062364027
2011-07-05,28.14,28.33,27.98,28.33,19148,0.008543965824136635
2011-07-06,28.2,28.52,28.2,28.51,6122,0.006353688669255231
2011-07-07,28.75,28.9,28.72,28.86,30376,0.012276394247632272
2011-07-08,28.55,28.81,28.48,28.81,37106,-0.0017325017325017233
2011-07-11,28.47,28.49,28.26,28.28,24429,-0.018396390142311647
2011-07-12,28.2,28.79,28.2,28.4,9866,0.004243281471004057
2011-07-13,28.56,28.56,28.11,28.11,11870,-0.010211267605633734
2011-07-14,28.23,28.23,27.75,27.85,8065,-0.009249377445748719
2011-07-15,27.99,28.17,27.81,28.17,26823,0.011490125673249585
2011-07-18,28.1,28.1,27.76,27.97,22239,-0.0070997515086973495
2011-07-19,28.16,28.44,28.14,28.44,4429,0.016803718269574608
2011-07-20,28.56,28.69,28.48,28.67,6600,0.008087201125175802
2011-07-21,28.8,29.03,28.8,28.91,6528,0.008371119637251345
2011-07-22,28.96,29.1,28.87,29.07,10777,0.005534417156693117
2011-07-25,28.73,28.93,28.69,28.77,32253,-0.01031991744066052
2011-07-26,28.81,28.93,28.63,28.83,5277,0.002085505735140769
2011-07-27,28.74,28.74,28.01,28.03,7593,-0.0277488727020464
2011-07-28,28.01,28.3,27.75,28.06,7690,0.001070281840884757
2011-07-29,27.78,28.09,27.65,28.06,15868,0.0
2011-08-01,28.44,28.44,27.47,27.67,50422,-0.013898788310762522
2011-08-02,27.46,27.53,26.76,26.76,23863,-0.03288760390314416
2011-08-03,26.82,26.82,25.86,26.57,21216,-0.00710014947683113
2011-08-04,26.26,26.32,25.21,25.21,17420,-0.051185547610086535
2011-08-05,25.47,25.47,24.21,24.63,48942,-0.02300674335581121
