Date,Open,High,Low,Close,Volume,SCHM Percent Change
2011-01-13,25.22,25.22,25.11,25.15,12104,
2011-01-14,,,,25.29,0,0.005566600397614252
2011-01-18,25.31,25.46,25.28,25.46,28358,0.006722024515618985
2011-01-19,25.51,25.51,25.06,25.07,55909,-0.015318146111547581
2011-01-20,25.02,25.02,24.81,24.89,16033,-0.007179896290386956
2011-01-21,25.09,25.09,24.87,24.87,17152,-0.0008035355564484092
2011-01-24,24.91,25.13,24.9,25.1,39844,0.009248090068355364
2011-01-25,25.01,25.09,24.91,25.09,35862,-0.0003984063745020583
2011-01-26,25.25,25.41,25.2,25.38,40673,0.011558389796731738
2011-01-27,25.36,25.55,25.36,25.5,26792,0.004728132387706863
2011-01-28,25.56,25.59,25.03,25.05,111751,-0.01764705882352935
2011-01-31,25.22,25.7,25.15,25.25,56659,0.007984031936127733
2011-02-01,25.48,25.67,25.45,25.66,140026,0.016237623762376252
2011-02-02,25.63,25.71,25.57,25.58,30108,-0.003117692907248726
2011-02-03,25.6,25.7,25.42,25.69,8997,0.004300234558248794
2011-02-04,25.74,25.82,25.66,25.82,19795,0.005060334760607299
2011-02-07,25.95,26.12,25.92,26.04,52172,0.008520526723470034
2011-02-08,26.09,26.15,25.98,26.14,55968,0.0038402457757296116
2011-02-09,26.13,26.15,26.0,26.05,33900,-0.0034429992348889993
2011-02-10,25.97,26.19,25.93,26.17,40322,0.004606525911708292
2011-02-11,26.14,26.46,26.14,26.45,16083,0.010699273977837098
2011-02-14,26.52,26.57,26.46,26.57,27978,0.004536862003780673
2011-02-15,26.52,26.54,26.42,26.44,33871,-0.004892736168611189
2011-02-16,26.57,26.68,26.57,26.66,16095,0.00832072617246582
2011-02-17,26.67,26.83,26.63,26.8,19985,0.005251312828207011
2011-02-18,,,,26.79,0,-0.0003731343283582822
2011-02-22,26.59,26.6,26.09,26.13,31111,-0.024636058230683044
2011-02-23,26.15,26.19,25.58,25.78,18131,-0.013394565633371491
2011-02-24,25.75,25.9,25.52,25.79,27741,0.00038789759503488064
2011-02-25,25.97,26.28,25.96,26.28,25542,0.018999612252811326
2011-02-28,26.49,26.49,26.26,26.35,25021,0.0026636225266363223
2011-03-01,26.5,26.5,25.87,25.93,14670,-0.01593927893738145
2011-03-02,25.91,26.16,25.91,26.07,6951,0.005399151561897408
2011-03-03,26.3,26.6,26.3,26.57,43421,0.019179133103183643
2011-03-04,26.62,26.62,26.3,26.43,16396,-0.005269100489273648
2011-03-07,26.65,26.65,25.98,26.12,8653,-0.011729095724555383
2011-03-08,26.22,26.46,26.18,26.38,8164,0.009954058192955584
2011-03-09,26.37,26.37,26.25,26.3,5515,-0.0030326004548899554
2011-03-10,26.03,26.03,25.81,25.84,16493,-0.017490494296578007
2011-03-11,25.6,26.07,25.6,26.04,33909,0.007739938080495223
2011-03-14,25.91,25.91,25.69,25.87,23764,-0.006528417818740362
2011-03-15,25.32,25.72,25.07,25.69,16544,-0.006957866254348688
2011-03-16,25.6,25.73,25.33,25.33,27783,-0.0140132347216817
2011-03-17,25.73,25.73,25.49,25.5,53066,0.006711409395973256
2011-03-18,25.81,25.81,25.62,25.62,2422,0.004705882352941115
2011-03-21,25.94,26.09,25.89,26.08,25585,0.017954722872755458
2011-03-22,26.1,26.13,25.93,25.93,8663,-0.005751533742331283
2011-03-23,25.92,25.98,25.74,25.96,7078,0.0011569610489781113
2011-03-24,26.13,26.24,25.98,26.21,10860,0.009630200308166303
2011-03-25,26.32,26.51,26.29,26.39,22184,0.006867607783288765
2011-03-28,26.5,26.5,26.26,26.27,38865,-0.004547176960970067
2011-03-29,26.27,26.48,26.15,26.48,51295,0.007993909402360222
2011-03-30,26.59,26.81,26.59,26.77,41411,0.010951661631419807
2011-03-31,26.77,26.91,26.73,26.89,12251,0.0044826298094882144
2011-04-01,27.02,27.1,26.95,27.02,21004,0.004834510970620931
2011-04-04,27.15,27.15,27.04,27.05,8358,0.0011102886750555818
2011-04-05,27.13,27.32,27.1,27.22,10877,0.0062846580406654695
2011-04-06,27.44,27.44,27.16,27.24,27015,0.0007347538574578039
2011-04-07,27.32,27.32,27.09,27.1,35109,-0.0051395007342143195
2011-04-08,27.27,27.27,26.9,26.9,1969,-0.0073800738007381295
2011-04-11,27.0,27.0,26.67,26.72,2623,-0.006691449814126393
2011-04-12,26.6,26.62,26.4,26.47,27537,-0.009356287425149712
2011-04-13,26.67,26.67,26.49,26.56,8737,0.0034000755572345387
2011-04-14,26.41,26.6,26.41,26.6,1925,0.001506024096385561
2011-04-15,26.67,26.82,26.61,26.8,8840,0.007518796992481258
2011-04-18,26.54,26.54,26.26,26.42,13344,-0.014179104477611948
2011-04-19,26.51,26.56,26.43,26.56,16742,0.005299015897047621
2011-04-20,27.03,27.03,26.91,26.97,14669,0.015436746987951722
2011-04-21,,,,27.19,0,0.008157211716722346
2011-04-25,27.15,27.22,27.14,27.2,14277,0.00036778227289446797
2011-04-26,27.25,27.47,27.25,27.43,42178,0.008455882352941257
2011-04-27,27.5,27.61,27.34,27.61,25269,0.006562158220925873
2011-04-28,27.59,27.71,27.59,27.65,8187,0.0014487504527345152
2011-04-29,27.72,27.76,27.62,27.74,5138,0.0032549728752260254
2011-05-02,27.89,27.89,27.63,27.63,22432,-0.003965392934390799
2011-05-03,27.6,27.6,27.23,27.34,13249,-0.01049583785740138
2011-05-04,27.35,27.35,27.02,27.12,7278,-0.008046817849305055
2011-05-05,26.96,27.05,26.87,27.05,6010,-0.002581120943952797
2011-05-06,27.36,27.44,27.13,27.14,18542,0.003327171903881654
2011-05-09,27.17,27.43,27.17,27.41,14122,0.009948415622697215
2011-05-10,27.47,27.71,27.47,27.7,8236,0.010580080262677871
2011-05-11,27.69,27.69,27.28,27.41,31307,-0.01046931407942231
2011-05-12,27.28,27.55,27.16,27.54,3610,0.004742794600510747
2011-05-13,27.56,27.56,27.25,27.25,1833,-0.010530137981118348
2011-05-16,27.15,27.21,27.0,27.04,16616,-0.007706422018348702
2011-05-17,26.88,26.96,26.72,26.85,9327,-0.007026627218934878
2011-05-18,26.9,27.3,26.9,27.3,2383,0.016759776536312776
2011-05-19,27.47,27.47,27.32,27.36,4276,0.00219780219780219
2011-05-20,27.29,27.29,27.05,27.17,5640,-0.006944444444444309
2011-05-23,26.8,26.83,26.71,26.74,38082,-0.01582627898417388
2011-05-24,26.83,26.88,26.61,26.68,3880,-0.00224382946896029
