Date,Open,High,Low,Close,Volume,SCHO Percent Change
2010-08-05,49.98,50.01,49.98,50.01,4150,
2010-08-06,50.2,50.2,50.02,50.04,35708,0.0005998800239952473
2010-08-09,50.03,50.03,50.01,50.01,31950,-0.0005995203836930418
2010-08-10,50.0,50.04,50.0,50.04,8975,0.0005998800239952473
2010-08-11,50.05,50.06,50.04,50.04,30510,0.0
2010-08-12,50.04,50.04,50.01,50.01,39806,-0.0005995203836930418
2010-08-13,50.04,50.04,50.02,50.02,29169,0.00019996000799848979
2010-08-16,50.1,50.1,50.05,50.07,91962,0.0009996001599359428
2010-08-17,50.07,50.07,50.03,50.05,72107,-0.00039944078290399254
2010-08-18,50.07,50.07,50.05,50.06,21221,0.00019980019980025965
2010-08-19,50.06,50.08,50.06,50.07,19461,0.00019976028765467113
2010-08-20,50.08,50.08,50.06,50.06,16611,-0.00019972039145188525
2010-08-23,50.07,50.07,50.06,50.07,62021,0.00019976028765467113
2010-08-24,50.12,50.12,50.08,50.1,17695,0.0005991611743558778
2010-08-25,50.12,50.12,50.05,50.07,26644,-0.0005988023952095967
2010-08-26,50.07,50.07,50.04,50.04,18715,-0.0005991611743558778
2010-08-27,50.05,50.05,50.02,50.03,10325,-0.0001998401278976436
2010-08-30,50.11,50.12,50.07,50.12,82654,0.001798920647611446
2010-08-31,50.09,50.12,50.09,50.12,18125,0.0
2010-09-01,50.13,50.13,50.06,50.07,54659,-0.000997605746208996
2010-09-02,50.07,50.07,50.07,50.07,8044,0.0
2010-09-03,,,,50.06,0,-0.00019972039145188525
2010-09-07,50.08,50.09,50.07,50.09,10210,0.0005992808629644575
2010-09-08,50.07,50.07,50.05,50.05,88054,-0.0007985625873428992
2010-09-09,50.04,50.04,49.99,50.0,8182,-0.0009990009990009652
2010-09-10,49.99,50.0,49.96,49.99,20210,-0.00019999999999997797
2010-09-13,50.01,50.02,49.99,50.02,5157,0.000600120024004891
2010-09-14,50.02,50.08,50.02,50.08,16310,0.0011995201919230425
2010-09-15,50.09,50.1,50.07,50.09,10069,0.00019968051118213204
2010-09-16,50.1,50.1,50.07,50.09,7545,0.0
2010-09-17,50.1,50.11,50.07,50.1,5533,0.00019964064683564153
2010-09-20,50.11,50.12,50.09,50.12,15061,0.0003992015968063978
2010-09-21,50.13,50.16,50.13,50.16,18098,0.0007980845969672856
2010-09-22,50.13,50.16,50.13,50.16,5721,0.0
2010-09-23,50.17,50.17,50.15,50.16,17833,0.0
2010-09-24,50.14,50.14,50.11,50.14,7484,-0.00039872408293450956
2010-09-27,50.12,50.16,50.12,50.16,9390,0.0003988831272436766
2010-09-28,50.16,50.18,50.14,50.18,10726,0.0003987240829346206
2010-09-29,50.15,50.18,50.15,50.17,18646,-0.00019928258270218713
2010-09-30,50.14,50.18,50.14,50.16,7265,-0.00019932230416597196
2010-10-01,50.14,50.16,50.14,50.16,12561,0.0
2010-10-04,50.17,50.18,50.15,50.18,8158,0.0003987240829346206
2010-10-05,50.19,50.19,50.15,50.16,19348,-0.0003985651654045963
2010-10-06,50.22,50.22,50.18,50.18,11410,0.0003987240829346206
2010-10-07,50.2,50.24,50.2,50.23,5282,0.0009964129135113797
2010-10-08,50.26,50.26,50.23,50.23,9990,0.0
2010-10-11,50.29,50.29,50.22,50.22,8433,-0.0001990842126219361
2010-10-12,50.25,50.25,50.22,50.23,4398,0.00019912385503784158
2010-10-13,50.22,50.22,50.2,50.22,15780,-0.0001990842126219361
2010-10-14,50.24,50.24,50.2,50.21,23642,-0.00019912385503784158
2010-10-15,50.23,50.23,50.21,50.22,20197,0.00019916351324433812
2010-10-18,50.23,50.24,50.23,50.23,16317,0.00019912385503784158
2010-10-19,50.24,50.25,50.23,50.24,7826,0.00019908421262204712
2010-10-20,50.24,50.26,50.23,50.24,3768,0.0
2010-10-21,50.24,50.24,50.23,50.24,5920,0.0
2010-10-22,50.24,50.25,50.22,50.24,9551,0.0
2010-10-25,50.26,50.26,50.23,50.24,11563,0.0
2010-10-26,50.22,50.22,50.2,50.21,12209,-0.0005971337579617764
2010-10-27,50.16,50.19,50.16,50.18,1964,-0.0005974905397331254
2010-10-28,50.2,50.23,50.2,50.21,1775,0.0005978477481067834
2010-10-29,50.25,50.27,50.25,50.25,27686,0.0007966540529775745
2010-11-01,50.27,50.27,50.23,50.26,5346,0.00019900497512437276
2010-11-02,50.24,50.26,50.24,50.25,5124,-0.00019896538002384112
2010-11-03,50.23,50.27,50.23,50.26,10595,0.00019900497512437276
2010-11-04,50.29,50.29,50.26,50.26,60363,0.0
2010-11-05,50.23,50.26,50.22,50.23,19010,-0.0005968961400716344
2010-11-08,50.22,50.22,50.18,50.2,21545,-0.0005972526378656973
2010-11-09,50.21,50.21,50.12,50.13,18700,-0.0013944223107569265
2010-11-10,50.14,50.16,50.09,50.16,8681,0.0005984440454815942
2010-11-11,50.17,50.17,49.99,50.14,150015,-0.00039872408293450956
2010-11-12,50.13,50.14,50.07,50.07,67170,-0.001396090945352979
2010-11-15,50.03,50.08,50.03,50.05,5937,-0.00039944078290399254
2010-11-16,50.05,50.07,50.04,50.06,48755,0.00019980019980025965
2010-11-17,50.08,50.11,50.08,50.08,6053,0.0003995205753095643
2010-11-18,50.06,50.1,50.05,50.1,5285,0.0003993610223642641
2010-11-19,50.09,50.1,50.06,50.09,30973,-0.0001996007984031989
2010-11-22,50.09,50.14,50.09,50.14,18637,0.0009982032341784297
2010-11-23,50.2,50.2,50.15,50.16,15945,0.0003988831272436766
2010-11-24,,,,50.06,0,-0.001993620414672881
2010-11-26,50.13,50.13,50.1,50.1,11184,0.0007990411506193507
2010-11-29,50.13,50.13,50.09,50.1,36104,0.0
2010-11-30,50.17,50.17,50.11,50.13,9969,0.0005988023952097077
2010-12-01,50.12,50.12,50.04,50.04,20455,-0.0017953321364453378
2010-12-02,50.06,50.06,50.02,50.03,17811,-0.0001998401278976436
2010-12-03,50.13,50.13,50.09,50.09,6015,0.00119928043174089
2010-12-06,50.15,50.16,50.12,50.15,7146,0.0011978438810140712
2010-12-07,50.14,50.14,50.02,50.05,19033,-0.001994017946161497
2010-12-08,49.95,49.98,49.94,49.97,19366,-0.001598401598401522
2010-12-09,49.97,49.99,49.94,49.94,9147,-0.0006003602161297472
2010-12-10,49.97,49.97,49.93,49.95,5604,0.00020024028834608742
2010-12-13,49.91,49.97,49.91,49.95,25176,0.0
2010-12-14,49.98,49.98,49.91,49.93,19746,-0.000400400400400458
2010-12-15,49.93,49.96,49.89,49.93,22703,0.0
2010-12-16,49.91,49.93,49.9,49.93,6094,0.0
2010-12-17,49.96,49.99,49.95,49.97,4841,0.0008011215701981822
2010-12-20,50.02,50.02,49.97,49.99,5963,0.00040024014408657216
2010-12-21,50.0,50.0,49.96,49.97,10768,-0.0004000800160032236
2010-12-22,49.99,49.99,49.94,49.96,11698,-0.00020012007204317506
2010-12-23,,,,49.96,0,0.0
2010-12-27,49.93,49.96,49.88,49.96,9134,0.0
2010-12-28,49.95,49.95,49.88,49.88,51619,-0.0016012810248198228
2010-12-29,49.88,49.99,49.88,49.98,9759,0.00200481154771448
2010-12-30,49.96,50.0,49.93,49.98,10312,0.0
2010-12-31,49.95,50.05,49.95,50.02,20631,0.0008003201280513128
2011-01-03,50.09,50.09,49.97,50.03,13851,0.00019992003198709973
2011-01-04,49.98,50.05,49.98,50.03,11428,0.0
2011-01-05,49.96,49.96,49.91,49.94,22437,-0.001798920647611446
2011-01-06,49.96,49.98,49.94,49.95,23633,0.00020024028834608742
2011-01-07,50.01,50.05,49.99,50.02,14795,0.0014014014014014364
2011-01-10,50.1,50.1,50.04,50.06,7644,0.000799680127948843
2011-01-11,50.07,50.07,50.02,50.06,19743,0.0
2011-01-12,50.0,50.02,49.97,50.0,35841,-0.001198561725928915
2011-01-13,49.99,50.05,49.98,50.05,10934,0.0009999999999998899
2011-01-14,,,,50.03,0,-0.00039960039960029725
2011-01-18,50.07,50.07,50.02,50.03,17411,0.0
2011-01-19,50.08,50.08,50.03,50.08,9745,0.000999400359783964
2011-01-20,50.04,50.05,49.99,50.0,13716,-0.0015974440894568342
2011-01-21,50.03,50.05,50.0,50.0,9500,0.0
2011-01-24,50.05,50.06,50.0,50.02,13873,0.00039999999999995595
2011-01-25,50.06,50.08,50.02,50.08,9932,0.0011995201919230425
