Date,Open,High,Low,Close,Volume,SCHX Percent Change
2010-01-04,26.51,26.72,26.48,26.68,242218,
2010-01-05,26.72,26.79,26.64,26.78,130332,0.0037481259370315545
2010-01-06,26.81,26.86,26.74,26.83,92054,0.0018670649738610212
2010-01-07,26.8,26.95,26.7,26.93,89217,0.00372717107715248
2010-01-08,26.86,27.0,26.81,27.0,173948,0.0025993316004455647
2010-01-11,27.14,27.14,26.93,27.04,178774,0.001481481481481417
2010-01-12,26.89,26.9,26.69,26.78,146429,-0.009615384615384581
2010-01-13,26.87,27.07,26.72,27.03,159210,0.00933532486930555
2010-01-14,26.99,27.11,26.97,27.06,108821,0.0011098779134295356
2010-01-15,,,,26.78,0,-0.010347376201034653
2010-01-19,26.78,27.12,26.76,27.1,170005,0.011949215832711024
2010-01-20,26.96,26.96,26.64,26.85,228015,-0.009225092250922495
2010-01-21,26.87,26.93,26.31,26.36,227553,-0.018249534450651805
2010-01-22,26.26,26.32,25.75,25.79,153432,-0.021623672230652535
2010-01-25,26.02,26.05,25.82,25.9,151491,0.004265219077161708
2010-01-26,25.82,26.05,25.74,25.8,78378,-0.0038610038610037423
2010-01-27,25.74,25.94,25.6,25.91,113569,0.00426356589147292
2010-01-28,26.01,26.01,25.46,25.65,120636,-0.010034735623311475
2010-01-29,25.75,25.89,25.35,25.36,123216,-0.011306042884990264
2010-02-01,25.54,25.74,25.51,25.73,352717,0.014589905362776046
2010-02-02,25.8,26.08,25.71,26.05,137309,0.012436844150796711
2010-02-03,25.92,26.05,25.86,25.93,96635,-0.004606525911708292
2010-02-04,25.73,25.73,25.1,25.1,158472,-0.03200925568839175
2010-02-05,25.16,25.2,24.67,25.2,300924,0.003984063745019917
2010-02-08,25.2,25.31,24.99,24.99,130174,-0.008333333333333415
2010-02-09,25.29,25.5,25.1,25.3,146738,0.012404961984793905
2010-02-10,25.27,25.38,25.05,25.27,157254,-0.0011857707509881354
2010-02-11,25.24,25.55,25.11,25.53,171145,0.010288880094974306
2010-02-12,,,,25.5,0,-0.001175088131609936
2010-02-16,25.76,25.94,25.64,25.92,213330,0.016470588235294237
2010-02-17,26.07,26.08,25.95,26.06,133612,0.005401234567901092
2010-02-18,26.04,26.25,26.01,26.23,166153,0.00652340752110514
2010-02-19,26.16,26.36,26.1,26.29,120557,0.002287457110179192
2010-02-22,26.4,26.4,26.22,26.24,192558,-0.0019018638265499987
2010-02-23,26.23,26.26,25.9,25.95,98008,-0.011051829268292623
2010-02-24,26.04,26.21,25.96,26.18,104725,0.008863198458574306
2010-02-25,25.83,26.17,25.75,26.14,245039,-0.0015278838808250317
