Date,Open,High,Low,Close,Volume,SCHZ Percent Change
2011-07-14,50.02,50.02,49.98,49.98,2400,
2011-07-15,49.9,49.99,49.89,49.99,5900,0.00020008003201299474
2011-07-18,50.0,50.0,49.91,49.91,12306,-0.0016003200640128945
2011-07-19,49.89,49.98,49.87,49.98,13215,0.0014025245441795509
2011-07-20,50.0,50.01,49.97,49.98,2779,0.0
2011-07-21,49.93,49.93,49.89,49.91,46620,-0.0014005602240896309
2011-07-22,49.93,49.98,49.92,49.98,9765,0.0014025245441795509
2011-07-25,49.9,49.94,49.89,49.9,10190,-0.0016006402561024036
2011-07-26,49.92,49.97,49.92,49.96,3131,0.0012024048096193063
2011-07-27,49.94,49.95,49.91,49.92,7998,-0.0008006405124099114
2011-07-28,50.03,50.04,50.0,50.04,5965,0.0024038461538460343
2011-07-29,49.76,50.3,49.76,50.3,13546,0.005195843325339622
2011-08-01,50.13,50.41,50.13,50.39,20526,0.0017892644135188984
2011-08-02,50.5,50.73,50.48,50.73,23397,0.006747370510021833
2011-08-03,50.74,50.83,50.74,50.77,41966,0.0007884880741180211
2011-08-04,50.78,51.01,50.78,51.01,30572,0.004727201103013501
2011-08-05,50.88,50.93,50.77,50.78,28416,-0.004508919819643187
2011-08-08,50.41,50.96,50.41,50.93,6892,0.002953918865695071
2011-08-09,50.89,51.26,50.85,51.16,79303,0.004516002356174997
2011-08-10,51.27,51.34,51.24,51.34,8947,0.0035183737294763873
2011-08-11,51.39,51.39,50.99,51.03,15553,-0.00603817686014807
2011-08-12,51.05,51.1,50.98,51.1,22048,0.00137174211248281
2011-08-15,51.11,51.13,51.01,51.04,16217,-0.0011741682974559797
2011-08-16,51.08,51.15,51.0,51.13,24245,0.001763322884012597
2011-08-17,51.18,51.3,51.18,51.28,17571,0.002933698415802821
2011-08-18,51.45,51.52,51.42,51.5,86751,0.004290171606864179
2011-08-19,51.2,51.31,51.2,51.3,20077,-0.003883495145631133
2011-08-22,51.32,51.33,51.21,51.25,15638,-0.0009746588693956282
2011-08-23,51.22,51.24,51.1,51.14,24784,-0.002146341463414636
2011-08-24,51.1,51.1,50.95,50.95,22396,-0.0037152913570590584
2011-08-25,50.91,51.01,50.89,51.0,14529,0.0009813542688910104
2011-08-26,51.1,51.13,51.01,51.06,17012,0.0011764705882353343
2011-08-29,50.95,50.96,50.87,50.93,30776,-0.0025460242851548243
2011-08-30,51.2,51.27,51.13,51.26,13499,0.00647948164146861
2011-08-31,51.2,51.23,51.16,51.16,14859,-0.0019508388607101246
2011-09-01,51.18,51.25,51.07,51.23,22021,0.001368256450351879
2011-09-02,51.3,51.51,51.3,51.48,28296,0.004879953152449712
2011-09-06,51.6,51.6,51.5,51.57,42724,0.0017482517482518833
2011-09-07,51.3,51.4,51.22,51.36,43984,-0.004072134962187279
2011-09-08,51.6,51.6,51.33,51.42,2128,0.001168224299065379
2011-09-09,51.55,51.56,51.43,51.55,15506,0.0025281991443018015
2011-09-12,51.65,51.65,51.49,51.51,9077,-0.0007759456838021261
2011-09-13,51.54,51.55,51.43,51.48,13933,-0.0005824111822947398
2011-09-14,51.45,51.47,51.4,51.45,66337,-0.0005827505827504798
2011-09-15,51.37,51.38,51.25,51.25,19413,-0.0038872691933916625
2011-09-16,51.33,51.33,51.17,51.25,10266,0.0
2011-09-19,51.46,51.52,51.29,51.48,13662,0.0044878048780487845
2011-09-20,51.51,51.67,51.45,51.49,35793,0.00019425019425023393
2011-09-21,51.55,51.66,51.42,51.63,93426,0.002718974558166609
2011-09-22,51.64,51.81,51.64,51.78,6830,0.0029052876234747504
2011-09-23,51.9,51.9,51.56,51.56,13380,-0.004248744689069106
2011-09-26,51.54,51.54,51.37,51.39,12517,-0.0032971295577968185
