Date,Open,High,Low,Close,Volume,SGOL Percent Change
2010-01-04,112.02,112.25,111.48,111.93,107799,
2010-01-05,112.03,112.46,111.43,111.84,76138,-0.0008040739748057524
2010-01-06,112.83,113.94,112.63,113.72,380771,0.016809728183118766
2010-01-07,113.2,113.44,112.82,113.02,109348,-0.00615546957439328
2010-01-08,113.69,113.72,112.45,113.53,91177,0.004512475668023486
2010-01-11,115.49,115.73,114.75,115.03,104749,0.013212366775301687
2010-01-12,114.59,115.19,112.45,112.62,148282,-0.020951056246196642
2010-01-13,113.09,113.72,111.76,113.69,96295,0.009500976735925981
2010-01-14,113.68,114.47,112.96,114.21,77222,0.004573841146978674
2010-01-15,,,,113.0,0,-0.010594518868750513
2010-01-19,113.14,113.88,112.98,113.77,40090,0.006814159292035438
2010-01-20,112.08,112.11,110.53,110.97,131110,-0.024611057396501712
2010-01-21,110.56,110.82,108.7,109.41,153731,-0.014057853473911863
2010-01-22,109.02,109.73,108.1,109.24,134112,-0.001553788501965081
2010-01-25,109.46,109.77,109.16,109.55,66250,0.0028377883559136396
2010-01-26,108.9,110.1,108.87,109.56,77108,9.128251939749532e-05
2010-01-27,109.62,109.79,108.23,108.64,114746,-0.008397225264695107
2010-01-28,109.23,109.25,107.27,108.52,141884,-0.0011045655375552244
2010-01-29,107.9,108.3,107.32,108.03,175498,-0.004515296719498685
2010-02-01,108.69,110.55,108.45,110.47,78612,0.022586318615199552
2010-02-02,111.28,111.67,110.79,111.25,61865,0.007060740472526472
2010-02-03,111.27,111.55,110.53,110.76,46009,-0.004404494382022395
2010-02-04,108.88,108.88,105.77,106.4,206506,-0.039364391477067495
2010-02-05,105.71,106.67,104.32,106.66,130963,0.002443609022556359
2010-02-08,106.43,107.1,106.02,106.11,52406,-0.005156572285767824
2010-02-09,107.26,108.15,106.98,107.51,86150,0.013193855433041302
2010-02-10,107.19,107.48,106.17,107.13,110273,-0.0035345549251233344
2010-02-11,107.66,109.61,107.36,109.26,75131,0.01988238588630642
2010-02-12,,,,109.07,0,-0.001738971261211919
2010-02-16,111.61,111.94,111.29,111.72,54843,0.024296323461996838
2010-02-17,111.83,112.14,110.97,111.35,78303,-0.003311851056212012
2010-02-18,111.75,112.22,111.33,112.09,86025,0.0066457117198024385
2010-02-19,110.6,112.43,110.6,111.58,55802,-0.004549915246676806
2010-02-22,112.03,112.04,110.83,111.18,38193,-0.0035848718408315605
2010-02-23,110.97,110.98,109.77,109.99,69188,-0.01070336391437321
2010-02-24,109.44,110.15,109.24,109.47,47391,-0.0047277025184107035
2010-02-25,108.74,110.71,108.74,110.4,67203,0.008495478213209173
2010-02-26,111.02,111.73,110.6,111.53,49679,0.010235507246376674
2010-03-01,111.62,111.99,111.11,111.56,66568,0.0002689859230700087
2010-03-02,112.03,113.6,112.02,113.18,84337,0.014521333811402082
2010-03-03,113.65,114.3,113.38,113.81,63247,0.0055663544795900854
2010-03-04,113.42,113.51,112.47,113.02,64035,-0.006941393550654706
2010-03-05,113.31,113.87,112.97,112.97,47087,-0.0004423995752963483
2010-03-08,113.4,113.4,111.7,111.99,51462,-0.00867486943436313
2010-03-09,111.28,112.24,111.19,111.83,50342,-0.001428698990981303
2010-03-10,112.08,112.46,110.19,110.57,53813,-0.011267101851023975
2010-03-11,110.28,110.76,110.0,110.71,36658,0.0012661662295379017
2010-03-12,110.65,110.86,109.59,110.09,80215,-0.0056002167825850435
2010-03-15,110.27,110.58,109.94,110.42,20025,0.002997547461168093
2010-03-16,112.11,112.68,112.0,112.53,54390,0.019108857091106657
2010-03-17,112.5,112.61,111.69,111.71,32391,-0.007286945703368075
2010-03-18,112.19,112.73,111.65,112.46,45393,0.006713812550353637
2010-03-19,112.4,112.4,109.95,110.41,127779,-0.01822870353903605
2010-03-22,109.41,110.06,109.09,109.85,63522,-0.0050720043474322685
2010-03-23,109.44,110.55,109.44,110.37,34286,0.004733727810650956
2010-03-24,108.99,109.12,108.33,108.44,45020,-0.017486635861194255
2010-03-25,109.02,109.26,108.61,108.87,60332,0.003965326447805229
2010-03-26,109.25,110.7,108.93,110.7,36596,0.01680903830256275
2010-03-29,110.99,111.23,110.53,110.84,24460,0.00126467931345986
2010-03-30,110.7,110.7,110.0,110.09,29793,-0.006766510285095673
2010-03-31,111.47,111.55,111.0,111.09,49854,0.009083477155054975
2010-04-01,,,,112.37,0,0.01152218921595094
2010-04-05,112.72,113.11,112.48,112.8,34212,0.0038266441220966563
2010-04-06,113.08,113.68,113.02,113.27,27395,0.004166666666666652
2010-04-07,114.04,115.07,113.97,114.64,64859,0.012094994261499181
2010-04-08,114.64,115.14,114.51,114.84,94834,0.0017445917655269927
2010-04-09,115.31,116.25,114.93,115.94,92002,0.00957854406130254
2010-04-12,115.88,116.27,115.19,115.23,31900,-0.006123857167500413
2010-04-13,115.29,115.33,114.28,114.89,42987,-0.0029506204981342155
2010-04-14,115.42,115.83,114.99,115.25,44436,0.003133431978414203
2010-04-15,115.03,115.91,115.03,115.83,32927,0.005032537960954375
2010-04-16,114.69,115.23,112.76,113.39,134504,-0.02106535439868773
2010-04-19,113.04,113.51,112.83,113.3,49448,-0.0007937207866655083
2010-04-20,113.89,114.36,113.55,113.62,32308,0.0028243601059134704
2010-04-21,114.02,114.8,113.67,114.51,45530,0.007833127970427789
2010-04-22,113.97,114.12,112.98,113.94,49141,-0.004977731202515101
2010-04-23,113.44,115.51,113.29,115.37,96258,0.012550465157100232
2010-04-26,115.07,115.38,114.84,114.99,63296,-0.0032937505417354185
2010-04-27,114.58,117.0,114.58,116.83,103386,0.016001391425341405
2010-04-28,116.25,117.17,115.91,116.52,168637,-0.0026534280578618397
2010-04-29,116.08,116.71,116.08,116.52,72164,0.0
2010-04-30,117.56,117.93,117.5,117.6,39460,0.009268795056642576
2010-05-03,118.17,118.5,117.86,117.99,91582,0.0033163265306122014
2010-05-04,118.64,118.64,116.43,117.12,143060,-0.007373506229341409
2010-05-05,115.75,117.42,115.55,117.37,140000,0.00213456284153013
2010-05-06,117.92,120.83,117.91,120.74,407814,0.028712618215898322
2010-05-07,119.91,121.15,119.03,120.56,307850,-0.0014908066920655827
2010-05-10,119.76,120.13,119.16,119.88,345804,-0.0056403450564035396
2010-05-11,121.81,123.19,121.31,123.05,253787,0.02644310977644304
2010-05-12,123.65,124.61,123.13,123.8,199572,0.006095083299471726
2010-05-13,123.69,124.06,122.5,122.98,179450,-0.00662358642972527
2010-05-14,124.29,124.36,121.5,122.74,355558,-0.0019515368352578388
2010-05-17,122.9,123.44,121.64,121.65,447753,-0.008880560534462956
2010-05-18,121.19,122.62,120.82,121.8,237128,0.0012330456226878894
2010-05-19,120.49,120.6,118.4,118.91,314107,-0.023727422003284038
2010-05-20,118.43,119.21,117.51,118.05,489906,-0.007232360608863897
2010-05-21,117.3,118.46,116.78,117.44,413827,-0.005167301990681938
2010-05-24,118.62,119.39,118.32,119.11,265189,0.014220027247956457
2010-05-25,119.41,119.76,119.1,119.59,150832,0.00402988833851059
2010-05-26,120.9,121.38,120.68,120.8,179460,0.010117902834685166
2010-05-27,120.48,121.31,120.47,121.0,123126,0.0016556291390728006
2010-05-28,,,,121.1,0,0.0008264462809917106
2010-06-01,122.21,122.51,121.97,122.22,111801,0.009248554913294793
2010-06-02,121.7,122.17,121.05,122.03,278741,-0.0015545737195221676
2010-06-03,121.49,121.68,119.79,120.24,167876,-0.01466852413340991
2010-06-04,120.25,121.68,119.47,121.41,223149,0.009730538922155807
2010-06-07,121.03,124.13,120.96,123.78,164355,0.01952063256733383
2010-06-08,123.95,124.79,123.06,123.36,159163,-0.0033931168201648543
2010-06-09,122.8,123.3,121.9,122.92,128111,-0.003566796368352776
2010-06-10,121.67,122.33,121.17,121.29,115309,-0.013260657338105997
2010-06-11,122.22,122.72,121.67,122.38,92108,0.00898672602852657
2010-06-14,121.96,122.42,121.3,121.95,74811,-0.0035136460205915654
2010-06-15,122.04,123.33,121.86,123.29,48501,0.010988109881098884
2010-06-16,123.0,123.14,122.37,122.74,79013,-0.004461026847270788
2010-06-17,123.94,124.77,123.87,124.21,155977,0.011976535766661245
2010-06-18,125.45,125.87,125.2,125.2,163323,0.007970372755816912
2010-06-21,125.47,125.47,122.7,122.8,230988,-0.019169329073482455
2010-06-22,123.47,123.88,123.25,123.78,96059,0.007980456026058569
2010-06-23,123.19,123.35,122.11,123.32,132627,-0.0037162708030377134
2010-06-24,123.05,124.49,122.97,123.59,159860,0.0021894258838794922
2010-06-25,125.11,125.4,124.86,125.06,134085,0.01189416619467587
2010-06-28,125.16,125.9,123.18,123.45,143642,-0.012873820566128291
2010-06-29,123.41,124.15,122.42,123.56,233858,0.0008910490076954325
2010-06-30,123.41,124.42,123.26,123.97,92081,0.003318225963094834
2010-07-01,123.27,123.27,119.22,119.34,540603,-0.03734774542227959
2010-07-02,,,,120.73,0,0.01164739400033521
2010-07-06,119.96,119.98,118.54,118.81,352222,-0.015903255197548316
2010-07-07,118.84,120.02,118.77,120.02,112202,0.010184327918525415
2010-07-08,119.65,119.65,118.34,119.47,167614,-0.004582569571737971
2010-07-09,120.43,120.98,120.43,120.65,70820,0.00987695655813181
2010-07-12,120.12,120.42,119.3,119.62,75721,-0.00853709075839204
2010-07-13,121.29,121.35,120.66,120.66,51271,0.008694198294599609
2010-07-14,120.48,121.4,119.88,120.55,87186,-0.0009116525774904849
2010-07-15,120.93,120.96,120.06,120.53,77585,-0.00016590626296142386
2010-07-16,118.96,119.02,118.24,118.89,151812,-0.013606570978179744
2010-07-19,117.81,118.01,117.36,118.01,110719,-0.007401799983177693
2010-07-20,117.95,119.0,117.8,118.79,44822,0.006609609355139323
2010-07-21,119.03,119.24,117.97,118.11,69928,-0.00572438757471172
2010-07-22,118.29,119.72,118.29,119.09,70284,0.008297349928033215
2010-07-23,119.41,119.7,118.04,118.32,45790,-0.006465698211436832
2010-07-26,118.61,118.7,117.54,117.74,134021,-0.004901960784313708
2010-07-27,117.11,117.18,115.41,115.68,186955,-0.01749617801936465
2010-07-28,115.66,116.1,115.28,115.93,307995,0.0021611341632088443
2010-07-29,115.75,116.51,115.6,116.48,48171,0.0047442422151298125
2010-07-30,116.57,117.9,116.32,117.7,165536,0.010473901098901006
2010-08-02,118.37,118.58,117.47,117.77,48780,0.0005947323704331708
2010-08-03,118.13,118.6,118.13,118.28,37056,0.004330474653986727
2010-08-04,119.72,119.89,118.91,118.96,58601,0.005749070003381762
2010-08-05,119.29,119.36,118.63,119.25,73277,0.002437794216543443
2010-08-06,120.28,120.68,119.89,120.11,74987,0.007211740041928705
2010-08-09,120.06,120.09,119.55,119.73,21506,-0.0031637665473315257
2010-08-10,118.85,120.36,118.7,120.02,74019,0.0024221164286311048
2010-08-11,119.97,120.22,118.83,119.6,1745369,-0.0034994167638726648
2010-08-12,120.88,121.13,120.74,121.0,594617,0.0117056856187292
2010-08-13,121.13,121.14,120.66,121.05,242660,0.0004132231404958553
2010-08-16,122.01,122.13,121.77,122.0,244986,0.00784799669558045
2010-08-17,122.08,122.27,121.91,122.05,102482,0.0004098360655737654
2010-08-18,121.56,122.83,121.33,122.55,208133,0.004096681687832948
2010-08-19,122.98,123.29,122.48,122.72,75268,0.0013871889024887896
2010-08-20,122.24,122.39,121.77,122.32,68742,-0.0032594524119948787
2010-08-23,122.24,122.38,121.77,122.12,68211,-0.0016350555918900334
2010-08-24,121.05,123.11,121.0,122.69,164387,0.004667540124467573
2010-08-25,123.47,123.7,123.02,123.7,158475,0.00823212975792642
2010-08-26,123.45,123.56,122.95,123.31,109815,-0.0031527890056588515
2010-08-27,123.57,123.79,122.75,123.36,81172,0.00040548211823865365
2010-08-30,123.23,123.39,122.95,123.28,59280,-0.0006485084306095956
2010-08-31,124.13,124.53,123.83,124.48,194213,0.009733939000649006
2010-09-01,124.54,124.54,123.84,124.07,62729,-0.0032937017994859596
2010-09-02,124.79,124.83,124.29,124.67,93737,0.004835979688885272
2010-09-03,,,,124.24,0,-0.0034491056388866737
2010-09-07,125.31,125.43,125.04,125.05,298673,0.006519639407598143
2010-09-08,125.25,125.69,125.0,125.15,471467,0.000799680127948843
2010-09-09,124.81,125.2,123.8,123.95,142500,-0.009588493807431098
2010-09-10,123.81,124.65,123.81,124.11,183760,0.0012908430818878713
2010-09-13,124.01,124.4,123.8,123.98,141985,-0.0010474579002497375
2010-09-14,125.29,126.98,125.27,126.42,206116,0.019680593644136213
2010-09-15,126.39,126.68,125.91,126.31,328364,-0.0008701154880557116
2010-09-16,126.98,127.18,126.62,127.04,190417,0.005779431557279668
2010-09-17,127.46,127.46,126.7,126.97,121941,-0.0005510075566751427
2010-09-20,127.5,127.88,127.24,127.28,154334,0.0024415216192801292
2010-09-21,127.21,128.59,126.66,128.42,147611,0.008956631049654273
2010-09-22,129.01,129.07,128.16,128.66,69379,0.0018688677776048657
2010-09-23,128.65,129.06,128.32,128.75,96820,0.0006995181097466663
2010-09-24,129.34,129.43,128.78,129.13,47180,0.002951456310679612
2010-09-27,129.37,129.37,129.0,129.2,42051,0.0005420893673042659
2010-09-28,128.93,130.48,128.56,130.37,159869,0.009055727554179605
2010-09-29,130.38,130.66,130.04,130.45,95524,0.0006136381069263841
2010-09-30,130.65,130.71,129.1,130.35,97340,-0.0007665772326561626
2010-10-01,131.21,131.57,130.99,131.42,68185,0.008208668968162636
2010-10-04,131.02,131.11,130.76,130.98,41307,-0.003348044437680664
2010-10-05,132.68,133.65,132.43,133.55,155992,0.019621316231485997
2010-10-06,134.05,134.37,133.91,134.36,67302,0.006065144140771306
2010-10-07,135.21,135.21,132.05,132.87,292618,-0.011089610002977146
2010-10-08,133.36,134.4,133.01,134.2,119951,0.010009783999397781
2010-10-11,133.84,134.85,133.6,134.85,141539,0.004843517138599207
2010-10-12,134.58,134.77,133.93,134.5,90258,-0.0025954764553206555
2010-10-13,135.33,136.8,135.26,136.69,130571,0.016282527881040787
2010-10-14,136.68,137.45,136.53,137.4,79666,0.005194235130587588
2010-10-15,136.87,137.05,135.67,136.3,110393,-0.008005822416302766
2010-10-18,136.02,136.92,135.76,136.82,41430,0.003815113719735752
2010-10-19,133.01,134.09,132.25,132.65,272881,-0.030478000292354812
2010-10-20,132.91,134.19,132.87,133.89,79166,0.009347908028646712
2010-10-21,133.57,134.13,131.25,131.95,170698,-0.01448950631115098
2010-10-22,131.93,132.25,131.49,132.23,63548,0.002122015915119402
2010-10-25,133.75,133.89,132.78,133.41,88076,0.00892384481585129
2010-10-26,132.51,133.67,132.33,133.43,52096,0.00014991379956530437
2010-10-27,132.45,132.48,131.31,131.98,79852,-0.010867121337030827
2010-10-28,132.87,133.98,132.38,133.78,109053,0.013638430065161522
2010-10-29,134.05,135.32,133.65,135.19,102478,0.010539692031693804
2010-11-01,135.42,135.58,134.35,134.47,65069,-0.0053258377098898135
2010-11-02,135.0,135.13,134.5,135.03,49501,0.004164497657470179
2010-11-03,134.86,135.06,132.0,134.18,404360,-0.006294897430200619
2010-11-04,137.34,138.69,136.85,138.55,160061,0.03256819198092109
2010-11-05,137.77,139.21,137.65,138.97,140370,0.0030313966077226695
2010-11-08,138.57,140.4,138.16,140.4,201736,0.01028999064546321
2010-11-09,141.42,141.83,137.67,138.31,295511,-0.01488603988603987
2010-11-10,139.71,139.94,137.84,139.89,163718,0.011423613621574624
2010-11-11,140.3,140.39,139.27,140.3,75098,0.002930874258346039
2010-11-12,138.56,138.92,135.4,136.28,245386,-0.02865288667141841
2010-11-15,136.58,137.06,134.95,134.97,84311,-0.009612562371587918
2010-11-16,134.81,134.91,132.36,133.51,167405,-0.010817218641179571
2010-11-17,133.27,133.88,132.66,132.91,87405,-0.004494045389858425
2010-11-18,134.41,135.35,134.12,134.65,125134,0.013091565721164766
2010-11-19,134.03,134.85,133.57,134.75,60674,0.0007426661715559391
2010-11-22,134.71,136.17,134.39,136.05,87368,0.009647495361781111
2010-11-23,136.22,137.67,136.07,136.92,82841,0.00639470782800422
2010-11-24,,,,136.8,0,-0.0008764241893074454
