Date,BOTZ,CGW,CROP,ENFR,EWRE,GHTI,GII,GNR,GRES,JHMA,JHMC,JHME,JHMF,JHMH,JHMI,JHMS,JHMT,JHMU,MLPA,MLPX,NANR,PBS,PSAU,RCD,RGI,RHS,RTM,RWO,RWX,RYE,RYF,RYH,RYT,RYU,SCHH,SGDM,ZMLP
2010-01-04,,18.72,,,,0.0,43.09,,26.28,,,,,,,,,,,,,11.84,39.45,36.9,43.95,49.85,54.06,32.41,35.64,52.0,23.38,57.62,46.27,47.42,,,
2010-01-05,,18.76,,,,0.0,42.47,,26.41,,,,,,,,,,,,,11.99,39.91,37.2,44.12,49.68,54.2,32.54,36.01,53.02,23.36,57.52,46.39,46.92,,,
2010-01-06,,18.67,,,,0.0,42.77,,26.78,,,,,,,,,,,,,12.0,40.96,37.46,44.39,49.94,55.03,32.34,35.82,53.85,23.76,57.72,46.27,46.87,,,
2010-01-07,,18.62,,,,0.0,42.27,,26.82,,,,,,,,,,,,,12.01,40.57,37.95,44.67,49.88,54.8,32.49,35.58,53.79,24.16,58.08,46.1,46.66,,,
2010-01-08,,18.94,,,,0.0,42.72,,26.82,,,,,,,,,,,,,12.06,41.17,37.87,45.34,49.88,55.49,32.44,35.77,54.2,23.98,58.25,46.44,46.25,,,
2010-01-11,,19.07,,,,0.0,43.4,,27.1,,,,,,,,,,,,,12.1,41.56,37.94,45.67,49.86,55.3,32.63,35.92,53.77,24.23,58.53,46.26,46.85,,,
2010-01-12,,18.87,,,,0.0,42.57,,26.78,,,,,,,,,,,,,11.8,40.39,37.46,45.15,49.86,54.27,32.04,35.54,52.66,23.9,57.9,45.47,46.58,,,
2010-01-13,,18.89,,,,0.0,42.89,,26.83,,,,,,,,,,,,,11.95,40.48,37.93,45.14,50.4,54.81,32.51,35.83,53.19,24.18,58.75,46.11,46.86,,,
2010-01-14,,18.97,,,,0.0,43.47,,26.98,,,,,,,,,,,,,11.9,40.31,38.03,45.41,50.48,54.38,32.53,35.82,53.38,24.33,59.1,46.17,46.89,,,
2010-01-15,,18.76,,,,0.0,42.45,,26.61,,,,,,,,,,,,,11.74,39.69,37.59,44.95,50.48,53.74,32.1,35.4,52.78,23.91,58.64,45.29,46.41,,,
2010-01-19,,18.9,,,,0.0,43.42,,26.9,,,,,,,,,,,,,11.9,40.05,37.83,45.28,50.59,54.54,32.82,35.95,53.12,24.28,59.81,46.01,47.0,,,
2010-01-20,,18.67,,,,0.0,42.11,,26.25,,,,,,,,,,,,,11.82,38.33,37.43,44.5,50.3,53.87,32.18,35.03,52.46,24.04,59.31,45.44,46.73,,,
